date,geography,geography code,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Total: All usual residents aged 5 and over
2021,Barking and Dagenham 009E,E01000079,14,41,17,43,26,43,27,1460,1587
2021,Barking and Dagenham 007C,E01000080,16,49,12,33,21,42,33,1547,1671
2021,Barking and Dagenham 007D,E01000081,12,49,14,29,15,42,37,1720,1840
2021,Barking and Dagenham 007E,E01000082,19,57,19,47,28,53,38,1631,1788
2021,Barking and Dagenham 007F,E01000083,24,66,20,37,17,53,42,1633,1789
2021,Barking and Dagenham 013D,E01000084,18,37,6,25,19,52,19,1240,1354
2021,Barking and Dagenham 013E,E01000085,15,48,16,43,27,35,33,1409,1535
2021,Barking and Dagenham 013F,E01000086,6,28,13,24,11,41,22,1252,1345
2021,Barking and Dagenham 020B,E01000087,15,41,9,21,12,45,26,1430,1537
2021,Barking and Dagenham 020C,E01000088,15,38,16,39,23,35,23,1734,1846
2021,Barking and Dagenham 020D,E01000089,14,37,15,36,21,38,23,1590,1701
2021,Barking and Dagenham 020E,E01000090,14,37,14,28,14,41,23,1468,1574
2021,Barking and Dagenham 022A,E01000091,26,58,13,39,26,53,32,1804,1954
2021,Barking and Dagenham 022B,E01000093,18,39,15,33,18,44,21,1533,1649
2021,Barking and Dagenham 022C,E01000094,10,29,13,35,22,35,19,2119,2218
2021,Barking and Dagenham 018E,E01000095,22,45,24,48,24,60,23,1809,1962
2021,Barking and Dagenham 022D,E01000096,20,44,18,35,17,38,24,1409,1526
2021,Barking and Dagenham 023C,E01000097,13,44,21,34,13,57,31,1677,1812
2021,Barking and Dagenham 023D,E01000098,21,65,19,41,22,58,44,1607,1771
2021,Barking and Dagenham 023E,E01000099,29,71,21,50,29,43,42,2378,2542
2021,Barking and Dagenham 004B,E01000100,23,62,11,28,17,48,39,1628,1766
2021,Barking and Dagenham 004C,E01000101,17,56,7,26,19,45,39,1456,1583
2021,Barking and Dagenham 007G,E01000102,15,39,13,21,8,60,24,1530,1650
2021,Barking and Dagenham 014A,E01000103,20,47,17,38,21,32,27,1540,1657
2021,Barking and Dagenham 014B,E01000104,22,54,24,42,18,42,32,1621,1759
2021,Barking and Dagenham 014C,E01000105,22,57,25,50,25,47,35,1994,2148
2021,Barking and Dagenham 014D,E01000106,20,63,38,61,23,37,43,1826,1987
2021,Barking and Dagenham 010C,E01000107,19,54,14,32,18,36,35,1544,1666
2021,Barking and Dagenham 010D,E01000108,13,41,11,36,25,35,28,1625,1737
2021,Barking and Dagenham 002C,E01000110,15,56,10,16,6,27,41,1369,1468
2021,Barking and Dagenham 002D,E01000111,18,50,12,29,17,35,32,1829,1943
2021,Barking and Dagenham 002E,E01000112,16,56,18,34,16,29,40,1654,1773
2021,Barking and Dagenham 002F,E01000113,18,40,20,33,13,33,22,1749,1855
2021,Barking and Dagenham 004E,E01000114,17,57,18,38,20,39,40,2075,2209
2021,Barnet 009A,E01000115,23,66,11,29,18,31,43,1220,1346
2021,Barnet 009B,E01000116,32,95,15,39,24,33,63,1491,1658
2021,Barnet 010A,E01000117,25,90,9,18,9,51,65,1484,1643
2021,Barnet 010B,E01000118,12,76,5,21,16,45,64,1813,1955
2021,Barnet 009C,E01000119,29,90,16,35,19,54,61,1550,1729
