date,geography,geography code,Marital and civil partnership status: Divorced or civil partnership dissolved,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Marital and civil partnership status: Married or in a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex,Marital and civil partnership status: Married or in a registered civil partnership: Married,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex,Marital and civil partnership status: Never married and never registered a civil partnership,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Marital and civil partnership status: Total: All usual residents aged 16 and over,Marital and civil partnership status: Widowed or surviving civil partnership partner,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed
2021,Hackney 008A,E01001742,135,133,2,347,8,4,4,339,335,4,864,37,0,37,1419,36,0,36
2021,Hackney 031A,E01001744,128,127,1,405,9,4,5,396,389,7,1006,61,0,61,1657,57,0,57
2021,Hackney 016A,E01001745,141,141,0,413,6,0,6,407,397,10,1089,57,0,57,1742,42,1,41
2021,Hackney 016B,E01001746,106,106,0,399,2,0,2,397,391,6,654,46,0,46,1252,47,0,47
2021,Hackney 014B,E01001747,131,129,2,437,12,6,6,425,411,14,1364,50,1,49,2038,56,0,56
2021,Hackney 020B,E01001749,76,75,1,300,6,2,4,294,280,14,815,35,0,35,1277,51,0,51
2021,Hackney 031D,E01001750,134,131,3,417,19,6,13,398,386,12,1147,47,0,47,1792,47,0,47
2021,Hackney 031B,E01001751,70,68,2,430,17,2,15,413,397,16,714,15,1,14,1273,44,0,44
2021,Hackney 025B,E01001753,117,116,1,294,2,0,2,292,291,1,626,59,0,59,1134,38,0,38
2021,Hackney 025D,E01001755,102,102,0,351,0,0,0,351,351,0,824,42,1,41,1384,65,0,65
2021,Hackney 030C,E01001756,105,103,2,432,10,0,10,422,401,21,1177,31,3,28,1786,41,0,41
2021,Hackney 016C,E01001757,112,112,0,334,4,4,0,330,327,3,641,61,0,61,1193,45,0,45
2021,Hackney 016D,E01001758,133,133,0,504,7,0,7,497,483,14,1320,63,0,63,2075,55,0,55
2021,Hackney 016E,E01001759,111,111,0,324,11,2,9,313,310,3,889,35,0,35,1397,38,0,38
2021,Hackney 017C,E01001760,103,101,2,323,10,4,6,313,307,6,1113,44,1,43,1634,51,2,49
2021,Hackney 016F,E01001761,125,125,0,317,6,1,5,311,306,5,1016,49,0,49,1557,50,0,50
2021,Hackney 017D,E01001762,85,82,3,268,4,2,2,264,251,13,1061,33,0,33,1475,28,0,28
2021,Hackney 020C,E01001763,139,138,1,317,9,6,3,308,302,6,921,43,2,41,1474,54,0,54
2021,Hackney 010A,E01001764,97,95,2,418,6,2,4,412,401,11,893,28,0,28,1483,47,0,47
2021,Hackney 010B,E01001765,121,120,1,384,8,2,6,376,370,6,845,50,0,50,1475,75,0,75
2021,Hackney 010D,E01001767,78,77,1,386,11,1,10,375,365,10,790,19,0,19,1300,27,0,27
2021,Hackney 006D,E01001768,92,90,2,425,7,1,6,418,412,6,995,28,0,28,1571,31,0,31
2021,Hackney 006E,E01001769,96,96,0,337,6,2,4,331,325,6,766,47,2,45,1279,33,0,33
2021,Hackney 010E,E01001770,110,110,0,345,5,0,5,340,336,4,855,54,0,54,1397,33,0,33
2021,Hackney 024A,E01001772,112,110,2,415,5,4,1,410,407,3,822,57,0,57,1446,40,0,40
2021,Hackney 025E,E01001773,126,124,2,480,19,4,15,461,448,13,1401,51,2,49,2103,45,0,45
2021,Hackney 024B,E01001774,108,104,4,338,4,2,2,334,321,13,1169,42,1,41,1684,27,0,27
2021,Hackney 024C,E01001775,102,100,2,303,7,2,5,296,296,0,839,51,0,51,1354,59,0,59
2021,Hackney 025F,E01001776,100,97,3,335,8,4,4,327,321,6,947,46,0,46,1482,54,0,54
2021,Hackney 033A,E01001777,142,140,2,414,15,4,11,399,384,15,1692,48,0,48,2329,33,0,33
2021,Hackney 032D,E01001780,117,116,1,387,17,5,12,370,361,9,943,53,1,52,1541,41,0,41
2021,Hackney 026B,E01001781,111,111,0,234,5,4,1,229,226,3,900,53,0,53,1329,31,0,31
2021,Hackney 026D,E01001783,112,112,0,301,0,0,0,301,299,2,787,41,1,40,1282,41,0,41
2021,Hackney 032A,E01001784,100,100,0,371,5,0,5,366,361,5,890,53,1,52,1455,41,0,41
2021,Hackney 015B,E01001785,84,84,0,354,5,0,5,349,336,13,769,28,0,28,1276,41,0,41
2021,Hackney 013A,E01001786,128,127,1,428,8,2,6,420,412,8,1003,73,0,73,1684,52,1,51
2021,Hackney 013B,E01001787,112,112,0,338,4,2,2,334,332,2,720,57,0,57,1317,90,0,90
2021,Hackney 013C,E01001788,147,147,0,285,1,0,1,284,283,1,714,41,0,41,1235,48,0,48
2021,Hackney 015C,E01001789,93,91,2,468,2,2,0,466,456,10,753,38,1,37,1399,47,0,47
2021,Hackney 013D,E01001790,152,152,0,283,2,0,2,281,281,0,635,47,0,47,1149,32,0,32
2021,Hackney 015D,E01001791,72,72,0,328,4,2,2,324,322,2,672,36,0,36,1155,47,0,47
2021,Hackney 011A,E01001792,104,103,1,508,7,0,7,501,484,17,865,39,3,36,1574,58,0,58
2021,Hackney 011B,E01001793,73,73,0,345,8,2,6,337,333,4,776,25,0,25,1256,37,0,37
