date,geography,geography code,Accommodation type: A caravan or other mobile or temporary structure,Accommodation type: Detached,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse",Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: Total
2021,Bromley 023B,E01000725,0,32,5,224,11,3,179,336,790
2021,Bromley 029B,E01000726,0,79,3,52,2,1,273,169,579
2021,Bromley 028A,E01000727,0,104,14,172,16,4,252,201,763
2021,Bromley 019E,E01000728,0,63,6,68,16,1,385,160,699
2021,Bromley 014A,E01000729,0,10,25,362,4,1,241,193,836
2021,Bromley 014B,E01000730,0,15,6,99,4,1,297,243,665
2021,Bromley 023C,E01000731,0,29,0,10,4,0,323,147,513
2021,Bromley 023D,E01000732,0,235,0,35,2,0,223,89,584
2021,Bromley 023E,E01000733,0,81,2,53,2,0,395,97,630
2021,Bromley 028B,E01000734,0,125,0,99,38,0,240,9,511
2021,Bromley 014C,E01000735,0,42,3,52,12,1,271,175,556
2021,Bromley 010C,E01000736,0,26,1,63,3,0,390,146,629
2021,Bromley 010D,E01000737,1,99,1,58,6,0,187,232,584
2021,Bromley 014D,E01000738,1,71,0,67,18,0,318,170,645
2021,Bromley 014E,E01000739,0,24,2,146,4,1,230,229,636
2021,Bromley 005B,E01000741,0,18,8,446,377,33,27,23,932
2021,Bromley 005C,E01000742,1,12,2,435,464,14,39,55,1022
2021,Bromley 009A,E01000743,0,23,25,509,133,12,48,103,853
2021,Bromley 009B,E01000744,1,18,0,377,72,5,68,121,662
2021,Bromley 005D,E01000745,5,47,5,534,245,8,23,34,901
2021,Bromley 005E,E01000746,0,22,33,340,318,22,106,123,964
2021,Bromley 042B,E01000747,90,363,9,68,7,1,149,104,791
2021,Bromley 042C,E01000748,35,476,3,7,8,5,120,51,705
2021,Bromley 036A,E01000749,0,352,4,25,5,5,175,72,638
2021,Bromley 036B,E01000750,0,105,2,149,2,0,111,282,651
2021,Bromley 036C,E01000751,0,216,0,192,11,23,313,133,888
2021,Bromley 036D,E01000752,0,185,13,110,13,14,286,164,785
2021,Bromley 031A,E01000753,0,455,0,56,3,1,154,84,753
2021,Bromley 031B,E01000754,0,123,6,65,4,0,250,286,734
2021,Bromley 031C,E01000755,0,175,0,35,3,0,229,187,629
2021,Bromley 033D,E01000756,0,428,27,47,4,1,126,16,649
2021,Bromley 031D,E01000757,1,312,0,4,6,2,273,3,601
2021,Bromley 031E,E01000758,0,187,3,4,1,0,297,62,554
2021,Bromley 034A,E01000759,0,111,2,5,14,6,430,10,578
2021,Bromley 034B,E01000760,0,60,33,111,14,5,357,3,583
2021,Bromley 034C,E01000761,0,48,0,5,0,0,514,1,568
2021,Bromley 018D,E01000762,0,242,8,244,4,0,40,209,747
2021,Bromley 027A,E01000763,0,43,1,10,2,0,468,5,529
2021,Bromley 027B,E01000764,0,32,0,6,2,1,438,181,660
2021,Bromley 034D,E01000765,0,157,47,63,23,2,304,107,703
2021,Bromley 027C,E01000766,0,155,1,3,0,0,480,6,645
2021,Bromley 027D,E01000767,0,58,0,20,3,1,511,6,599
2021,Bromley 034E,E01000768,2,263,0,201,7,1,129,9,612
2021,Bromley 024A,E01000769,0,9,0,14,5,1,185,240,454
2021,Bromley 012D,E01000770,0,196,9,276,73,2,91,40,687
2021,Bromley 041C,E01000771,0,38,34,8,9,1,327,205,622
2021,Bromley 012E,E01000772,0,212,0,313,47,1,72,107,752
2021,Bromley 024B,E01000773,1,22,0,97,2,4,201,281,608
2021,Bromley 041D,E01000774,0,6,34,47,16,2,148,330,583
2021,Bromley 024C,E01000775,1,195,13,125,8,3,174,335,854
2021,Bromley 024D,E01000777,0,6,14,9,7,0,108,415,559
2021,Bromley 024E,E01000778,0,12,10,104,1,0,175,337,639
2021,Bromley 001A,E01000779,0,160,21,145,38,6,151,69,590
2021,Bromley 001B,E01000780,0,12,1,229,7,6,257,135,647
2021,Bromley 001C,E01000781,0,20,1,114,10,0,122,356,623
2021,Bromley 001D,E01000782,0,14,20,193,5,2,105,316,655
2021,Bromley 001E,E01000783,0,18,0,39,4,0,129,446,636
2021,Bromley 002E,E01000784,0,10,1,85,10,0,346,140,592
2021,Bromley 001F,E01000785,0,49,1,102,6,0,109,365,632
2021,Bromley 032A,E01000786,0,316,9,11,13,7,229,51,636
2021,Bromley 029C,E01000787,0,34,0,116,5,0,410,109,674
2021,Bromley 029D,E01000788,0,67,13,32,6,1,370,127,616
2021,Bromley 032B,E01000789,0,10,8,397,4,1,119,123,662
2021,Bromley 028C,E01000790,1,204,99,475,30,19,171,49,1048
2021,Bromley 029E,E01000791,2,71,0,32,1,1,501,12,620
2021,Bromley 032C,E01000792,0,52,4,39,3,0,324,150,572
2021,Bromley 032D,E01000793,1,249,1,3,1,0,338,34,627
2021,Bromley 035E,E01000794,0,189,0,2,0,0,411,3,605
2021,Bromley 032E,E01000795,0,119,0,46,1,0,347,24,537
2021,Bromley 009C,E01000796,1,17,2,372,2,0,61,166,621
2021,Bromley 013E,E01000797,0,60,11,137,79,7,377,17,688
2021,Bromley 009D,E01000798,0,22,34,298,117,22,79,164,736
2021,Bromley 004A,E01000799,0,8,80,177,109,11,32,334,751
2021,Bromley 009E,E01000800,0,23,1,387,204,5,81,94,795
2021,Bromley 015E,E01000801,0,18,3,243,56,3,126,202,651
2021,Bromley 004B,E01000802,3,13,7,126,219,10,85,342,805
2021,Bromley 004C,E01000803,1,86,2,184,258,5,117,94,747
2021,Bromley 004D,E01000804,0,24,6,49,58,5,356,66,564
2021,Bromley 004E,E01000805,0,9,13,247,65,10,204,249,797
2021,Bromley 009F,E01000806,0,11,71,390,183,19,41,66,781
2021,Bromley 022C,E01000807,0,105,91,70,5,2,359,5,637
2021,Bromley 025A,E01000808,1,245,1,33,1,1,250,87,619
2021,Bromley 022D,E01000809,1,32,0,46,6,7,546,3,641
2021,Bromley 025B,E01000810,0,211,0,8,1,0,360,15,595
2021,Bromley 025C,E01000811,0,31,0,134,34,1,369,4,573
2021,Bromley 028D,E01000812,0,276,17,47,8,6,137,186,677
2021,Bromley 025D,E01000813,0,49,3,19,2,1,514,33,621
2021,Bromley 028E,E01000814,0,404,0,1,0,0,132,44,581
2021,Bromley 025E,E01000815,1,295,0,3,0,1,260,1,561
2021,Bromley 040A,E01000816,0,41,2,1,3,0,284,283,614
2021,Bromley 040B,E01000818,0,78,0,51,9,8,347,146,639
2021,Bromley 040C,E01000819,0,15,14,302,37,3,158,227,756
2021,Bromley 008C,E01000820,0,172,10,253,53,18,86,109,701
2021,Bromley 008D,E01000822,0,52,2,269,109,3,145,132,712
2021,Bromley 008E,E01000823,0,92,9,94,141,5,151,240,732
2021,Bromley 008F,E01000824,0,14,7,171,91,6,157,134,580
2021,Bromley 008G,E01000825,0,24,7,355,116,17,103,188,810
2021,Bromley 021A,E01000826,0,336,0,27,0,0,193,5,561
2021,Bromley 021B,E01000827,0,241,9,376,18,3,100,35,782
2021,Bromley 011E,E01000828,0,112,0,373,80,11,147,46,769
