date,geography,geography code,Accommodation type: A caravan or other mobile or temporary structure,Accommodation type: Detached,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse",Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: Total
2021,Tower Hamlets 006A,E01004311,0,0,6,698,14,3,0,34,755
2021,Tower Hamlets 009A,E01004312,0,4,3,441,7,1,6,22,484
2021,Tower Hamlets 009B,E01004313,0,2,32,693,24,16,10,27,804
2021,Tower Hamlets 006C,E01004315,1,7,22,441,20,25,55,89,660
2021,Tower Hamlets 009C,E01004316,0,0,5,397,9,23,3,2,439
2021,Tower Hamlets 021A,E01004319,2,2,30,674,14,74,15,32,843
2021,Tower Hamlets 021C,E01004321,0,4,39,616,41,27,18,98,843
2021,Tower Hamlets 017A,E01004322,0,4,5,457,16,25,2,14,523
2021,Tower Hamlets 017B,E01004323,1,12,11,256,32,9,25,128,474
2021,Tower Hamlets 017C,E01004324,0,6,2,435,10,3,13,50,519
2021,Tower Hamlets 017D,E01004326,1,1,40,693,10,18,3,1,767
2021,Waltham Forest 028A,E01004327,1,18,5,137,21,6,52,233,473
2021,Waltham Forest 028B,E01004328,1,33,11,140,102,4,58,311,660
2021,Waltham Forest 028C,E01004329,0,35,9,45,96,7,72,378,642
2021,Waltham Forest 028D,E01004330,0,34,2,25,41,0,50,458,610
2021,Waltham Forest 028E,E01004331,0,38,1,52,53,3,70,385,602
2021,Waltham Forest 028F,E01004332,1,23,29,133,131,4,100,232,653
2021,Waltham Forest 024A,E01004333,1,13,10,222,68,1,37,232,584
2021,Waltham Forest 024B,E01004334,0,13,1,416,12,1,79,91,613
2021,Waltham Forest 027A,E01004335,0,23,14,342,22,2,42,173,618
2021,Waltham Forest 026A,E01004336,3,39,16,97,113,8,67,244,587
2021,Waltham Forest 027B,E01004337,0,61,4,95,22,1,100,364,647
2021,Waltham Forest 027C,E01004338,0,36,6,49,193,4,81,277,646
2021,Waltham Forest 027D,E01004339,0,23,7,188,124,0,68,286,696
2021,Waltham Forest 027E,E01004340,1,29,1,294,87,3,51,249,715
2021,Waltham Forest 027F,E01004341,2,43,35,261,54,6,93,247,741
2021,Waltham Forest 011A,E01004342,1,38,9,89,75,4,91,416,723
2021,Waltham Forest 008A,E01004343,0,19,7,35,22,3,108,457,651
