date,geography,geography code,Employment history: Not in employment: Never worked,Employment history: Not in employment: Not worked in the last 12 months,Employment history: Not in employment: Worked in the last 12 months,Employment history: Total: All usual residents aged 16 years and over not in employment the week before the census
2021,Tower Hamlets 032B,E01032770,171,147,111,429
2021,Tower Hamlets 033B,E01032771,181,138,87,406
2021,Tower Hamlets 032C,E01032772,389,235,130,754
2021,Tower Hamlets 032E,E01032774,245,192,80,517
2021,Tower Hamlets 031F,E01032775,69,91,43,203
2021,Tower Hamlets 034D,E01032776,192,148,113,453
2021,Tower Hamlets 035A,E01032777,111,133,74,318
2021,Tower Hamlets 035C,E01032779,92,104,69,265
2021,Tower Hamlets 035D,E01032780,179,164,92,435
2021,Tower Hamlets 033C,E01032781,199,155,77,431
2021,Tower Hamlets 033D,E01032782,256,171,119,546
2021,Tower Hamlets 031G,E01032783,153,169,84,406
2021,Tower Hamlets 004G,E01032784,183,130,100,413
2021,Tower Hamlets 010E,E01032785,208,137,118,463
2021,Tower Hamlets 010F,E01032786,237,205,80,522
2021,Tower Hamlets 011F,E01032787,434,291,143,868
2021,Hammersmith and Fulham 023D,E01032788,125,183,64,372
2021,Hammersmith and Fulham 023E,E01032789,133,113,67,313
2021,Hammersmith and Fulham 023F,E01032790,143,181,66,390
2021,Southwark 036C,E01032803,75,130,62,267
2021,Southwark 035C,E01032834,34,113,38,185
2021,Hounslow 025F,E01033000,222,232,107,561
2021,Hounslow 025G,E01033030,145,127,94,366
2021,Hounslow 031D,E01033081,132,234,60,426
2021,Hounslow 031C,E01033082,95,300,89,484
2021,Hounslow 018F,E01033083,230,151,120,501
2021,Hounslow 018G,E01033084,266,205,109,580
2021,Haringey 020F,E01033086,218,192,54,464
2021,Wandsworth 038C,E01033098,121,152,80,353
2021,Wandsworth 004E,E01033099,112,179,90,381
2021,Wandsworth 039B,E01033100,156,224,126,506
2021,Wandsworth 038D,E01033132,127,198,120,445
2021,Wandsworth 004G,E01033133,64,116,52,232
2021,Wandsworth 010G,E01033135,40,126,45,211
2021,Enfield 025F,E01033146,263,205,63,531
2021,Enfield 003F,E01033148,363,251,97,711
2021,Enfield 003G,E01033150,202,191,91,484
2021,Enfield 025G,E01033151,276,215,69,560
2021,Lambeth 004G,E01033208,176,195,85,456
2021,Lewisham 017E,E01033320,127,250,84,461
2021,Lewisham 017F,E01033322,81,123,61,265
2021,Lewisham 008E,E01033324,168,250,76,494
2021,Lewisham 008F,E01033325,61,75,65,201
2021,Lewisham 041B,E01033327,175,263,149,587
2021,Lewisham 041C,E01033341,132,212,86,430
2021,Brent 031G,E01033455,185,134,67,386
2021,Brent 027F,E01033456,524,374,155,1053
2021,Brent 035A,E01033457,251,218,86,555
2021,Brent 003G,E01033463,386,488,162,1036
2021,Brent 031H,E01033485,224,245,112,581
2021,Islington 011E,E01033486,127,174,69,370
2021,Islington 011F,E01033487,50,63,52,165
2021,Islington 011G,E01033488,326,174,116,616
2021,Islington 022G,E01033489,227,161,106,494
2021,Islington 022H,E01033490,265,205,126,596
2021,Islington 011H,E01033491,168,244,103,515
2021,Islington 006F,E01033493,35,101,37,173
2021,Islington 006G,E01033494,100,201,84,385
2021,Kingston upon Thames 004G,E01033569,162,248,83,493
2021,Richmond upon Thames 004G,E01033570,144,267,76,487
2021,Richmond upon Thames 004H,E01033571,114,337,71,522
2021,Newham 040C,E01033579,125,120,137,382
2021,Newham 042A,E01033580,72,92,64,228
2021,Newham 041A,E01033581,202,241,135,578
2021,Newham 041B,E01033582,81,91,81,253
2021,Newham 034I,E01033584,291,221,96,608
2021,Newham 040D,E01033586,248,190,137,575
2021,Barking and Dagenham 021E,E01033587,234,173,124,531
2021,Redbridge 039B,E01033589,294,148,92,534
2021,Redbridge 037C,E01033590,160,102,54,316
2021,Redbridge 039A,E01033591,461,326,150,937
2021,Redbridge 037D,E01033592,236,288,87,611
2021,Westminster 015F,E01033593,325,160,93,578
2021,Westminster 015G,E01033594,369,234,89,692
2021,Westminster 023F,E01033597,136,189,47,372
2021,Westminster 009F,E01033598,358,211,124,693
2021,Westminster 023G,E01033599,235,184,80,499
2021,Westminster 009G,E01033601,396,371,82,849
2021,Westminster 009H,E01033602,370,260,88,718
2021,Westminster 009I,E01033603,200,223,102,525
2021,Westminster 009J,E01033604,244,184,84,512
2021,Westminster 009K,E01033605,411,254,99,764
2021,Hackney 030A,E01033699,101,121,52,274
2021,Hackney 030B,E01033700,156,208,114,478
2021,Hackney 028C,E01033702,210,138,54,402
2021,Hackney 010F,E01033703,184,180,65,429
2021,Hackney 023F,E01033704,129,120,137,386
2021,Hackney 028D,E01033705,240,156,62,458
2021,Hackney 033B,E01033706,122,86,99,307
2021,Hackney 033C,E01033708,229,183,113,525
2021,Hackney 032B,E01033709,154,192,93,439
2021,Hackney 028E,E01033710,103,89,71,263
2021,Hackney 032C,E01033711,349,166,155,670
2021,Hackney 023G,E01033712,134,173,75,382
2021,Hackney 010G,E01033713,119,117,59,295
2021,Greenwich 035B,E01033727,388,333,301,1022
2021,Greenwich 035C,E01033728,68,167,59,294
2021,Greenwich 030E,E01033729,371,453,320,1144
2021,Greenwich 041E,E01033732,62,85,55,202
2021,Greenwich 039B,E01033734,104,112,78,294
2021,Greenwich 042D,E01033735,114,138,71,323
2021,Greenwich 039A,E01033736,79,150,113,342
2021,Greenwich 042B,E01033737,212,204,126,542
2021,Greenwich 037D,E01033738,99,215,118,432
2021,Greenwich 002E,E01033739,158,173,91,422
2021,Greenwich 002F,E01033740,165,156,85,406
2021,Greenwich 002G,E01033741,488,583,180,1251
