date,geography,geography code,Second address type: Another address when working away from home,Second address type: Another parent or guardian's address,Second address type: Armed forces base address,Second address type: Holiday home,Second address type: Other,Second address type: Partner's address,Second address type: Second address type not specified,Second address type: Student's home address,Second address type: Student's term-time address,Second address type: Total: All usual residents
2021,Bromley 035E,E01000794,4,16,0,15,6,5,0,3,0,49
2021,Bromley 032E,E01000795,5,11,0,8,19,5,0,1,0,49
2021,Bromley 009C,E01000796,1,18,0,10,10,4,0,1,0,44
2021,Bromley 013E,E01000797,7,16,1,33,19,9,0,3,0,88
2021,Bromley 009D,E01000798,3,22,0,2,18,4,0,1,0,50
2021,Bromley 004A,E01000799,7,23,0,15,22,10,0,0,1,78
2021,Bromley 009E,E01000800,2,28,0,5,27,16,0,0,0,78
2021,Bromley 015E,E01000801,3,25,0,1,13,17,0,3,1,63
2021,Bromley 004B,E01000802,8,24,2,10,23,11,0,0,0,78
2021,Bromley 004C,E01000803,3,19,0,22,18,2,0,0,0,64
2021,Bromley 004D,E01000804,4,15,0,14,21,6,0,1,1,62
2021,Bromley 004E,E01000805,2,27,0,7,12,13,0,0,0,61
2021,Bromley 009F,E01000806,7,31,0,3,12,15,0,3,0,71
2021,Bromley 022C,E01000807,3,19,0,10,10,7,0,1,1,51
2021,Bromley 025A,E01000808,5,10,0,19,16,6,0,1,2,59
2021,Bromley 022D,E01000809,4,9,0,6,7,4,0,0,0,30
2021,Bromley 025B,E01000810,1,21,0,22,12,4,0,0,0,60
2021,Bromley 025C,E01000811,2,25,0,11,7,11,0,0,0,56
2021,Bromley 028D,E01000812,5,18,0,18,13,6,0,0,0,60
2021,Bromley 025D,E01000813,3,17,0,20,11,11,0,0,0,62
2021,Bromley 028E,E01000814,7,9,2,38,17,4,0,1,0,78
2021,Bromley 025E,E01000815,2,10,0,30,16,3,0,1,1,63
2021,Bromley 040A,E01000816,4,18,0,5,8,9,0,1,0,45
2021,Bromley 040B,E01000818,7,17,0,32,13,13,0,4,0,86
2021,Bromley 040C,E01000819,9,28,0,8,18,7,0,3,0,73
2021,Bromley 008C,E01000820,7,15,0,16,25,9,0,1,0,73
2021,Bromley 008D,E01000822,2,12,0,15,9,8,0,1,0,47
2021,Bromley 008E,E01000823,4,26,0,25,20,11,0,0,0,86
2021,Bromley 008F,E01000824,6,37,1,12,10,4,0,4,0,74
2021,Bromley 008G,E01000825,8,31,0,10,28,10,0,1,0,88
2021,Bromley 021A,E01000826,6,9,1,21,19,5,0,3,0,64
2021,Bromley 021B,E01000827,3,25,0,40,15,7,0,2,0,92
2021,Bromley 011E,E01000828,7,15,0,19,16,11,0,0,0,68
2021,Bromley 018E,E01000829,5,29,0,19,14,4,0,1,1,73
2021,Bromley 021C,E01000830,4,10,1,57,20,5,0,2,0,99
2021,Bromley 021D,E01000831,10,19,0,42,16,9,0,3,0,99
2021,Bromley 030A,E01000832,6,14,1,31,14,5,0,0,0,71
2021,Bromley 021E,E01000833,2,3,0,23,12,8,0,2,1,51
2021,Bromley 027E,E01000834,1,13,2,14,7,1,0,1,0,39
2021,Bromley 030B,E01000835,2,19,0,16,22,8,0,2,0,69
2021,Bromley 030C,E01000836,3,17,0,8,5,11,0,0,0,44
2021,Bromley 030D,E01000837,5,18,0,18,5,12,0,3,2,63
2021,Bromley 030E,E01000838,8,15,0,15,9,7,0,0,0,54
2021,Bromley 030F,E01000839,9,18,0,27,8,4,0,0,2,68
2021,Bromley 030G,E01000840,3,7,0,25,13,4,0,0,1,53
2021,Bromley 030H,E01000841,10,18,0,17,6,10,0,0,1,62
2021,Camden 011A,E01000842,23,36,0,30,54,25,0,4,0,172
2021,Camden 014A,E01000843,11,40,2,35,42,20,0,12,1,163
2021,Camden 011B,E01000844,12,46,0,64,37,19,0,20,0,198
2021,Camden 014B,E01000845,9,44,0,62,29,11,0,8,1,164
2021,Camden 014C,E01000846,7,19,0,30,29,8,0,5,0,98
2021,Camden 014D,E01000847,12,32,1,40,32,14,0,18,0,149
2021,Camden 011C,E01000848,22,29,0,59,35,15,0,9,0,169
2021,Camden 011D,E01000849,10,51,0,51,34,15,0,14,1,176
2021,Camden 026A,E01000850,26,114,0,40,33,38,0,190,0,441
2021,Camden 026B,E01000851,9,122,1,38,46,36,0,343,0,595
2021,Camden 029H,E01000853,5,49,0,16,31,20,0,43,0,164
