date,geography,geography code,Number of disabled people in household: 1 person disabled under the Equality Act in household,Number of disabled people in household: 2 or more people disabled under the Equality Act in household,Number of disabled people in household: No people disabled under the Equality Act in household,Number of disabled people in household: Total: All households
2021,Wandsworth 021E,E01004544,86,32,471,589
2021,Wandsworth 027B,E01004545,134,17,869,1020
2021,Wandsworth 027C,E01004546,94,12,508,614
2021,Wandsworth 029C,E01004547,112,29,414,555
2021,Wandsworth 029D,E01004548,192,35,795,1022
2021,Wandsworth 027D,E01004549,94,25,546,665
2021,Wandsworth 017D,E01004550,103,13,407,523
2021,Wandsworth 012E,E01004551,118,20,649,787
2021,Wandsworth 008C,E01004552,101,14,771,886
2021,Wandsworth 015A,E01004553,101,19,656,776
2021,Wandsworth 009A,E01004554,59,18,545,622
2021,Wandsworth 017E,E01004555,85,14,477,576
2021,Wandsworth 009B,E01004556,87,14,482,583
2021,Wandsworth 015B,E01004557,104,18,537,659
2021,Wandsworth 015C,E01004558,80,24,566,670
2021,Wandsworth 015D,E01004559,80,22,413,515
2021,Wandsworth 001A,E01004560,127,19,737,883
2021,Wandsworth 039E,E01004563,168,41,659,868
2021,Wandsworth 039D,E01004564,139,38,653,830
2021,Wandsworth 005A,E01004565,154,18,607,779
2021,Wandsworth 001B,E01004566,121,16,650,787
2021,Wandsworth 039A,E01004567,228,57,697,982
2021,Wandsworth 013A,E01004568,123,27,308,458
2021,Wandsworth 023A,E01004569,162,61,502,725
2021,Wandsworth 023B,E01004570,218,44,457,719
2021,Wandsworth 023C,E01004571,162,49,477,688
2021,Wandsworth 016A,E01004572,143,37,486,666
2021,Wandsworth 023D,E01004573,134,40,458,632
2021,Wandsworth 013B,E01004574,167,40,495,702
2021,Wandsworth 013C,E01004575,189,37,456,682
2021,Wandsworth 013D,E01004576,145,33,415,593
2021,Wandsworth 003C,E01004577,143,16,661,820
2021,Wandsworth 004B,E01004579,162,21,645,828
2021,Wandsworth 004C,E01004580,139,21,733,893
2021,Wandsworth 004D,E01004581,139,30,668,837
2021,Wandsworth 001C,E01004582,154,31,800,985
2021,Wandsworth 001D,E01004583,152,22,637,811
2021,Wandsworth 003D,E01004584,180,46,490,716
2021,Wandsworth 008D,E01004585,129,19,675,823
2021,Wandsworth 009C,E01004586,110,25,716,851
2021,Wandsworth 009D,E01004587,105,16,575,696
2021,Wandsworth 008E,E01004588,94,21,766,881
2021,Wandsworth 009E,E01004589,115,9,608,732
2021,Wandsworth 005B,E01004590,210,42,563,815
2021,Wandsworth 005C,E01004591,193,22,646,861
2021,Wandsworth 005D,E01004592,213,48,518,779
2021,Wandsworth 025A,E01004593,139,18,679,836
2021,Wandsworth 020D,E01004594,95,22,510,627
2021,Wandsworth 025B,E01004595,129,18,645,792
2021,Wandsworth 020E,E01004596,92,19,532,643
2021,Wandsworth 025C,E01004597,145,34,589,768
2021,Wandsworth 025D,E01004598,118,21,817,956
2021,Wandsworth 025E,E01004599,94,21,452,567
2021,Wandsworth 018D,E01004601,202,41,852,1095
2021,Wandsworth 010C,E01004602,105,18,590,713
2021,Wandsworth 006A,E01004604,94,20,479,593
2021,Wandsworth 006B,E01004605,174,20,610,804
2021,Wandsworth 006C,E01004606,82,13,656,751
2021,Wandsworth 006D,E01004607,87,14,584,685
2021,Wandsworth 006E,E01004608,155,28,601,784
2021,Wandsworth 010E,E01004609,130,28,855,1013
2021,Wandsworth 033C,E01004610,139,51,525,715
2021,Wandsworth 032B,E01004611,96,35,423,554
2021,Wandsworth 032C,E01004612,127,32,383,542
2021,Wandsworth 033D,E01004613,167,39,492,698
2021,Wandsworth 034A,E01004614,176,45,614,835
2021,Wandsworth 034B,E01004615,190,40,476,706
2021,Wandsworth 034C,E01004616,126,30,609,765
2021,Wandsworth 034D,E01004617,153,44,529,726
2021,Wandsworth 032D,E01004618,98,25,407,530
2021,Wandsworth 015E,E01004619,75,15,413,503
2021,Wandsworth 019C,E01004620,119,23,539,681
2021,Wandsworth 019D,E01004621,113,30,553,696
2021,Wandsworth 024D,E01004622,86,15,418,519
2021,Wandsworth 019E,E01004623,110,17,577,704
2021,Wandsworth 024E,E01004624,127,34,449,610
2021,Wandsworth 027E,E01004625,83,20,370,473
2021,Wandsworth 027F,E01004626,114,20,633,767
2021,Wandsworth 019F,E01004627,99,23,483,605
2021,Wandsworth 022A,E01004628,168,36,686,890
2021,Wandsworth 020F,E01004629,138,34,430,602
2021,Wandsworth 022B,E01004630,173,54,431,658
2021,Wandsworth 022C,E01004631,135,32,574,741
2021,Wandsworth 028A,E01004632,100,17,457,574
2021,Wandsworth 022D,E01004633,156,37,408,601
2021,Wandsworth 028B,E01004634,121,18,542,681
2021,Wandsworth 028C,E01004635,101,36,531,668
2021,Wandsworth 028D,E01004636,124,20,475,619
2021,Wandsworth 028E,E01004637,91,25,452,568
2021,Wandsworth 011B,E01004638,93,23,387,503
2021,Wandsworth 011C,E01004639,126,21,622,769
2021,Wandsworth 011D,E01004640,134,14,623,771
2021,Wandsworth 011E,E01004641,202,48,536,786
2021,Wandsworth 016B,E01004642,161,52,615,828
2021,Wandsworth 016C,E01004643,224,45,700,969
2021,Wandsworth 016D,E01004644,234,50,782,1066
2021,Wandsworth 016E,E01004645,186,59,571,816
2021,Westminster 002A,E01004646,133,38,471,642
2021,Westminster 001A,E01004647,138,30,453,621
2021,Westminster 002B,E01004648,160,19,853,1032
2021,Westminster 001B,E01004649,84,15,495,594
2021,Westminster 002C,E01004650,124,12,720,856
2021,Westminster 003A,E01004651,118,16,878,1012
2021,Westminster 017A,E01004652,124,34,692,850
2021,Westminster 014A,E01004653,145,24,629,798
