date,geography,geography code,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census
2021,Waltham Forest 015C,E01004466,176,334,200,39,53,41,43,36,51,973
2021,Waltham Forest 015D,E01004467,120,238,148,76,109,97,94,78,140,1100
2021,Waltham Forest 015E,E01004468,162,292,180,57,72,41,36,31,82,953
2021,Waltham Forest 013D,E01004469,74,167,93,65,90,90,66,68,94,807
2021,Waltham Forest 013E,E01004470,95,231,112,53,86,61,52,35,91,816
2021,Waltham Forest 013F,E01004471,97,217,136,55,73,53,52,48,98,829
2021,Wandsworth 021A,E01004472,244,461,263,81,24,31,27,9,27,1167
2021,Wandsworth 026A,E01004473,218,440,287,79,25,48,24,17,26,1164
2021,Wandsworth 021B,E01004474,253,555,315,107,40,70,62,22,64,1488
2021,Wandsworth 026B,E01004475,179,357,202,76,26,33,31,9,26,939
2021,Wandsworth 021C,E01004476,211,483,297,82,34,47,39,14,42,1249
2021,Wandsworth 017A,E01004477,238,340,181,36,7,28,16,6,14,866
2021,Wandsworth 017B,E01004478,243,279,160,47,7,27,23,2,14,802
2021,Wandsworth 017C,E01004479,229,316,177,64,20,33,15,6,6,866
2021,Wandsworth 026C,E01004480,249,504,287,80,19,24,33,8,24,1228
2021,Wandsworth 029A,E01004481,155,447,289,74,39,52,32,30,42,1160
2021,Wandsworth 030A,E01004482,149,321,255,81,23,48,42,24,50,993
2021,Wandsworth 026D,E01004483,235,531,298,97,53,64,44,32,61,1415
2021,Wandsworth 026E,E01004484,156,379,258,60,27,34,34,18,40,1006
2021,Wandsworth 030B,E01004485,203,424,226,83,40,50,37,20,30,1113
2021,Wandsworth 026F,E01004486,183,397,206,74,35,34,18,11,31,989
2021,Wandsworth 030C,E01004487,195,336,182,64,27,43,33,20,45,945
2021,Wandsworth 029B,E01004488,187,260,147,47,20,39,26,13,12,751
2021,Wandsworth 030D,E01004489,180,239,145,48,32,34,22,15,27,742
2021,Wandsworth 031A,E01004490,252,317,199,74,22,44,24,18,29,979
2021,Wandsworth 031B,E01004491,158,672,203,88,48,141,45,47,59,1461
2021,Wandsworth 031C,E01004492,171,340,218,77,50,61,41,25,55,1038
2021,Wandsworth 019A,E01004493,239,385,259,121,36,60,37,38,50,1225
2021,Wandsworth 018A,E01004494,185,348,235,82,39,74,55,42,54,1114
2021,Wandsworth 024A,E01004495,109,215,146,49,38,88,64,43,64,816
2021,Wandsworth 024B,E01004496,319,508,308,101,29,36,37,13,22,1373
2021,Wandsworth 024C,E01004497,171,247,159,44,39,47,23,15,24,769
