date,geography,geography code,Method of travel to workplace: Bicycle,"Method of travel to workplace: Bus, minibus or coach",Method of travel to workplace: Driving a car or van,"Method of travel to workplace: Motorcycle, scooter or moped",Method of travel to workplace: On foot,Method of travel to workplace: Other method of travel to work,Method of travel to workplace: Passenger in a car or van,Method of travel to workplace: Taxi,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,Method of travel to workplace: Train,"Method of travel to workplace: Underground, metro, light rail, tram",Method of travel to workplace: Work mainly at or from home
2021,Barking and Dagenham 017E,E01000072,24,74,307,3,43,12,38,4,868,77,118,168
2021,Barking and Dagenham 012B,E01000073,15,79,273,10,33,17,14,3,788,73,126,145
2021,Barking and Dagenham 012C,E01000074,13,67,293,9,25,15,21,2,754,55,103,151
2021,Barking and Dagenham 012D,E01000075,15,62,302,1,44,20,29,6,954,115,191,169
2021,Barking and Dagenham 012E,E01000076,17,66,307,4,39,15,37,4,854,75,166,124
2021,Barking and Dagenham 008F,E01000077,6,101,240,6,26,12,20,5,713,48,119,130
2021,Barking and Dagenham 007B,E01000078,10,84,292,7,38,15,29,6,781,74,96,130
2021,Barking and Dagenham 009E,E01000079,7,76,255,0,39,6,20,3,723,48,125,144
2021,Barking and Dagenham 007C,E01000080,8,90,282,8,33,6,14,8,829,71,151,158
2021,Barking and Dagenham 007D,E01000081,17,89,330,11,40,13,18,9,891,66,149,149
2021,Barking and Dagenham 007E,E01000082,8,91,346,4,44,12,31,3,858,65,114,140
2021,Barking and Dagenham 007F,E01000083,13,106,269,8,49,16,27,4,777,69,77,139
2021,Barking and Dagenham 013D,E01000084,8,71,201,3,39,6,16,5,633,55,142,87
2021,Barking and Dagenham 013E,E01000085,12,101,224,7,53,7,25,1,731,79,133,89
2021,Barking and Dagenham 013F,E01000086,15,65,215,6,41,7,36,1,639,48,110,95
2021,Barking and Dagenham 020B,E01000087,9,61,242,5,43,9,22,5,701,67,104,134
2021,Barking and Dagenham 020C,E01000088,10,81,289,6,37,15,22,4,808,71,131,142
2021,Barking and Dagenham 020D,E01000089,3,100,292,5,39,15,21,6,778,60,103,134
2021,Barking and Dagenham 020E,E01000090,14,90,273,2,38,7,26,3,729,56,94,126
2021,Barking and Dagenham 022A,E01000091,7,141,269,3,28,9,12,3,805,74,130,129
2021,Barking and Dagenham 022B,E01000093,13,102,224,2,31,13,14,5,691,68,99,120
2021,Barking and Dagenham 022C,E01000094,17,119,353,5,35,15,11,2,1123,88,233,245
2021,Barking and Dagenham 018E,E01000095,10,78,323,7,35,12,19,10,958,69,145,250
2021,Barking and Dagenham 022D,E01000096,5,93,206,6,24,6,13,2,605,61,84,105
2021,Barking and Dagenham 023C,E01000097,6,83,268,4,43,8,29,6,793,98,89,159
2021,Barking and Dagenham 023D,E01000098,12,93,300,5,44,16,14,5,789,78,88,134
2021,Barking and Dagenham 023E,E01000099,17,122,463,9,53,20,39,3,1300,150,137,287
2021,Barking and Dagenham 004B,E01000100,7,100,301,6,50,19,33,9,812,51,80,156
2021,Barking and Dagenham 004C,E01000101,7,129,268,9,41,14,21,2,738,61,71,115
2021,Barking and Dagenham 007G,E01000102,6,93,297,7,33,10,15,7,751,58,98,127
2021,Barking and Dagenham 014A,E01000103,10,69,297,11,26,16,28,4,805,71,112,161
2021,Barking and Dagenham 014B,E01000104,10,89,279,12,27,10,20,2,821,71,127,174
2021,Barking and Dagenham 014C,E01000105,12,118,325,8,62,18,23,11,1021,79,175,190
2021,Barking and Dagenham 014D,E01000106,12,97,295,4,48,10,18,5,865,91,152,133
2021,Barking and Dagenham 010C,E01000107,11,37,263,5,25,10,26,6,736,62,135,156
2021,Barking and Dagenham 010D,E01000108,5,64,280,5,31,8,18,3,853,94,179,166
2021,Barking and Dagenham 002C,E01000110,9,57,259,4,43,14,21,3,741,58,76,197
2021,Barking and Dagenham 002D,E01000111,8,117,322,3,43,16,26,5,963,76,144,203
2021,Barking and Dagenham 002E,E01000112,3,80,261,1,40,16,25,3,918,129,122,238
2021,Barking and Dagenham 002F,E01000113,8,97,269,4,45,5,19,8,948,119,116,258
2021,Barking and Dagenham 004E,E01000114,10,133,371,8,43,14,19,8,1034,92,102,234
2021,Barnet 009A,E01000115,3,14,235,0,27,10,15,2,671,7,55,303
2021,Barnet 009B,E01000116,3,44,274,3,46,13,16,6,832,16,66,345
2021,Barnet 010A,E01000117,11,43,266,6,35,10,18,2,817,23,55,348
2021,Barnet 010B,E01000118,12,54,373,2,38,9,21,9,1001,11,83,389
2021,Barnet 009C,E01000119,10,25,248,7,27,11,17,1,840,16,85,393
2021,Barnet 009D,E01000120,7,22,227,4,31,9,15,1,709,12,56,325
2021,Barnet 010C,E01000121,2,69,209,3,22,12,14,1,630,10,62,226
2021,Barnet 009E,E01000122,6,29,240,3,23,9,21,3,737,19,75,309
2021,Barnet 010D,E01000123,9,46,279,8,41,16,21,2,974,8,131,413
2021,Barnet 010E,E01000124,22,93,227,7,32,10,25,2,875,27,120,310
2021,Barnet 026A,E01000126,11,132,306,8,44,14,26,6,1022,29,146,300
2021,Barnet 024B,E01000127,10,96,217,5,47,11,26,0,692,20,107,153
2021,Barnet 024C,E01000128,7,95,291,10,58,10,32,5,917,26,157,226
2021,Barnet 024D,E01000129,7,108,206,3,62,20,25,1,716,27,127,130
2021,Barnet 021A,E01000130,10,132,308,7,48,12,21,9,924,46,126,205
2021,Barnet 024E,E01000131,17,114,258,11,33,14,29,7,961,39,162,277
2021,Barnet 021B,E01000132,8,89,233,8,52,10,37,4,738,33,113,151
2021,Barnet 021C,E01000133,11,115,253,3,43,9,22,2,735,25,84,168
2021,Barnet 024F,E01000134,9,110,224,15,51,23,20,3,804,28,135,186
2021,Barnet 038A,E01000135,22,52,132,5,32,17,7,6,781,9,74,425
2021,Barnet 038B,E01000136,7,21,96,2,23,10,8,6,666,7,64,422
2021,Barnet 041A,E01000137,17,122,151,3,33,14,11,9,687,12,76,239
2021,Barnet 040A,E01000138,13,110,175,5,47,11,13,7,758,24,73,280
2021,Barnet 041B,E01000139,12,61,103,5,38,15,8,5,721,18,67,389
2021,Barnet 041C,E01000140,24,104,126,13,52,14,6,7,1036,21,109,560
2021,Barnet 039A,E01000141,31,217,133,9,68,16,10,3,999,48,146,318
2021,Barnet 040B,E01000142,28,158,197,16,50,25,15,8,1074,40,131,406
2021,Barnet 041D,E01000143,15,119,125,11,47,25,9,6,751,42,77,275
2021,Barnet 038C,E01000144,19,91,106,0,48,7,12,3,817,13,117,401
2021,Barnet 037A,E01000145,6,36,166,2,43,10,11,3,651,21,52,301
2021,Barnet 038D,E01000146,20,93,127,3,59,15,12,10,1024,11,177,497
2021,Barnet 043F,E01000147,10,109,315,6,69,12,39,4,968,26,150,228
2021,Barnet 036A,E01000150,15,123,361,10,36,14,29,4,1139,34,160,353
2021,Barnet 026B,E01000151,1,78,177,21,65,10,11,5,591,28,81,114
2021,Barnet 026C,E01000152,9,123,370,10,59,15,24,6,1320,60,159,485
2021,Barnet 026D,E01000153,5,122,253,7,58,25,18,4,829,25,93,219
2021,Barnet 026E,E01000154,11,108,220,7,34,18,23,3,897,21,187,265
2021,Barnet 022A,E01000156,31,72,204,9,60,26,11,9,1008,12,90,484
2021,Barnet 022B,E01000157,19,88,162,8,48,12,16,3,811,15,68,372
2021,Barnet 015A,E01000158,19,53,198,5,39,10,9,8,741,18,79,303
2021,Barnet 015B,E01000159,12,49,250,7,28,13,17,1,886,22,93,394
2021,Barnet 015C,E01000160,12,75,214,15,41,15,8,3,1058,49,99,527
2021,Barnet 015D,E01000161,10,109,225,6,36,20,7,5,933,25,96,394
2021,Barnet 015E,E01000162,9,78,193,7,43,14,17,4,700,11,49,275
2021,Barnet 022C,E01000163,13,132,240,9,47,12,21,2,773,12,70,215
2021,Barnet 022D,E01000164,9,125,215,10,48,10,12,5,771,15,73,249
2021,Barnet 022E,E01000165,17,78,250,4,31,12,6,2,844,40,86,318
2021,Barnet 003A,E01000166,6,26,264,1,24,8,16,4,713,21,58,285
2021,Barnet 002A,E01000167,6,43,258,3,40,8,23,6,668,17,46,218
2021,Barnet 003B,E01000168,2,15,254,1,25,6,9,4,702,9,49,328
2021,Barnet 003C,E01000169,8,35,251,4,32,16,11,7,828,42,60,362
2021,Barnet 006A,E01000170,3,78,341,6,30,9,20,5,907,25,51,339
2021,Barnet 006B,E01000171,10,102,336,10,54,19,24,3,1065,46,87,374
2021,Barnet 003D,E01000172,5,20,239,0,23,12,13,3,735,11,41,368
2021,Barnet 006C,E01000173,10,32,254,8,43,8,14,5,818,23,49,372
2021,Barnet 006D,E01000174,9,71,239,8,52,10,7,3,811,45,64,303
2021,Barnet 006E,E01000175,11,44,282,3,55,25,14,3,1023,91,65,430
2021,Barnet 027A,E01000176,8,70,209,2,34,6,20,2,744,30,71,292
2021,Barnet 029A,E01000177,18,34,120,8,43,8,8,4,871,6,114,508
2021,Barnet 027B,E01000178,23,45,119,5,37,6,10,5,810,9,85,466
2021,Barnet 029B,E01000179,19,64,183,8,47,22,13,1,1022,4,128,533
2021,Barnet 029C,E01000180,13,52,151,5,34,6,8,1,758,20,102,366
2021,Barnet 029D,E01000181,16,26,114,5,51,15,2,5,966,9,156,567
2021,Barnet 029E,E01000182,21,37,88,2,44,11,3,2,884,11,114,551
2021,Barnet 033A,E01000183,18,26,126,7,22,9,6,3,670,14,79,360
2021,Barnet 027C,E01000184,20,103,238,8,59,10,18,3,820,13,69,279
2021,Barnet 029F,E01000185,14,70,174,3,60,8,10,2,636,13,88,194
2021,Barnet 014A,E01000186,2,56,275,1,37,13,19,3,844,11,56,371
2021,Barnet 014B,E01000187,5,33,240,0,31,5,11,0,705,5,65,310
2021,Barnet 014C,E01000188,0,12,236,0,18,12,3,6,725,18,57,363
2021,Barnet 014D,E01000189,7,95,360,3,35,10,16,9,1241,20,158,528
2021,Barnet 014E,E01000190,10,35,237,2,30,6,13,11,795,15,55,381
2021,Barnet 014F,E01000191,2,15,219,3,32,12,7,3,670,9,54,314
2021,Barnet 018A,E01000192,11,89,231,7,60,16,22,4,951,33,108,370
2021,Barnet 018B,E01000193,6,85,234,4,69,10,23,3,963,54,132,343
2021,Barnet 018C,E01000194,8,97,221,4,66,14,20,4,853,37,119,263
2021,Barnet 013A,E01000195,6,133,325,4,37,10,48,2,887,17,98,207
2021,Barnet 028A,E01000196,12,95,192,8,56,15,7,4,1104,26,149,540
2021,Barnet 023A,E01000197,23,59,177,8,49,15,8,3,1009,15,174,478
2021,Barnet 025A,E01000198,10,66,297,8,34,9,15,5,975,11,60,460
2021,Barnet 025B,E01000199,5,26,160,4,18,6,5,2,700,6,47,421
2021,Barnet 028B,E01000200,8,50,181,5,28,11,8,6,873,14,77,485
2021,Barnet 028C,E01000201,3,24,184,4,24,7,10,2,704,14,30,402
2021,Barnet 028D,E01000202,10,59,133,5,38,8,14,2,858,10,93,486
2021,Barnet 028E,E01000203,15,87,186,9,32,12,18,5,799,10,69,356
2021,Barnet 025C,E01000204,12,29,161,10,30,7,8,3,850,15,87,488
2021,Barnet 035A,E01000205,11,14,139,3,20,11,14,5,748,5,49,477
2021,Barnet 033B,E01000206,6,12,143,3,20,9,13,9,688,9,31,433
2021,Barnet 033C,E01000207,6,26,130,3,18,7,8,2,667,9,47,411
2021,Barnet 033D,E01000208,14,28,141,3,22,14,4,5,850,12,77,530
2021,Barnet 035B,E01000209,8,21,93,0,19,8,9,3,653,10,43,439
2021,Barnet 033E,E01000210,9,18,143,2,31,8,5,4,778,3,69,486
2021,Barnet 035C,E01000211,13,167,173,6,57,14,11,6,1026,11,133,435
2021,Barnet 035D,E01000212,8,56,94,2,22,8,8,3,670,10,82,377
2021,Barnet 033F,E01000213,10,14,122,4,6,5,3,2,610,2,33,409
2021,Barnet 038E,E01000214,20,50,112,3,35,6,6,9,910,11,106,552
2021,Barnet 037B,E01000215,6,45,202,5,80,23,15,2,798,12,75,333
2021,Barnet 035E,E01000216,9,52,168,1,53,9,11,2,862,8,77,472
2021,Barnet 035F,E01000217,27,54,191,4,65,20,9,5,797,6,73,343
2021,Barnet 037C,E01000218,8,67,191,3,69,12,25,1,779,14,90,299
2021,Barnet 037D,E01000219,12,114,238,5,96,14,22,12,979,26,130,310
