date,geography,geography code,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 60km and over,Distance travelled to work: Less than 2km,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",Distance travelled to work: Works mainly from home
2021,City of London 001A,E01000001,10,1,53,2,2,35,3,86,864,33,639
2021,City of London 001B,E01000002,5,2,40,4,3,23,2,79,879,45,676
2021,City of London 001C,E01000003,20,3,82,0,0,60,5,144,999,67,618
2021,City of London 001E,E01000005,27,4,78,0,2,43,2,95,498,44,203
2021,Barking and Dagenham 016A,E01000006,161,42,91,8,5,107,13,61,886,206,192
2021,Barking and Dagenham 015A,E01000007,330,58,116,13,23,204,9,79,1386,184,370
2021,Barking and Dagenham 015B,E01000008,141,22,63,4,0,116,9,45,646,166,80
2021,Barking and Dagenham 016B,E01000009,153,39,72,13,8,87,13,56,788,184,163
2021,Barking and Dagenham 016C,E01000011,127,23,74,10,3,105,9,46,736,203,136
2021,Barking and Dagenham 015D,E01000012,149,28,80,4,3,139,12,68,899,228,188
2021,Barking and Dagenham 013A,E01000013,141,58,97,11,6,79,8,77,802,199,126
2021,Barking and Dagenham 013B,E01000014,136,38,107,7,4,85,10,69,796,194,146
2021,Barking and Dagenham 009A,E01000015,174,72,138,15,5,106,11,77,1063,263,202
2021,Barking and Dagenham 009B,E01000016,158,53,137,8,9,85,6,69,864,190,149
2021,Barking and Dagenham 009C,E01000017,137,45,119,8,4,63,12,54,750,170,138
2021,Barking and Dagenham 009D,E01000018,166,66,115,5,3,61,7,63,833,204,143
2021,Barking and Dagenham 023A,E01000019,74,35,119,6,4,86,10,51,683,170,128
2021,Barking and Dagenham 023B,E01000020,143,43,167,8,3,78,9,48,891,210,182
2021,Barking and Dagenham 008A,E01000021,99,24,110,8,3,83,9,54,686,179,117
2021,Barking and Dagenham 008B,E01000022,86,29,107,7,3,63,6,52,638,147,138
2021,Barking and Dagenham 008D,E01000024,109,22,116,6,4,83,6,31,627,145,105
2021,Barking and Dagenham 008E,E01000025,157,44,124,5,3,106,9,42,841,175,176
2021,Barking and Dagenham 001A,E01000027,126,49,119,9,6,95,3,42,802,212,141
2021,Barking and Dagenham 001B,E01000028,94,38,109,21,3,82,7,40,684,164,126
2021,Barking and Dagenham 001C,E01000029,112,45,104,9,6,92,6,45,774,168,187
2021,Barking and Dagenham 001D,E01000030,141,65,140,25,5,125,10,34,976,207,224
2021,Barking and Dagenham 002A,E01000031,130,60,96,7,3,67,6,35,789,143,242
2021,Barking and Dagenham 002B,E01000032,144,32,92,11,3,115,16,62,880,207,198
2021,Barking and Dagenham 006A,E01000033,106,31,101,8,6,77,3,49,592,125,86
2021,Barking and Dagenham 003A,E01000034,88,41,89,11,3,59,9,61,656,155,140
2021,Barking and Dagenham 010A,E01000035,149,46,105,8,3,85,9,50,817,207,155
2021,Barking and Dagenham 010B,E01000036,139,61,64,11,5,61,4,30,690,170,145
2021,Barking and Dagenham 003B,E01000037,114,62,99,7,1,76,7,96,854,165,227
2021,Barking and Dagenham 003C,E01000038,126,45,85,7,2,68,7,90,783,155,198
2021,Barking and Dagenham 003D,E01000039,109,53,81,9,3,73,7,75,820,194,216
2021,Barking and Dagenham 019A,E01000040,143,32,93,5,4,79,1,65,740,167,151
2021,Barking and Dagenham 017A,E01000041,150,30,117,13,8,113,10,50,826,205,130
2021,Barking and Dagenham 017B,E01000042,146,13,89,8,4,112,7,42,708,160,127
2021,Barking and Dagenham 019B,E01000043,137,16,85,11,2,72,6,62,703,171,141
2021,Barking and Dagenham 016D,E01000044,169,22,103,7,11,104,11,66,897,259,145
2021,Barking and Dagenham 017C,E01000045,120,30,89,9,3,103,10,32,727,195,136
2021,Barking and Dagenham 017D,E01000046,165,47,121,4,6,118,16,51,858,195,135
2021,Barking and Dagenham 021C,E01000049,144,24,96,4,6,106,6,73,677,149,69
2021,Barking and Dagenham 019C,E01000050,158,25,72,12,7,115,12,66,818,161,190
2021,Barking and Dagenham 021D,E01000051,132,25,41,6,3,63,0,38,570,98,164
2021,Barking and Dagenham 019D,E01000052,206,27,92,8,8,113,13,78,971,228,198
2021,Barking and Dagenham 020A,E01000053,124,38,66,8,4,95,11,48,691,186,111
2021,Barking and Dagenham 018A,E01000054,153,31,110,14,5,91,6,66,817,198,143
2021,Barking and Dagenham 018B,E01000055,141,49,89,10,7,107,10,58,748,165,112
2021,Barking and Dagenham 018C,E01000056,120,34,94,8,5,99,7,56,708,169,116
2021,Barking and Dagenham 012A,E01000057,107,43,75,15,10,87,12,51,660,148,112
2021,Barking and Dagenham 018D,E01000058,191,45,107,11,1,103,25,65,921,237,136
2021,Barking and Dagenham 013C,E01000059,152,45,88,9,4,103,9,60,784,193,121
2021,Barking and Dagenham 006B,E01000060,147,61,135,11,2,64,14,67,871,196,174
2021,Barking and Dagenham 006C,E01000061,108,51,139,3,3,87,14,70,756,130,151
2021,Barking and Dagenham 006D,E01000062,171,66,152,15,4,90,7,68,1025,258,194
2021,Barking and Dagenham 004A,E01000063,125,30,133,6,2,95,8,61,797,186,151
2021,Barking and Dagenham 006E,E01000064,194,80,149,13,8,91,6,54,1025,236,194
2021,Barking and Dagenham 007A,E01000065,123,42,116,12,5,89,7,60,813,200,159
2021,Barking and Dagenham 011A,E01000066,145,33,124,13,5,123,11,67,977,223,233
2021,Barking and Dagenham 011B,E01000067,173,20,141,8,4,122,11,56,931,171,225
2021,Barking and Dagenham 016E,E01000068,153,29,84,9,6,99,12,54,846,183,217
2021,Barking and Dagenham 011C,E01000069,172,21,137,5,6,116,8,61,1016,183,307
2021,Barking and Dagenham 011D,E01000070,132,17,94,11,5,103,7,62,890,179,280
2021,Barking and Dagenham 011E,E01000071,205,40,115,10,14,138,6,85,1212,260,339
2021,Barking and Dagenham 017E,E01000072,151,28,149,4,10,102,11,35,871,213,168
2021,Barking and Dagenham 012B,E01000073,153,21,102,9,7,106,10,40,788,195,145
2021,Barking and Dagenham 012C,E01000074,124,32,127,9,3,98,5,36,751,166,151
2021,Barking and Dagenham 012D,E01000075,178,45,117,0,5,139,8,60,950,229,169
2021,Barking and Dagenham 012E,E01000076,159,33,132,13,7,110,10,42,855,225,124
2021,Barking and Dagenham 008F,E01000077,137,27,105,5,6,98,8,29,712,167,130
2021,Barking and Dagenham 007B,E01000078,142,39,120,7,8,78,10,69,777,174,130
2021,Barking and Dagenham 009E,E01000079,136,27,96,9,2,64,4,63,723,178,144
2021,Barking and Dagenham 007C,E01000080,153,38,124,6,6,76,7,58,826,200,158
2021,Barking and Dagenham 007D,E01000081,176,46,129,5,7,99,10,74,891,196,149
2021,Barking and Dagenham 007E,E01000082,145,44,147,9,6,89,9,55,861,217,140
2021,Barking and Dagenham 007F,E01000083,120,34,126,13,3,79,6,81,776,175,139
2021,Barking and Dagenham 013D,E01000084,108,52,82,7,4,67,12,55,634,160,87
2021,Barking and Dagenham 013E,E01000085,156,42,101,7,5,73,10,85,733,165,89
2021,Barking and Dagenham 013F,E01000086,123,50,84,4,4,59,5,54,638,160,95
2021,Barking and Dagenham 020B,E01000087,108,52,65,8,8,93,15,51,702,168,134
2021,Barking and Dagenham 020C,E01000088,149,79,90,12,3,102,7,52,811,175,142
2021,Barking and Dagenham 020D,E01000089,139,47,65,9,5,121,5,74,775,176,134
2021,Barking and Dagenham 020E,E01000090,128,48,59,12,5,117,12,58,732,167,126
2021,Barking and Dagenham 022A,E01000091,172,28,129,5,4,118,19,51,802,147,129
2021,Barking and Dagenham 022B,E01000093,133,19,75,7,5,87,12,67,693,168,120
2021,Barking and Dagenham 022C,E01000094,262,47,109,18,10,170,13,52,1122,196,245
2021,Barking and Dagenham 018E,E01000095,188,36,72,14,4,115,6,66,952,201,250
2021,Barking and Dagenham 022D,E01000096,112,25,85,6,6,94,11,41,605,120,105
2021,Barking and Dagenham 023C,E01000097,119,35,131,5,3,72,7,59,794,204,159
2021,Barking and Dagenham 023D,E01000098,119,32,126,11,2,87,15,75,791,190,134
2021,Barking and Dagenham 023E,E01000099,205,72,195,10,7,159,21,83,1300,261,287
2021,Barking and Dagenham 004B,E01000100,112,43,122,9,4,85,10,77,811,193,156
2021,Barking and Dagenham 004C,E01000101,127,36,119,10,0,75,9,63,733,179,115
2021,Barking and Dagenham 007G,E01000102,114,30,137,9,5,76,13,57,753,185,127
2021,Barking and Dagenham 014A,E01000103,143,57,82,15,3,97,8,42,805,197,161
2021,Barking and Dagenham 014B,E01000104,127,63,102,12,8,93,10,42,822,191,174
2021,Barking and Dagenham 014C,E01000105,193,69,136,11,4,109,8,72,1025,233,190
2021,Barking and Dagenham 014D,E01000106,169,52,111,10,8,94,9,64,866,216,133
2021,Barking and Dagenham 010C,E01000107,102,69,85,13,4,82,3,33,734,187,156
2021,Barking and Dagenham 010D,E01000108,150,69,91,12,5,107,7,38,854,209,166
2021,Barking and Dagenham 002C,E01000110,118,39,88,10,3,72,8,50,737,152,197
2021,Barking and Dagenham 002D,E01000111,143,71,123,10,3,103,7,34,962,265,203
2021,Barking and Dagenham 002E,E01000112,156,55,103,10,1,93,5,64,918,193,238
2021,Barking and Dagenham 002F,E01000113,169,50,99,12,2,91,1,66,944,196,258
2021,Barking and Dagenham 004E,E01000114,183,56,132,10,6,114,11,76,1036,214,234
2021,Barnet 009A,E01000115,87,6,63,6,2,84,4,45,672,72,303
2021,Barnet 009B,E01000116,92,8,91,2,2,98,4,70,831,119,345
2021,Barnet 010A,E01000117,104,6,81,3,4,79,3,55,816,133,348
2021,Barnet 010B,E01000118,119,17,101,4,2,117,5,79,1002,169,389
2021,Barnet 009C,E01000119,115,8,73,3,2,94,5,40,844,111,393
2021,Barnet 009D,E01000120,95,15,81,0,0,72,4,35,709,82,325
2021,Barnet 010C,E01000121,83,6,70,1,2,81,1,48,626,108,226
2021,Barnet 009E,E01000122,83,9,75,6,3,92,5,34,736,120,309
2021,Barnet 010D,E01000123,132,10,85,3,1,95,8,53,974,174,413
2021,Barnet 010E,E01000124,120,11,78,4,1,116,7,45,872,180,310
2021,Barnet 026A,E01000126,173,10,85,5,2,161,15,86,1024,187,300
2021,Barnet 024B,E01000127,101,13,69,4,4,98,3,83,692,164,153
2021,Barnet 024C,E01000128,124,15,80,5,1,120,6,100,915,238,226
2021,Barnet 024D,E01000129,122,15,71,7,4,119,9,77,719,165,130
2021,Barnet 021A,E01000130,151,15,90,2,3,151,6,88,921,210,205
2021,Barnet 024E,E01000131,166,10,91,6,2,131,4,53,960,220,277
2021,Barnet 021B,E01000132,127,9,84,2,11,108,9,65,736,170,151
2021,Barnet 021C,E01000133,94,15,81,4,3,120,8,77,734,164,168
2021,Barnet 024F,E01000134,147,9,71,2,5,111,6,90,804,177,186
2021,Barnet 038A,E01000135,64,2,57,0,5,101,3,47,783,79,425
2021,Barnet 038B,E01000136,17,6,37,0,2,103,2,19,669,61,422
2021,Barnet 041A,E01000137,53,6,101,1,0,123,1,35,685,126,239
2021,Barnet 040A,E01000138,40,6,77,1,2,151,8,58,759,136,280
2021,Barnet 041B,E01000139,32,4,55,1,3,121,6,34,720,75,389
2021,Barnet 041C,E01000140,42,8,93,3,3,152,2,43,1036,130,560
2021,Barnet 039A,E01000141,54,9,108,2,3,225,9,78,1000,194,318
2021,Barnet 040B,E01000142,53,14,114,6,1,217,10,57,1074,196,406
2021,Barnet 041D,E01000143,45,10,74,6,1,177,10,49,749,102,275
2021,Barnet 038C,E01000144,40,8,73,1,4,133,2,54,813,97,401
2021,Barnet 037A,E01000145,44,2,62,6,1,106,4,59,651,66,301
2021,Barnet 038D,E01000146,49,3,104,1,1,199,3,44,1021,120,497
2021,Barnet 043F,E01000147,128,17,107,9,2,133,16,75,970,255,228
2021,Barnet 036A,E01000150,162,20,104,5,6,149,11,90,1137,237,353
2021,Barnet 026B,E01000151,103,6,54,3,2,87,4,60,589,156,114
2021,Barnet 026C,E01000152,214,22,98,7,4,176,19,90,1320,205,485
2021,Barnet 026D,E01000153,127,11,98,2,1,104,6,93,829,168,219
2021,Barnet 026E,E01000154,164,21,79,2,5,142,4,61,897,154,265
2021,Barnet 022A,E01000156,81,11,79,1,4,124,1,48,1002,169,484
2021,Barnet 022B,E01000157,61,6,67,2,5,129,1,51,805,111,372
2021,Barnet 015A,E01000158,92,4,57,0,2,97,4,49,743,135,303
2021,Barnet 015B,E01000159,87,11,84,4,2,107,3,51,886,143,394
2021,Barnet 015C,E01000160,137,14,55,8,1,129,6,29,1061,155,527
2021,Barnet 015D,E01000161,126,10,70,7,3,118,4,44,932,156,394
2021,Barnet 015E,E01000162,69,10,58,2,0,120,4,53,699,108,275
2021,Barnet 022C,E01000163,73,5,104,0,2,139,4,51,768,175,215
2021,Barnet 022D,E01000164,80,11,74,3,5,128,5,76,768,137,249
2021,Barnet 022E,E01000165,111,17,78,5,2,118,5,46,843,143,318
2021,Barnet 003A,E01000166,99,12,74,6,1,86,4,30,712,115,285
2021,Barnet 002A,E01000167,69,11,74,4,3,96,2,52,667,138,218
2021,Barnet 003B,E01000168,90,14,72,9,5,72,8,32,701,71,328
2021,Barnet 003C,E01000169,135,14,69,4,5,77,7,34,830,123,362
2021,Barnet 006A,E01000170,114,14,90,5,1,127,3,60,906,153,339
2021,Barnet 006B,E01000171,169,11,102,2,4,106,2,66,1065,229,374
2021,Barnet 003D,E01000172,79,9,71,2,6,72,4,37,735,87,368
2021,Barnet 006C,E01000173,85,16,82,4,3,93,2,54,818,107,372
2021,Barnet 006D,E01000174,123,7,59,3,1,88,1,58,809,166,303
2021,Barnet 006E,E01000175,152,17,73,4,4,85,3,62,1022,192,430
2021,Barnet 027A,E01000176,72,14,86,5,2,121,0,50,740,98,292
2021,Barnet 029A,E01000177,59,3,57,0,2,108,3,44,866,82,508
2021,Barnet 027B,E01000178,49,3,65,2,0,111,2,29,811,84,466
2021,Barnet 029B,E01000179,71,10,92,4,3,142,4,46,1022,117,533
2021,Barnet 029C,E01000180,61,6,70,2,2,110,3,33,759,106,366
2021,Barnet 029D,E01000181,55,9,73,2,1,129,11,41,970,82,567
2021,Barnet 029E,E01000182,48,5,65,1,0,108,0,35,885,72,551
2021,Barnet 033A,E01000183,41,4,64,3,2,110,5,16,672,67,360
2021,Barnet 027C,E01000184,68,4,81,4,0,122,5,98,822,161,279
2021,Barnet 029F,E01000185,63,14,63,3,3,109,4,60,636,123,194
2021,Barnet 014A,E01000186,113,15,60,5,5,115,1,56,842,101,371
2021,Barnet 014B,E01000187,95,7,43,4,5,87,3,57,705,94,310
2021,Barnet 014C,E01000188,96,13,47,7,5,71,10,36,730,82,363
2021,Barnet 014D,E01000189,215,29,75,8,11,142,19,58,1242,157,528
2021,Barnet 014E,E01000190,89,10,48,10,6,88,4,45,793,112,381
2021,Barnet 014F,E01000191,81,8,51,2,3,74,3,47,670,87,314
2021,Barnet 018A,E01000192,138,26,67,7,6,107,15,78,950,136,370
2021,Barnet 018B,E01000193,151,24,62,5,7,100,9,72,959,186,343
2021,Barnet 018C,E01000194,112,16,67,5,4,130,3,68,853,185,263
2021,Barnet 013A,E01000195,137,32,86,3,3,119,7,53,885,238,207
2021,Barnet 028A,E01000196,123,12,57,4,2,123,7,66,1104,170,540
2021,Barnet 023A,E01000197,91,8,65,7,2,124,6,60,1007,166,478
2021,Barnet 025A,E01000198,89,5,107,6,4,117,5,59,976,124,460
2021,Barnet 025B,E01000199,51,4,54,1,1,78,2,23,699,64,421
2021,Barnet 028B,E01000200,72,9,61,3,4,100,6,49,872,83,485
2021,Barnet 028C,E01000201,58,4,50,1,3,85,2,48,702,49,402
2021,Barnet 028D,E01000202,82,3,54,2,1,108,3,46,861,76,486
2021,Barnet 028E,E01000203,55,7,97,2,2,99,5,46,800,131,356
2021,Barnet 025C,E01000204,90,7,48,3,4,92,3,46,856,75,488
2021,Barnet 035A,E01000205,31,3,46,3,3,98,2,24,746,59,477
2021,Barnet 033B,E01000206,24,1,49,1,0,114,1,15,687,49,433
2021,Barnet 033C,E01000207,33,7,38,3,2,87,3,33,666,49,411
2021,Barnet 033D,E01000208,28,3,59,3,3,112,5,28,851,80,530
2021,Barnet 035B,E01000209,26,6,45,2,5,69,3,17,647,35,439
2021,Barnet 033E,E01000210,43,3,53,4,2,102,3,28,778,54,486
2021,Barnet 035C,E01000211,83,8,99,5,1,150,1,76,1025,167,435
2021,Barnet 035D,E01000212,38,3,57,1,2,115,4,24,674,53,377
2021,Barnet 033F,E01000213,23,5,49,2,0,61,2,25,611,35,409
2021,Barnet 038E,E01000214,37,0,70,2,0,141,4,30,910,74,552
2021,Barnet 037B,E01000215,39,8,91,0,1,102,4,130,797,89,333
2021,Barnet 035E,E01000216,34,5,71,0,2,126,10,76,863,67,472
2021,Barnet 035F,E01000217,72,8,66,0,2,114,7,114,799,73,343
2021,Barnet 037C,E01000218,56,4,85,1,0,123,11,108,780,93,299
2021,Barnet 037D,E01000219,66,9,119,5,3,146,4,180,976,134,310
2021,Barnet 037E,E01000220,45,4,68,2,0,133,3,133,775,123,264
2021,Barnet 039B,E01000221,47,3,59,0,0,80,4,69,498,95,141
2021,Barnet 040C,E01000222,75,8,71,5,2,178,5,65,889,164,316
2021,Barnet 039C,E01000223,76,15,94,2,1,187,3,49,861,185,249
2021,Barnet 040D,E01000224,37,3,74,1,3,108,4,50,712,177,255
2021,Barnet 037F,E01000225,34,3,85,1,1,84,4,112,694,64,306
2021,Barnet 018D,E01000226,124,18,70,2,5,140,5,89,791,173,165
2021,Barnet 018E,E01000227,159,17,64,3,2,85,6,53,929,153,387
2021,Barnet 007A,E01000228,92,14,47,6,4,63,4,25,703,121,327
2021,Barnet 013B,E01000229,121,8,81,6,1,112,9,48,786,156,244
2021,Barnet 013C,E01000230,112,8,55,3,3,105,3,81,829,116,343
2021,Barnet 013D,E01000231,158,11,76,5,2,106,6,31,880,141,344
2021,Barnet 013E,E01000232,120,21,50,5,5,106,9,52,873,116,389
2021,Barnet 013F,E01000233,127,18,59,5,5,112,8,57,1005,165,449
2021,Barnet 021D,E01000234,122,16,59,5,2,88,3,50,919,110,464
2021,Barnet 021E,E01000235,126,14,79,3,5,121,19,86,884,181,250
2021,Barnet 034A,E01000236,71,6,93,4,0,115,2,105,835,111,328
2021,Barnet 032A,E01000237,116,11,101,4,2,142,3,122,1071,179,391
2021,Barnet 034B,E01000238,82,8,97,2,0,156,2,120,913,158,288
2021,Barnet 031A,E01000239,146,14,104,4,6,130,7,84,1017,190,332
2021,Barnet 031B,E01000240,118,10,82,4,8,109,10,40,860,187,292
2021,Barnet 031C,E01000241,91,6,69,3,1,119,1,52,894,148,404
2021,Barnet 032B,E01000242,54,6,50,2,2,82,4,75,679,62,342
2021,Barnet 032C,E01000243,173,20,106,4,3,158,8,109,1106,178,347
2021,Barnet 032D,E01000244,84,12,75,2,3,105,11,71,817,172,282
2021,Barnet 032E,E01000245,116,9,101,0,8,189,3,98,967,224,219
2021,Barnet 002B,E01000246,117,9,30,5,1,73,2,35,729,74,383
2021,Barnet 002C,E01000247,105,19,60,2,3,107,6,51,904,106,445
2021,Barnet 001A,E01000248,129,10,31,4,11,60,6,52,850,86,461
2021,Barnet 001B,E01000249,109,18,37,4,1,69,7,35,787,74,433
2021,Barnet 001C,E01000250,185,19,73,7,2,148,4,125,1314,163,588
2021,Barnet 002D,E01000251,176,11,79,3,4,116,8,40,1009,128,444
2021,Barnet 002E,E01000252,140,14,69,3,2,67,8,57,885,103,422
2021,Barnet 007B,E01000253,147,17,47,5,6,78,9,31,946,78,528
2021,Barnet 001D,E01000254,113,12,38,5,3,56,4,51,774,57,435
2021,Barnet 017A,E01000255,89,13,86,6,2,60,4,49,764,115,340
2021,Barnet 016A,E01000256,97,7,91,2,0,87,16,41,875,147,387
2021,Barnet 017B,E01000257,169,13,95,9,1,85,10,57,1047,151,457
2021,Barnet 016B,E01000258,124,5,54,0,5,97,5,72,917,94,461
2021,Barnet 025D,E01000259,157,17,141,5,0,113,8,56,1239,171,571
2021,Barnet 025E,E01000260,126,9,102,8,4,120,3,62,1073,203,436
2021,Barnet 017C,E01000261,79,5,70,3,3,64,4,37,750,72,413
2021,Barnet 016C,E01000263,85,15,55,3,4,49,4,31,759,42,471
2021,Barnet 016D,E01000264,144,15,83,2,1,127,9,47,975,156,391
2021,Barnet 011A,E01000265,120,10,88,2,3,107,7,68,920,203,312
2021,Barnet 011B,E01000266,77,5,58,4,1,48,5,41,687,61,387
2021,Barnet 005A,E01000267,117,17,67,7,4,96,4,37,837,119,369
2021,Barnet 005B,E01000268,177,12,72,1,6,107,8,64,1003,143,413
2021,Barnet 005C,E01000269,74,12,60,5,1,67,4,34,677,93,327
2021,Barnet 005D,E01000270,99,15,63,5,1,78,1,34,756,98,362
2021,Barnet 008A,E01000271,98,7,59,4,3,79,4,38,770,87,391
2021,Barnet 008B,E01000272,79,3,45,3,3,53,2,24,638,54,372
2021,Barnet 008C,E01000273,100,13,61,2,6,87,6,46,808,81,406
2021,Barnet 011C,E01000274,115,14,98,6,7,102,3,67,941,158,371
2021,Barnet 012A,E01000275,107,7,62,4,1,89,4,36,837,98,429
2021,Barnet 020A,E01000276,70,6,56,3,1,56,2,25,717,51,447
2021,Barnet 012B,E01000277,138,8,66,1,5,91,4,28,811,86,384
2021,Barnet 020B,E01000278,70,7,38,1,0,59,2,25,655,52,401
2021,Barnet 007C,E01000279,70,7,48,2,2,54,4,11,604,44,362
2021,Barnet 007D,E01000280,67,9,47,3,0,54,4,23,625,46,372
2021,Barnet 008D,E01000281,128,5,45,4,2,85,1,39,989,101,579
2021,Barnet 008E,E01000282,113,9,62,1,1,86,3,43,886,94,474
2021,Barnet 012C,E01000283,65,5,46,4,2,65,0,30,650,41,392
2021,Barnet 012D,E01000284,137,10,76,3,3,110,5,58,939,151,386
2021,Barnet 004A,E01000285,106,9,55,6,0,73,5,50,696,97,295
2021,Barnet 007E,E01000286,119,10,73,3,1,84,2,75,775,132,276
2021,Barnet 004B,E01000287,101,12,94,1,5,80,8,75,735,134,225
2021,Barnet 004C,E01000288,103,10,39,5,5,78,7,67,765,103,348
2021,Barnet 004D,E01000289,91,16,79,4,2,86,5,58,658,132,185
2021,Barnet 007F,E01000290,129,9,67,6,10,71,7,35,725,106,285
2021,Barnet 004E,E01000291,85,11,67,10,2,93,9,57,735,127,274
2021,Barnet 001E,E01000292,83,13,33,3,5,47,6,42,686,86,368
2021,Barnet 001F,E01000293,129,21,42,2,6,84,3,87,908,92,442
2021,Barnet 004F,E01000294,129,20,41,1,2,66,4,90,840,114,373
2021,Barnet 023B,E01000295,79,10,51,6,1,108,2,49,878,84,488
2021,Barnet 023C,E01000296,109,17,69,3,2,111,3,46,1006,156,490
2021,Barnet 027D,E01000297,82,7,43,3,4,112,1,54,750,117,327
2021,Barnet 023D,E01000298,109,9,49,2,0,125,4,70,928,124,436
2021,Barnet 019A,E01000299,141,8,61,8,0,116,6,73,1025,184,428
2021,Barnet 019B,E01000300,115,8,64,2,0,71,4,51,872,87,470
2021,Barnet 020C,E01000301,76,11,37,5,3,54,4,35,684,53,406
2021,Barnet 019C,E01000302,112,8,47,3,2,78,9,62,848,122,405
2021,Barnet 020D,E01000303,92,10,31,2,2,65,4,48,714,58,402
2021,Barnet 020E,E01000304,106,9,67,2,0,94,3,57,864,105,421
2021,Barnet 036B,E01000305,97,15,78,7,4,126,11,55,850,171,286
2021,Barnet 036C,E01000306,143,18,99,11,3,180,6,99,1066,244,263
2021,Barnet 039D,E01000307,72,7,75,5,7,149,3,69,757,165,205
2021,Barnet 036D,E01000308,148,17,107,4,3,171,8,83,1186,172,473
2021,Barnet 031D,E01000309,151,17,77,6,1,156,10,63,1025,194,350
2021,Barnet 034C,E01000310,123,9,99,7,4,191,8,98,1041,176,326
2021,Barnet 034D,E01000311,68,4,79,2,0,80,2,97,745,76,337
2021,Barnet 036E,E01000312,89,19,111,3,3,131,4,63,853,207,223
2021,Barnet 036F,E01000313,128,12,97,3,3,155,21,88,961,205,249
2021,Barnet 032F,E01000314,137,17,91,1,6,165,14,98,1148,212,407
2021,Barnet 022F,E01000315,89,10,78,5,1,132,5,97,772,141,214
2021,Barnet 027E,E01000316,146,16,71,7,0,154,4,97,1086,161,430
2021,Barnet 019D,E01000317,90,9,53,0,2,72,3,52,749,86,382
2021,Barnet 019E,E01000318,101,16,55,3,1,95,4,73,860,142,370
2021,Barnet 027F,E01000319,60,8,39,5,1,84,3,53,705,69,383
2021,Barnet 011D,E01000320,136,7,94,6,2,113,10,54,992,117,453
2021,Barnet 012E,E01000321,137,19,81,5,3,110,8,61,1078,154,500
2021,Barnet 011E,E01000322,109,19,57,3,1,111,3,76,898,160,359
2021,Barnet 019F,E01000323,186,7,94,5,4,115,11,110,1222,235,455
2021,Barnet 015F,E01000324,109,9,79,3,4,131,4,66,918,141,372
2021,Bexley 014A,E01000325,73,42,72,4,5,86,2,73,804,100,347
2021,Bexley 014B,E01000326,78,53,77,5,3,77,4,38,724,117,272
2021,Bexley 017A,E01000327,84,28,80,0,7,69,5,54,753,129,297
2021,Bexley 017B,E01000328,77,46,64,4,6,68,3,54,751,125,304
2021,Bexley 017C,E01000329,105,46,77,3,4,83,5,63,807,127,294
2021,Bexley 017D,E01000330,99,35,94,10,6,87,4,67,775,113,260
2021,Bexley 017E,E01000331,87,38,91,7,2,103,7,69,760,141,215
2021,Bexley 005A,E01000332,92,32,99,12,2,76,5,60,722,119,225
2021,Bexley 003A,E01000333,120,27,124,5,7,106,9,60,869,149,262
2021,Bexley 006A,E01000334,120,20,119,11,3,93,10,53,800,142,229
2021,Bexley 003B,E01000335,198,81,133,13,6,176,12,145,1427,244,419
2021,Bexley 003C,E01000336,140,46,106,10,6,102,11,71,864,156,216
2021,Bexley 003D,E01000337,121,25,110,6,3,97,6,83,836,151,234
2021,Bexley 003E,E01000338,146,43,105,9,3,106,8,86,968,178,284
2021,Bexley 025A,E01000339,79,14,84,6,2,102,9,42,752,131,283
2021,Bexley 018A,E01000340,101,8,91,8,2,107,8,33,757,169,230
2021,Bexley 022A,E01000341,86,5,87,7,6,102,3,41,719,153,229
2021,Bexley 022B,E01000342,102,12,124,7,1,113,2,42,831,144,284
2021,Bexley 022C,E01000343,91,8,90,7,3,76,4,56,730,156,239
2021,Bexley 025B,E01000344,98,6,94,8,3,100,5,41,787,118,314
2021,Bexley 022D,E01000345,83,10,64,13,0,77,5,61,712,108,291
2021,Bexley 021A,E01000346,110,14,76,11,6,114,3,46,823,163,280
2021,Bexley 021B,E01000347,91,15,83,12,2,85,5,52,738,163,230
2021,Bexley 020A,E01000348,78,15,83,6,0,69,7,53,785,129,345
2021,Bexley 020B,E01000349,83,24,71,11,3,92,6,56,821,114,361
2021,Bexley 021C,E01000350,103,7,88,10,5,99,5,45,795,134,299
2021,Bexley 024A,E01000351,84,16,86,2,2,77,4,56,814,167,320
2021,Bexley 021D,E01000352,106,16,97,4,4,118,4,48,787,145,245
2021,Bexley 011A,E01000353,80,24,80,5,5,71,5,42,721,106,303
2021,Bexley 011B,E01000354,84,19,92,6,4,89,4,47,708,134,229
2021,Bexley 011C,E01000355,70,23,70,6,5,81,4,49,674,118,248
2021,Bexley 009A,E01000356,86,20,71,5,4,69,3,45,678,75,300
2021,Bexley 009B,E01000357,109,15,81,6,7,72,4,45,724,96,289
2021,Bexley 011D,E01000358,112,24,73,2,3,67,0,59,794,132,322
2021,Bexley 009C,E01000359,81,13,74,6,2,65,4,34,622,82,261
2021,Bexley 015A,E01000360,139,37,96,6,3,93,5,63,950,163,345
