date,geography,geography code,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 60km and over,Distance travelled to work: Less than 2km,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",Distance travelled to work: Works mainly from home
2021,Wandsworth 010C,E01004602,44,6,61,1,3,120,3,50,1043,63,692
2021,Wandsworth 006A,E01004604,26,2,45,2,0,78,5,35,805,34,578
2021,Wandsworth 006B,E01004605,45,4,93,3,1,147,5,42,939,69,530
2021,Wandsworth 006C,E01004606,60,1,76,3,1,130,5,39,1151,63,773
2021,Wandsworth 006D,E01004607,39,7,52,2,2,90,3,39,925,38,653
2021,Wandsworth 006E,E01004608,41,9,92,2,2,117,6,63,1047,63,652
2021,Wandsworth 010E,E01004609,59,7,114,3,5,180,7,70,1489,97,947
2021,Wandsworth 033C,E01004610,106,6,88,2,2,163,5,120,1205,107,606
2021,Wandsworth 032B,E01004611,61,8,56,4,4,93,2,58,884,66,532
2021,Wandsworth 032C,E01004612,62,4,78,4,3,138,6,67,855,114,379
2021,Wandsworth 033D,E01004613,63,7,72,5,0,114,9,89,837,97,381
2021,Wandsworth 034A,E01004614,128,10,92,4,2,174,3,114,1205,110,568
2021,Wandsworth 034B,E01004615,67,9,82,3,2,91,2,94,729,101,278
2021,Wandsworth 034C,E01004616,114,9,75,6,3,181,6,122,1244,140,588
2021,Wandsworth 034D,E01004617,98,10,80,1,1,139,2,115,1035,105,484
2021,Wandsworth 032D,E01004618,55,7,46,2,1,90,5,49,895,52,588
2021,Wandsworth 015E,E01004619,27,11,43,3,3,95,1,37,729,40,469
2021,Wandsworth 019C,E01004620,33,12,84,3,4,157,3,66,1051,103,586
2021,Wandsworth 019D,E01004621,35,8,93,0,0,104,7,58,997,71,621
2021,Wandsworth 024D,E01004622,22,3,63,4,2,87,8,90,749,125,345
2021,Wandsworth 019E,E01004623,50,5,101,1,2,140,5,50,1092,77,661
2021,Wandsworth 024E,E01004624,31,8,79,1,1,113,4,71,920,77,535
2021,Wandsworth 027E,E01004625,24,5,44,0,2,58,0,35,624,38,418
2021,Wandsworth 027F,E01004626,47,5,59,1,3,153,3,55,1077,63,688
2021,Wandsworth 019F,E01004627,28,9,79,3,1,97,5,43,878,53,560
2021,Wandsworth 022A,E01004628,70,7,137,3,6,152,9,98,1186,132,572
2021,Wandsworth 020F,E01004629,46,3,69,4,7,78,2,40,812,65,498
2021,Wandsworth 022B,E01004630,68,5,121,4,5,131,6,98,787,163,186
2021,Wandsworth 022C,E01004631,105,12,129,5,0,157,3,61,998,135,391
2021,Wandsworth 028A,E01004632,88,2,109,4,0,132,2,40,843,103,363
2021,Wandsworth 022D,E01004633,57,6,128,4,4,121,6,78,733,138,191
2021,Wandsworth 028B,E01004634,59,6,87,1,1,105,0,39,787,84,405
2021,Wandsworth 028C,E01004635,62,8,103,1,4,126,1,64,876,111,396
2021,Wandsworth 028D,E01004636,50,4,93,3,0,97,6,29,753,105,366
2021,Wandsworth 028E,E01004637,57,8,94,2,2,122,2,55,790,119,329
2021,Wandsworth 011B,E01004638,38,2,43,1,0,48,0,32,648,39,445
2021,Wandsworth 011C,E01004639,59,2,80,0,2,152,3,51,965,86,530
2021,Wandsworth 011D,E01004640,63,9,62,1,1,103,5,29,1028,60,695
2021,Wandsworth 011E,E01004641,50,3,99,5,1,140,3,68,969,94,506
2021,Wandsworth 016B,E01004642,67,14,115,8,5,210,6,75,1124,117,507
2021,Wandsworth 016C,E01004643,72,4,125,5,4,137,7,77,1126,136,559
2021,Wandsworth 016D,E01004644,94,7,133,5,3,201,5,80,1311,131,652
2021,Wandsworth 016E,E01004645,54,8,125,4,3,174,7,110,913,156,272
2021,Westminster 002A,E01004646,16,2,83,6,2,72,6,25,662,58,392
2021,Westminster 001A,E01004647,17,6,82,1,2,52,2,36,624,37,389
2021,Westminster 002B,E01004648,55,6,158,3,2,84,5,74,1242,67,788
2021,Westminster 001B,E01004649,22,1,87,2,1,58,1,21,634,41,400
2021,Westminster 002C,E01004650,30,4,96,3,0,57,4,40,976,63,679
2021,Westminster 003A,E01004651,19,6,116,0,3,65,6,54,1026,46,711
2021,Westminster 017A,E01004652,19,3,133,2,4,44,4,70,894,63,552
2021,Westminster 014A,E01004653,36,2,129,0,4,95,7,57,1100,95,675
2021,Westminster 014B,E01004654,42,7,155,3,1,107,4,134,1529,83,993
2021,Westminster 014D,E01004656,20,5,131,2,3,78,6,80,1047,87,635
2021,Westminster 012A,E01004657,15,0,85,0,4,29,3,113,784,40,495
2021,Westminster 012B,E01004658,10,5,89,11,2,29,3,96,802,52,505
2021,Westminster 008A,E01004659,24,2,83,2,4,37,5,84,880,38,601
2021,Westminster 008B,E01004660,15,3,61,1,5,50,3,60,729,27,504
2021,Westminster 012C,E01004661,24,2,111,0,1,42,5,156,1100,127,632
2021,Westminster 012D,E01004662,13,4,96,1,2,45,2,86,742,38,455
2021,Westminster 012E,E01004663,17,3,60,0,2,43,6,70,699,56,442
2021,Westminster 024A,E01004665,26,5,112,0,2,53,5,68,550,83,196
2021,Westminster 023D,E01004668,31,1,138,1,0,49,2,65,694,91,316
2021,Westminster 024B,E01004669,16,1,138,3,0,39,3,91,770,102,377
2021,Westminster 009A,E01004670,37,13,183,0,3,89,7,125,781,116,208
2021,Westminster 005A,E01004674,25,4,157,2,1,102,3,69,876,124,389
2021,Westminster 005B,E01004675,25,0,202,2,2,109,11,126,1066,117,472
2021,Westminster 006A,E01004676,27,1,108,4,2,81,4,81,865,87,470
2021,Westminster 005C,E01004677,21,7,132,1,2,116,4,55,967,122,507
2021,Westminster 005D,E01004678,37,5,161,1,1,123,5,73,943,105,432
2021,Westminster 005E,E01004679,39,4,163,2,3,104,4,91,948,126,412
2021,Westminster 015A,E01004680,10,1,81,0,0,16,1,68,638,42,419
2021,Westminster 016A,E01004681,54,7,119,2,9,65,9,74,1115,98,678
2021,Westminster 016B,E01004682,8,2,78,0,1,34,4,53,665,66,419
2021,Westminster 015B,E01004683,12,3,87,1,1,29,10,92,851,61,555
2021,Westminster 015C,E01004684,10,4,60,1,0,30,3,45,453,50,250
2021,Westminster 015E,E01004686,16,1,64,0,10,27,3,83,639,66,369
2021,Westminster 019A,E01004687,7,5,76,2,1,29,1,41,648,56,430
2021,Westminster 019D,E01004690,7,0,62,1,0,16,5,59,513,67,296
2021,Westminster 019E,E01004691,12,2,72,0,1,25,3,55,640,37,433
2021,Westminster 019F,E01004692,7,1,51,0,2,17,1,47,443,63,254
2021,Westminster 017B,E01004693,16,0,64,0,2,40,2,31,603,36,412
2021,Westminster 016C,E01004694,13,3,99,2,1,46,3,53,863,49,594
2021,Westminster 017C,E01004695,7,1,86,1,0,40,0,23,559,39,362
2021,Westminster 017D,E01004696,11,7,128,0,2,56,4,67,652,84,293
2021,Westminster 016D,E01004697,17,5,150,3,4,26,5,73,813,68,462
2021,Westminster 017E,E01004698,14,5,117,2,3,64,3,64,768,63,433
2021,Westminster 017F,E01004699,24,5,120,0,0,57,11,74,1073,89,693
2021,Westminster 016E,E01004700,16,7,125,1,0,49,4,40,850,76,532
2021,Westminster 007A,E01004701,28,4,81,2,2,52,9,57,872,40,597
2021,Westminster 009E,E01004702,25,7,186,0,6,87,18,179,1064,148,408
2021,Westminster 007B,E01004703,22,3,103,2,0,45,7,48,982,76,676
2021,Westminster 007D,E01004705,18,3,96,3,0,49,3,25,732,50,485
2021,Westminster 006B,E01004706,29,2,86,0,5,79,6,45,942,53,637
2021,Westminster 006C,E01004707,28,4,133,1,3,67,6,65,1176,58,811
2021,Westminster 006D,E01004708,31,6,138,2,0,58,2,72,879,88,482
2021,Westminster 007E,E01004709,23,4,110,2,2,61,6,59,786,92,427
2021,Westminster 002D,E01004710,33,13,121,1,2,110,5,74,851,89,403
2021,Westminster 002E,E01004711,40,7,174,2,1,80,14,83,871,109,361
2021,Westminster 008C,E01004712,15,4,70,2,0,23,5,75,777,42,541
2021,Westminster 011A,E01004713,9,3,50,0,3,39,5,101,761,47,504
2021,Westminster 011B,E01004714,16,7,86,1,2,40,12,133,975,56,622
2021,Westminster 013A,E01004715,19,5,59,3,0,67,17,142,819,71,436
2021,Westminster 011C,E01004716,9,2,73,0,0,15,0,83,591,41,368
2021,Westminster 011D,E01004717,7,4,81,3,3,41,4,82,796,62,509
2021,Westminster 004A,E01004718,29,3,148,3,3,104,6,107,924,119,402
2021,Westminster 004B,E01004719,31,3,153,2,1,89,8,75,868,138,368
2021,Westminster 004C,E01004720,20,10,147,1,0,151,7,133,982,163,350
2021,Westminster 004D,E01004721,34,4,125,1,1,112,4,72,730,114,263
2021,Westminster 004E,E01004722,30,8,217,1,4,166,7,119,1030,170,308
2021,Westminster 005F,E01004723,34,6,181,5,3,137,5,70,1060,117,502
2021,Westminster 001C,E01004724,25,5,135,2,0,39,4,86,967,72,599
2021,Westminster 003B,E01004725,11,3,74,0,0,35,2,57,507,51,274
2021,Westminster 003C,E01004726,22,0,112,0,1,47,3,36,815,54,540
2021,Westminster 008D,E01004727,17,2,63,4,3,33,0,75,813,62,554
2021,Westminster 003D,E01004728,45,2,79,0,1,31,5,60,709,59,427
2021,Westminster 003E,E01004729,8,4,92,0,0,33,1,73,607,66,330
2021,Westminster 001D,E01004730,18,3,89,2,0,32,6,35,700,44,471
2021,Westminster 020A,E01004731,13,5,118,3,3,58,4,199,1238,76,759
2021,Westminster 020B,E01004732,10,2,97,2,1,31,3,82,512,78,206
2021,Westminster 020C,E01004733,13,11,138,5,4,49,11,122,1132,60,719
2021,Westminster 018A,E01004734,16,6,91,0,6,48,5,158,891,91,470
2021,Westminster 018B,E01004735,19,6,93,0,1,49,20,121,972,80,583
2021,Westminster 018C,E01004736,5,3,60,23,0,22,3,154,876,103,503
2021,Westminster 024C,E01004737,16,5,108,3,0,45,6,50,592,77,282
2021,Westminster 021A,E01004740,12,3,94,0,3,47,7,63,562,82,251
2021,Westminster 024F,E01004741,22,2,107,1,0,57,3,56,712,60,404
2021,Westminster 022A,E01004742,13,5,101,0,0,37,2,65,841,83,535
2021,Westminster 021B,E01004743,15,7,106,6,1,54,2,97,748,78,382
2021,Westminster 020D,E01004744,16,4,84,1,3,30,5,121,648,59,325
2021,Westminster 021D,E01004746,14,3,86,3,4,46,3,88,568,77,244
2021,Westminster 021E,E01004747,18,7,218,1,4,80,5,112,1149,73,631
2021,Westminster 020E,E01004748,7,2,70,0,0,25,5,48,560,36,367
2021,Westminster 022B,E01004749,22,8,140,1,4,82,11,111,1251,87,785
2021,Westminster 023E,E01004750,16,1,91,1,3,43,8,104,717,89,361
2021,Westminster 022C,E01004751,6,4,111,2,0,44,4,54,912,74,613
