date,geography,geography code,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Electric only,Type of central heating in household: Mains gas only,Type of central heating in household: No central heating,Type of central heating in household: Oil only,Type of central heating in household: Other central heating only,Type of central heating in household: Renewable energy only,Type of central heating in household: Solid fuel only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Total: All households,Type of central heating in household: Two or more types of central heating (including renewable energy),Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Wood only
2021,Croydon 003B,E01001086,2,23,495,7,1,5,0,0,2,592,1,56,0
2021,Croydon 003C,E01001087,33,259,704,22,1,31,2,0,3,1131,1,75,0
2021,Croydon 004B,E01001088,1,19,468,10,0,12,0,0,3,575,0,62,0
2021,Croydon 004C,E01001089,4,50,502,12,1,11,0,0,4,647,0,63,0
2021,Croydon 004D,E01001090,3,231,540,30,0,10,0,0,6,886,1,65,0
2021,Croydon 004E,E01001091,3,26,454,11,0,13,0,1,1,561,0,51,1
2021,Croydon 037B,E01001092,3,76,523,5,0,15,3,0,1,701,14,55,6
2021,Croydon 037C,E01001093,2,47,573,8,0,12,0,0,5,709,6,55,1
2021,Croydon 038E,E01001094,1,28,459,9,0,1,3,0,1,564,5,57,0
2021,Croydon 031D,E01001095,1,45,476,15,0,4,0,1,3,596,0,51,0
2021,Croydon 037D,E01001096,1,25,449,4,1,1,0,0,2,536,10,43,0
2021,Croydon 037E,E01001097,5,247,782,19,0,16,5,0,8,1172,3,87,0
2021,Croydon 037F,E01001098,0,8,473,2,1,4,1,1,0,535,4,41,0
2021,Croydon 040D,E01001099,0,28,508,11,0,7,0,0,4,599,1,39,1
2021,Croydon 031E,E01001100,2,38,508,7,1,5,0,0,5,603,3,34,0
2021,Croydon 035B,E01001101,0,6,471,2,1,1,0,0,1,506,1,23,0
2021,Croydon 035C,E01001102,15,71,492,6,0,3,4,0,0,633,3,39,0
2021,Croydon 039A,E01001103,0,23,567,4,0,3,0,0,1,644,2,44,0
2021,Croydon 042D,E01001104,1,14,564,7,0,0,0,0,4,644,2,50,2
2021,Croydon 039B,E01001105,3,12,540,6,0,5,1,0,3,626,2,54,0
2021,Croydon 039C,E01001106,1,18,482,8,0,1,2,0,3,560,4,41,0
2021,Croydon 035D,E01001107,0,58,541,6,0,2,2,1,2,668,5,51,0
2021,Croydon 035E,E01001108,0,8,572,2,0,3,0,0,1,643,5,52,0
2021,Croydon 013B,E01001109,3,116,692,20,0,14,1,0,6,964,9,103,0
2021,Croydon 020D,E01001110,8,168,582,25,0,32,0,0,4,895,2,74,0
2021,Croydon 010D,E01001111,0,34,498,23,0,8,1,0,4,645,0,77,0
2021,Croydon 013C,E01001112,8,97,618,22,3,21,3,0,3,854,5,74,0
2021,Croydon 013D,E01001113,3,88,647,18,0,17,0,0,4,857,0,80,0
2021,Croydon 013E,E01001114,1,45,450,16,0,10,1,0,9,600,5,63,0
2021,Croydon 015B,E01001115,6,50,478,11,0,20,0,0,8,647,2,72,0
2021,Croydon 013F,E01001116,8,30,469,14,1,13,0,0,4,605,2,64,0
2021,Croydon 020E,E01001118,10,111,598,21,6,20,0,0,4,884,1,113,0
2021,Croydon 034G,E01001119,0,5,536,4,1,4,1,0,1,579,1,26,0
2021,Croydon 033A,E01001120,1,27,438,10,0,4,0,0,2,508,1,25,0
2021,Croydon 039D,E01001121,2,15,465,2,1,5,2,0,0,540,7,41,0
2021,Croydon 033B,E01001122,0,5,408,6,0,2,0,0,2,459,4,32,0
2021,Croydon 033C,E01001123,0,11,543,11,0,3,1,0,2,603,2,30,0
2021,Croydon 033D,E01001124,0,9,545,2,0,7,0,0,1,603,2,37,0
2021,Croydon 033E,E01001125,0,32,509,7,2,8,2,0,1,609,2,46,0
2021,Croydon 034H,E01001126,1,86,451,9,1,2,1,0,1,595,2,41,0
2021,Croydon 025A,E01001127,0,9,527,3,0,6,0,0,1,585,0,39,0
2021,Croydon 025B,E01001128,0,21,419,16,0,17,0,0,8,570,3,86,0
2021,Croydon 026D,E01001129,0,7,465,8,0,1,0,0,1,506,0,24,0
2021,Croydon 025C,E01001130,2,31,417,13,0,14,0,0,14,558,0,67,0
2021,Croydon 018C,E01001131,14,24,553,8,2,19,0,0,3,659,2,34,0
2021,Croydon 018D,E01001132,0,39,550,6,0,2,0,0,2,644,2,43,0
2021,Croydon 026E,E01001133,1,71,591,6,0,8,1,0,0,729,2,49,0
2021,Croydon 018E,E01001134,0,47,565,10,1,7,0,0,2,677,3,42,0
2021,Croydon 025D,E01001135,0,15,570,4,0,0,2,0,2,638,1,44,0
2021,Croydon 007A,E01001136,11,199,635,37,0,12,1,0,7,983,3,77,1
2021,Croydon 001A,E01001137,29,135,686,13,0,14,1,0,7,975,10,80,0
2021,Croydon 001B,E01001138,5,87,546,13,0,12,2,0,4,719,0,50,0
2021,Croydon 007B,E01001139,3,89,527,23,0,10,0,0,4,714,5,53,0
2021,Croydon 007C,E01001140,5,184,477,28,1,14,0,0,4,759,2,44,0
2021,Croydon 008A,E01001141,2,78,412,15,0,11,0,0,3,572,2,49,0
2021,Croydon 007D,E01001142,2,32,615,9,1,8,3,0,3,747,6,68,0
2021,Croydon 008B,E01001143,20,144,557,17,1,11,2,0,3,825,2,68,0
2021,Croydon 007E,E01001144,4,77,588,19,1,15,3,0,11,799,3,78,0
2021,Croydon 008C,E01001145,4,278,466,28,0,18,0,0,3,873,1,75,0
2021,Croydon 006A,E01001146,0,32,492,16,0,11,0,1,5,604,0,47,0
2021,Croydon 005A,E01001147,0,47,503,21,0,19,0,2,7,669,5,65,0
2021,Croydon 005B,E01001148,3,48,554,10,0,12,0,0,9,702,2,64,0
2021,Croydon 006B,E01001149,4,26,520,8,0,7,1,0,1,623,0,56,0
2021,Croydon 006C,E01001150,1,32,534,12,0,8,0,0,2,639,2,48,0
2021,Croydon 005C,E01001151,9,80,472,14,0,18,1,0,6,673,3,70,0
2021,Croydon 005D,E01001152,3,66,591,21,1,16,3,0,3,789,4,81,0
2021,Croydon 006D,E01001153,2,24,498,13,1,8,2,0,5,612,2,57,0
2021,Croydon 006E,E01001154,2,77,537,16,0,12,2,0,7,728,4,71,0
2021,Croydon 010E,E01001155,8,86,535,33,0,16,0,0,7,787,2,100,0
2021,Croydon 001C,E01001156,2,79,543,14,2,11,1,0,2,720,10,56,0
2021,Croydon 002B,E01001157,2,36,511,6,0,10,0,0,6,623,2,50,0
2021,Croydon 005E,E01001158,3,151,431,20,2,16,0,0,2,670,5,40,0
2021,Croydon 002C,E01001159,0,49,603,13,0,8,0,0,2,738,8,55,0
2021,Croydon 002D,E01001160,0,17,531,7,0,10,1,0,4,627,1,56,0
2021,Croydon 003D,E01001161,2,21,438,8,0,9,0,0,6,549,1,64,0
2021,Croydon 001D,E01001162,1,76,618,14,0,12,2,0,8,800,6,63,0
2021,Croydon 002E,E01001163,3,74,643,19,1,14,2,0,2,835,9,68,0
2021,Croydon 001E,E01001164,4,112,727,60,1,9,0,0,4,990,0,73,0
2021,Croydon 024C,E01001165,31,67,545,16,0,8,2,0,2,723,4,48,0
2021,Croydon 024D,E01001166,13,91,609,30,0,44,0,0,2,876,4,83,0
2021,Croydon 028A,E01001167,6,127,601,18,0,7,0,0,4,819,2,54,0
2021,Croydon 024E,E01001168,0,89,553,23,0,16,1,0,3,735,1,49,0
2021,Croydon 028B,E01001169,1,37,529,5,0,9,1,0,1,641,3,55,0
2021,Croydon 047D,E01001170,11,242,530,28,1,18,2,0,5,894,0,57,0
2021,Croydon 028C,E01001171,3,193,398,21,0,12,0,0,3,682,4,48,0
2021,Croydon 028D,E01001172,29,69,538,14,1,13,2,0,8,731,4,53,0
2021,Croydon 028E,E01001173,5,166,813,22,0,14,1,0,4,1116,9,82,0
2021,Croydon 011A,E01001174,0,29,413,15,0,9,0,0,5,511,2,38,0
2021,Croydon 011B,E01001175,0,27,407,15,1,13,0,0,2,555,1,89,0
2021,Croydon 011C,E01001176,2,29,496,9,0,10,0,0,3,618,1,68,0
2021,Croydon 016C,E01001177,0,39,416,14,0,9,0,0,11,553,3,61,0
2021,Croydon 015D,E01001178,12,131,355,20,1,18,0,0,4,599,2,56,0
2021,Croydon 016D,E01001179,2,50,417,18,0,9,0,2,3,547,1,45,0
2021,Croydon 016E,E01001180,3,81,481,16,0,22,1,0,7,674,3,60,0
2021,Croydon 015E,E01001181,53,160,531,21,1,28,2,0,12,885,2,75,0
2021,Croydon 011D,E01001182,0,29,367,5,0,7,0,0,4,461,2,47,0
2021,Croydon 011E,E01001183,20,90,417,13,0,15,0,0,10,635,2,68,0
2021,Croydon 011F,E01001184,0,23,367,9,0,12,0,0,0,445,0,34,0
2021,Croydon 014B,E01001185,1,98,535,27,1,9,3,0,5,744,4,61,0
2021,Croydon 014C,E01001186,20,104,566,26,0,20,2,2,5,816,0,71,0
2021,Croydon 017E,E01001187,1,166,532,27,0,19,0,0,7,811,0,59,0
2021,Croydon 014D,E01001188,0,37,587,27,0,16,1,0,3,749,1,77,0
2021,Croydon 045B,E01001189,0,14,383,4,0,4,0,0,2,459,1,50,1
2021,Croydon 045C,E01001190,1,18,507,13,0,13,0,0,1,602,0,49,0
2021,Croydon 008D,E01001191,1,92,623,34,2,22,0,0,2,864,5,83,0
2021,Croydon 008E,E01001192,1,87,513,9,0,16,2,0,8,690,0,54,0
2021,Croydon 014E,E01001193,1,18,452,13,0,8,0,0,6,568,1,69,0
2021,Croydon 045D,E01001194,3,13,516,12,0,8,1,1,5,620,2,59,0
2021,Ealing 021A,E01001195,3,29,519,9,1,12,0,2,2,616,2,37,0
2021,Ealing 015A,E01001196,6,288,315,19,3,10,0,0,7,693,1,44,0
2021,Ealing 021B,E01001197,17,67,541,13,0,16,0,0,11,720,5,50,0
2021,Ealing 021C,E01001198,2,37,473,9,0,11,0,0,2,595,0,61,0
2021,Ealing 021D,E01001199,1,56,527,13,0,11,0,0,5,671,0,58,0
2021,Ealing 025A,E01001200,3,27,523,8,1,12,0,0,1,630,1,54,0
2021,Ealing 025B,E01001201,0,39,521,10,0,3,0,0,3,627,3,48,0
2021,Ealing 025C,E01001202,84,268,524,29,1,17,3,0,5,998,3,64,0
2021,Ealing 025D,E01001203,19,135,567,26,0,23,2,0,9,856,4,71,0
2021,Ealing 018A,E01001204,1,23,520,5,0,6,0,0,2,593,2,34,0
2021,Ealing 018B,E01001205,16,175,390,18,0,6,0,0,2,652,1,44,0
2021,Ealing 018C,E01001206,127,93,204,24,0,26,3,0,23,552,0,52,0
2021,Ealing 018D,E01001207,0,67,596,20,0,9,2,0,5,758,7,52,0
2021,Ealing 018E,E01001208,0,16,457,1,0,7,0,0,1,505,2,21,0
2021,Ealing 013A,E01001209,3,37,558,10,0,4,1,0,1,652,1,37,0
2021,Ealing 016A,E01001210,37,121,488,19,0,25,0,0,4,758,0,64,0
2021,Ealing 013B,E01001211,35,38,560,10,2,13,2,0,0,716,1,55,0
2021,Ealing 018F,E01001212,2,83,559,14,0,15,0,0,1,722,3,44,1
2021,Ealing 023A,E01001213,3,24,438,12,0,12,0,0,10,535,3,33,0
2021,Ealing 023B,E01001214,1,20,418,6,0,13,0,0,3,498,1,36,0
2021,Ealing 023C,E01001215,24,72,421,14,1,21,1,0,3,619,3,59,0
2021,Ealing 023D,E01001216,0,72,348,11,0,20,0,0,5,497,3,38,0
2021,Ealing 014A,E01001217,0,17,377,6,0,8,0,0,4,440,0,28,0
2021,Ealing 012A,E01001218,20,58,549,12,0,17,0,0,9,725,1,59,0
2021,Ealing 029A,E01001219,30,70,530,21,2,22,0,0,10,766,5,76,0
2021,Ealing 029B,E01001220,5,52,340,14,0,12,0,0,6,470,1,40,0
2021,Ealing 041B,E01001223,9,53,489,17,5,8,0,0,3,634,3,47,0
2021,Ealing 019B,E01001224,1,31,492,3,0,3,0,0,0,580,3,47,0
2021,Ealing 041A,E01001225,41,75,618,19,12,14,3,0,2,849,3,62,0
2021,Ealing 019C,E01001226,2,73,530,16,0,7,1,0,0,672,2,41,0
2021,Ealing 019D,E01001227,9,28,494,14,1,6,1,0,1,604,3,47,0
2021,Ealing 019E,E01001228,10,74,630,15,1,20,1,0,8,826,3,64,0
2021,Ealing 031A,E01001229,3,34,477,12,0,8,0,0,6,594,2,51,1
2021,Ealing 031B,E01001230,1,52,477,9,0,6,5,0,2,608,0,56,0
2021,Ealing 027A,E01001231,6,127,583,13,0,4,1,0,2,784,3,45,0
2021,Ealing 031C,E01001232,13,30,495,9,0,7,2,0,9,616,2,49,0
2021,Ealing 031D,E01001233,6,60,474,10,1,10,0,0,5,620,3,51,0
2021,Ealing 027B,E01001234,3,49,461,12,0,13,2,0,5,609,5,59,0
2021,Ealing 042D,E01001235,73,69,513,19,4,14,9,0,11,780,2,64,2
2021,Ealing 042C,E01001236,12,66,523,24,1,8,2,0,3,685,5,41,0
2021,Ealing 031E,E01001237,8,51,545,7,0,8,0,0,0,672,3,50,0
2021,Ealing 015C,E01001239,3,98,375,11,0,11,1,0,2,563,0,62,0
2021,Ealing 024A,E01001240,12,78,462,16,2,23,2,0,5,656,0,56,0
2021,Ealing 024B,E01001241,8,89,456,11,1,12,2,0,8,657,4,66,0
2021,Ealing 024C,E01001242,1,58,478,7,1,11,0,0,1,612,1,54,0
2021,Ealing 024D,E01001243,49,327,448,29,2,33,4,0,4,961,8,57,0
2021,Ealing 024E,E01001244,26,542,472,37,1,14,1,0,6,1170,1,70,0
2021,Ealing 024F,E01001245,4,54,753,20,2,11,2,1,3,926,1,75,0
2021,Ealing 015D,E01001246,61,133,447,28,0,46,5,0,9,816,5,82,0
2021,Ealing 015E,E01001247,3,90,610,15,0,19,0,0,3,810,3,67,0
2021,Ealing 035A,E01001248,3,20,467,9,1,6,1,0,3,569,4,55,0
2021,Ealing 028A,E01001249,133,356,423,36,1,33,6,0,8,1090,9,85,0
2021,Ealing 028B,E01001250,11,116,705,34,1,20,2,0,5,978,1,83,0
2021,Ealing 030A,E01001251,7,42,613,10,1,3,0,0,1,734,2,55,0
2021,Ealing 030B,E01001252,34,171,646,21,2,14,16,0,4,967,9,50,0
2021,Ealing 030C,E01001253,1,53,621,8,0,17,1,0,5,774,1,67,0
2021,Ealing 030D,E01001254,3,80,582,11,0,6,1,0,2,742,1,56,0
2021,Ealing 028C,E01001255,0,9,523,10,0,5,1,0,1,590,0,41,0
2021,Ealing 008A,E01001257,22,78,587,12,0,17,1,0,5,805,10,73,0
2021,Ealing 010B,E01001258,2,34,538,8,1,11,0,1,2,651,1,53,0
2021,Ealing 014B,E01001259,0,29,421,11,0,10,2,0,4,513,2,34,0
2021,Ealing 012B,E01001260,5,45,569,10,0,13,0,1,1,690,0,46,0
2021,Ealing 012C,E01001261,5,152,605,17,0,17,0,0,7,860,3,54,0
2021,Ealing 010C,E01001262,24,36,407,9,0,12,0,0,5,542,1,48,0
2021,Ealing 010D,E01001263,17,52,539,9,0,12,0,0,7,735,7,92,0
2021,Ealing 010E,E01001264,0,32,517,13,0,9,1,0,5,626,0,49,0
2021,Ealing 006A,E01001265,3,55,490,7,1,8,2,0,1,632,1,64,0
2021,Ealing 006B,E01001266,0,16,520,8,0,7,0,0,4,596,2,39,0
2021,Ealing 006C,E01001267,9,55,633,21,0,20,1,0,8,821,3,71,0
2021,Ealing 012D,E01001268,4,15,557,11,0,7,0,0,4,641,1,42,0
2021,Ealing 001A,E01001269,20,102,584,15,1,5,5,0,6,797,4,55,0
2021,Ealing 004A,E01001270,0,14,510,13,0,5,1,0,3,588,2,40,0
2021,Ealing 001B,E01001271,0,28,521,8,0,11,1,0,3,632,0,60,0
2021,Ealing 006D,E01001272,1,77,460,3,0,7,0,0,2,589,0,38,1
2021,Ealing 041C,E01001273,1,34,483,11,1,3,0,0,4,586,0,49,0
2021,Ealing 041E,E01001274,0,28,508,4,1,9,1,0,5,589,0,33,0
2021,Ealing 041D,E01001275,10,112,683,18,1,9,1,0,3,905,1,67,0
2021,Ealing 011A,E01001276,4,87,538,18,0,14,0,0,5,696,1,29,0
2021,Ealing 011B,E01001277,3,48,590,12,0,9,0,0,4,717,0,51,0
2021,Ealing 011C,E01001278,3,132,569,21,0,15,1,0,5,800,0,54,0
2021,Ealing 013C,E01001279,0,13,506,1,0,3,1,0,2,556,1,29,0
2021,Ealing 011D,E01001280,13,55,593,23,2,15,4,0,6,777,2,64,0
2021,Ealing 013D,E01001281,2,93,468,11,1,5,0,0,3,619,1,35,0
2021,Ealing 016B,E01001282,35,20,463,8,1,25,1,0,7,615,1,54,0
2021,Ealing 016C,E01001283,46,137,498,19,0,10,0,0,6,774,0,58,0
2021,Ealing 022A,E01001284,0,25,517,6,0,2,0,0,0,587,1,36,0
2021,Ealing 016D,E01001285,2,29,475,5,0,11,0,0,7,573,2,42,0
2021,Ealing 016E,E01001286,2,19,523,7,0,5,1,0,1,611,3,50,0
2021,Ealing 016F,E01001287,4,21,392,11,0,9,2,0,7,504,0,58,0
2021,Ealing 022B,E01001288,1,21,463,8,0,9,0,0,2,535,0,31,0
2021,Ealing 022C,E01001289,0,29,409,7,0,5,0,0,0,473,0,23,0
2021,Ealing 022D,E01001290,11,105,597,12,1,8,1,0,2,797,6,54,0
2021,Ealing 014C,E01001291,2,23,435,7,0,8,0,0,3,512,0,34,0
2021,Ealing 014D,E01001292,2,14,433,6,0,9,1,0,3,510,1,41,0
2021,Ealing 014E,E01001293,1,26,448,27,0,9,1,0,3,567,0,52,0
2021,Ealing 017A,E01001294,2,32,459,10,0,13,2,0,2,569,0,49,0
2021,Ealing 017B,E01001295,2,31,441,6,0,11,0,1,1,527,1,33,0
2021,Ealing 017C,E01001296,0,25,322,11,0,17,0,0,2,415,2,36,0
2021,Ealing 017D,E01001297,1,28,409,8,0,15,0,0,2,514,2,49,0
2021,Ealing 017E,E01001298,2,34,445,18,3,16,1,0,6,584,2,57,0
2021,Ealing 035B,E01001299,0,19,571,8,0,3,0,0,2,645,1,41,0
2021,Ealing 039A,E01001300,0,18,529,11,0,4,0,1,4,598,0,31,0
2021,Ealing 039B,E01001301,20,184,511,14,0,14,0,0,6,809,3,57,0
2021,Ealing 039C,E01001302,5,18,525,9,0,4,0,0,2,620,2,55,0
2021,Ealing 032A,E01001303,2,66,532,14,0,2,0,0,3,649,0,30,0
2021,Ealing 039D,E01001304,10,36,589,14,1,8,0,0,4,698,0,36,0
2021,Ealing 035C,E01001305,0,20,556,10,0,2,1,1,1,637,3,43,0
2021,Ealing 035D,E01001306,0,50,589,14,0,4,0,0,3,698,1,37,0
2021,Ealing 002A,E01001307,0,33,519,9,0,7,0,0,3,607,0,36,0
2021,Ealing 002B,E01001308,13,48,537,8,2,10,0,0,5,684,6,55,0
2021,Ealing 001C,E01001309,2,22,512,9,0,6,0,1,6,597,0,39,0
2021,Ealing 001D,E01001310,1,36,628,7,1,9,0,1,4,757,2,68,0
2021,Ealing 001E,E01001311,107,113,600,10,1,20,3,0,6,954,0,94,0
2021,Ealing 002C,E01001312,1,29,510,10,0,8,0,0,5,606,1,42,0
2021,Ealing 002D,E01001313,2,14,453,5,0,9,0,0,3,519,0,33,0
2021,Ealing 002E,E01001314,2,21,431,7,1,6,0,0,3,513,1,41,0
2021,Ealing 003A,E01001315,0,25,421,5,0,7,0,0,5,501,0,38,0
2021,Ealing 003B,E01001316,67,39,415,14,0,15,0,0,3,614,0,61,0
2021,Ealing 003C,E01001317,7,35,584,17,0,15,1,1,9,725,0,56,0
2021,Ealing 003D,E01001318,32,60,525,12,1,12,1,0,7,717,2,65,0
2021,Ealing 004B,E01001319,2,17,440,4,0,6,0,0,1,504,0,34,0
2021,Ealing 003E,E01001320,4,55,414,14,0,6,0,0,6,547,3,45,0
2021,Ealing 003F,E01001321,3,57,641,12,0,12,0,0,4,792,4,59,0
2021,Ealing 004C,E01001322,7,67,538,23,6,11,2,0,9,737,5,68,1
2021,Ealing 004D,E01001323,1,145,530,15,2,13,0,0,3,775,1,65,0
2021,Ealing 008B,E01001324,5,133,424,26,1,9,0,0,3,643,0,42,0
2021,Ealing 009A,E01001325,9,26,503,6,0,15,3,0,6,613,2,43,0
2021,Ealing 008C,E01001326,8,80,499,11,1,12,0,0,5,675,1,58,0
2021,Ealing 009B,E01001327,2,35,467,16,0,10,0,1,3,592,5,53,0
2021,Ealing 009C,E01001328,1,27,474,8,1,16,0,0,13,596,2,54,0
2021,Ealing 009D,E01001329,33,32,476,14,1,18,0,0,8,639,3,54,0
2021,Ealing 008D,E01001330,2,76,451,23,0,21,2,0,5,643,1,62,0
2021,Ealing 009E,E01001331,2,93,431,34,0,19,0,0,5,629,0,45,0
2021,Ealing 008E,E01001332,6,145,342,20,0,10,0,0,4,581,1,53,0
2021,Ealing 038A,E01001333,18,120,445,24,1,32,3,0,4,713,5,61,0
2021,Ealing 029C,E01001334,4,35,380,12,0,13,2,0,9,516,2,59,0
2021,Ealing 038B,E01001335,8,38,414,8,0,10,2,0,3,517,3,31,0
2021,Ealing 038C,E01001336,1,47,441,17,0,13,2,0,6,565,4,34,0
2021,Ealing 029D,E01001337,91,148,420,8,0,25,5,0,4,765,2,62,0
2021,Ealing 029E,E01001338,9,46,393,11,0,16,1,0,0,535,3,55,1
2021,Ealing 029F,E01001339,3,76,481,16,0,14,3,3,9,701,26,70,0
2021,Ealing 029G,E01001340,4,105,367,12,0,8,0,0,0,546,2,48,0
2021,Ealing 005A,E01001341,5,48,477,11,1,13,0,0,1,588,1,31,0
2021,Ealing 005B,E01001342,2,148,428,15,0,8,0,0,3,642,2,36,0
2021,Ealing 005C,E01001343,2,14,403,11,0,8,0,0,0,475,2,35,0
2021,Ealing 007A,E01001344,5,54,747,19,0,18,0,0,3,902,1,55,0
2021,Ealing 005D,E01001345,2,29,421,6,0,7,0,0,6,524,3,50,0
2021,Ealing 007B,E01001346,0,37,572,14,0,10,0,0,4,680,1,42,0
2021,Ealing 007C,E01001347,4,116,479,13,1,17,0,0,5,686,2,49,0
2021,Ealing 007D,E01001348,3,148,432,23,0,11,1,0,1,670,0,51,0
2021,Ealing 006E,E01001349,1,21,401,6,0,6,0,0,3,490,2,50,0
2021,Ealing 027C,E01001350,8,47,491,10,0,10,0,0,2,617,2,47,0
2021,Ealing 025E,E01001351,15,188,529,19,2,14,1,1,5,833,3,56,0
2021,Ealing 027D,E01001352,1,51,502,18,2,5,0,0,4,644,1,60,0
2021,Ealing 033A,E01001353,5,63,483,17,0,14,0,0,5,635,0,48,0
2021,Ealing 027E,E01001354,7,119,634,28,2,16,1,0,3,891,1,80,0
2021,Ealing 033B,E01001355,51,116,612,13,1,14,0,0,4,889,1,76,1
2021,Ealing 033C,E01001356,58,94,352,23,1,30,0,0,7,632,0,67,0
2021,Ealing 033D,E01001357,332,425,211,25,1,48,11,0,3,1140,19,65,0
2021,Ealing 033E,E01001358,248,249,202,17,0,23,12,0,4,815,4,54,2
2021,Ealing 026A,E01001359,3,43,480,15,1,25,0,0,2,623,2,52,0
2021,Ealing 026B,E01001360,2,47,426,9,2,15,1,0,1,554,2,49,0
2021,Ealing 023E,E01001361,5,63,407,12,1,40,3,0,4,606,3,68,0
2021,Ealing 026C,E01001362,34,145,414,18,1,15,1,0,2,714,7,77,0
2021,Ealing 026D,E01001363,2,30,421,8,0,15,0,0,2,526,0,48,0
2021,Ealing 026E,E01001364,5,33,408,10,0,12,0,0,7,550,1,74,0
2021,Ealing 026F,E01001365,0,55,516,19,0,21,0,2,5,677,3,55,1
2021,Ealing 044C,E01001366,1,30,429,15,1,29,2,0,4,566,1,54,0
2021,Ealing 043B,E01001367,5,135,464,15,3,43,2,0,3,746,1,75,0
2021,Ealing 044D,E01001368,1,29,372,12,0,21,0,0,0,470,0,35,0
2021,Ealing 038D,E01001369,1,51,402,17,2,30,0,0,3,552,1,45,0
2021,Ealing 044A,E01001370,0,47,435,18,1,16,0,0,5,566,1,43,0
2021,Ealing 044B,E01001371,18,61,438,15,0,20,2,0,7,619,3,55,0
2021,Ealing 043C,E01001372,2,86,491,16,1,33,0,0,7,696,4,56,0
2021,Ealing 043A,E01001373,12,61,414,13,0,29,1,0,4,586,2,50,0
2021,Ealing 040A,E01001374,5,94,699,16,0,8,2,0,3,901,4,70,0
2021,Ealing 034A,E01001375,0,28,601,10,2,2,2,0,4,708,1,58,0
2021,Ealing 040B,E01001376,4,82,549,20,0,15,0,0,3,734,1,60,0
2021,Ealing 034B,E01001377,51,43,521,10,10,9,1,0,4,696,3,44,0
2021,Ealing 034C,E01001379,1,30,614,6,0,6,2,0,0,716,2,55,0
2021,Ealing 040C,E01001380,96,153,699,7,1,13,6,0,1,1057,12,69,0
2021,Ealing 034D,E01001381,3,98,645,24,0,16,0,0,5,857,6,60,0
2021,Ealing 032B,E01001382,2,19,510,5,0,3,0,0,2,565,0,24,0
2021,Ealing 028D,E01001383,2,23,569,7,1,1,0,0,0,649,1,45,0
2021,Ealing 032C,E01001384,3,29,603,13,0,8,0,0,1,700,0,43,0
2021,Ealing 032D,E01001385,0,29,591,7,0,5,0,0,1,665,1,31,0
2021,Ealing 031F,E01001386,3,40,641,9,0,8,2,0,0,749,2,44,0
2021,Ealing 032E,E01001387,6,101,523,23,0,10,1,0,6,727,2,55,0
2021,Ealing 028E,E01001388,41,159,386,12,0,11,0,0,7,669,5,48,0
2021,Ealing 028F,E01001389,14,97,551,14,0,10,1,1,3,759,0,68,0
2021,Enfield 036A,E01001390,3,40,600,12,2,6,0,0,1,716,2,50,0
2021,Enfield 036B,E01001391,3,97,531,20,0,19,0,0,3,734,3,58,0
2021,Enfield 032A,E01001392,2,27,576,11,0,10,0,0,2,669,2,39,0
2021,Enfield 036C,E01001393,1,46,685,24,0,14,1,0,4,819,2,42,0
2021,Enfield 035A,E01001394,10,87,473,11,0,14,1,0,2,669,2,69,0
2021,Enfield 035B,E01001395,0,203,334,14,0,3,2,0,1,598,1,40,0
2021,Enfield 036D,E01001396,0,29,421,12,0,5,0,0,1,525,2,55,0
2021,Enfield 035C,E01001397,1,199,491,17,1,11,0,0,3,770,0,47,0
2021,Enfield 021A,E01001398,0,12,437,6,0,6,0,0,2,500,2,35,0
2021,Enfield 021B,E01001399,0,12,453,3,0,0,0,0,3,500,0,29,0
2021,Enfield 021C,E01001400,0,42,489,3,0,4,0,0,2,574,1,33,0
2021,Enfield 016A,E01001401,0,14,436,5,0,5,0,0,1,499,0,38,0
2021,Enfield 021D,E01001402,0,48,577,9,0,10,0,0,2,700,2,52,0
2021,Enfield 021E,E01001403,1,121,463,17,0,2,0,0,0,641,0,37,0
2021,Enfield 026A,E01001404,2,14,440,5,1,6,0,0,2,514,0,44,0
2021,Enfield 015A,E01001405,3,124,620,10,0,3,2,0,4,826,0,60,0
2021,Enfield 015B,E01001406,4,62,516,6,0,13,2,0,7,652,0,42,0
2021,Enfield 005A,E01001407,0,33,494,11,1,8,0,1,3,595,1,43,0
2021,Enfield 004A,E01001408,1,28,593,16,0,5,0,0,3,711,2,63,0
2021,Enfield 005B,E01001409,3,289,394,42,1,13,1,0,3,782,1,35,0
2021,Enfield 005C,E01001410,28,215,417,35,1,23,0,0,10,815,4,82,0
2021,Enfield 004B,E01001411,0,39,616,13,0,12,1,0,3,744,4,56,0
2021,Enfield 004C,E01001412,0,32,476,17,31,5,6,0,14,660,5,72,2
2021,Enfield 004D,E01001413,4,28,523,3,0,4,0,0,1,607,3,41,0
2021,Enfield 004E,E01001414,2,357,258,19,1,8,0,0,1,690,2,42,0
2021,Enfield 011A,E01001415,99,114,548,8,2,12,4,0,6,873,11,69,0
2021,Enfield 013A,E01001416,0,22,515,5,2,6,1,0,0,592,1,40,0
2021,Enfield 011B,E01001417,0,37,560,5,1,5,10,0,4,665,2,41,0
2021,Enfield 011C,E01001418,12,87,560,7,0,6,2,0,3,722,2,43,0
