date,geography,geography code,Second address indicator: No second address,Second address indicator: Second address is in the UK,Second address indicator: Second address is outside the UK,Second address indicator: Total: All usual residents
2021,Wandsworth 016A,E01004572,1568,54,62,1684
2021,Wandsworth 023D,E01004573,1581,57,46,1684
2021,Wandsworth 013B,E01004574,1828,222,66,2116
2021,Wandsworth 013C,E01004575,1607,193,87,1887
2021,Wandsworth 013D,E01004576,1452,77,78,1607
2021,Wandsworth 003C,E01004577,1587,157,104,1848
2021,Wandsworth 004B,E01004579,1673,128,70,1871
2021,Wandsworth 004C,E01004580,1906,154,54,2114
2021,Wandsworth 004D,E01004581,1570,118,95,1783
2021,Wandsworth 001C,E01004582,1845,175,181,2201
2021,Wandsworth 001D,E01004583,1478,122,110,1710
2021,Wandsworth 003D,E01004584,1656,43,27,1726
2021,Wandsworth 008D,E01004585,1660,129,37,1826
2021,Wandsworth 009C,E01004586,1691,142,64,1897
2021,Wandsworth 009D,E01004587,1635,109,76,1820
2021,Wandsworth 008E,E01004588,1780,160,72,2012
2021,Wandsworth 009E,E01004589,1625,124,48,1797
2021,Wandsworth 005B,E01004590,1721,85,47,1853
2021,Wandsworth 005C,E01004591,1725,121,56,1902
2021,Wandsworth 005D,E01004592,1583,83,19,1685
2021,Wandsworth 025A,E01004593,1807,83,48,1938
2021,Wandsworth 020D,E01004594,1572,90,38,1700
2021,Wandsworth 025B,E01004595,1700,80,22,1802
2021,Wandsworth 020E,E01004596,1532,51,33,1616
2021,Wandsworth 025C,E01004597,1764,74,55,1893
2021,Wandsworth 025D,E01004598,2021,83,42,2146
2021,Wandsworth 025E,E01004599,1472,58,36,1566
2021,Wandsworth 018D,E01004601,2290,104,70,2464
2021,Wandsworth 010C,E01004602,1482,114,52,1648
2021,Wandsworth 006A,E01004604,1391,120,53,1564
2021,Wandsworth 006B,E01004605,1656,126,39,1821
2021,Wandsworth 006C,E01004606,1521,112,40,1673
2021,Wandsworth 006D,E01004607,1490,84,55,1629
2021,Wandsworth 006E,E01004608,1505,92,72,1669
2021,Wandsworth 010E,E01004609,1901,109,126,2136
2021,Wandsworth 033C,E01004610,1849,115,23,1987
2021,Wandsworth 032B,E01004611,1433,87,27,1547
2021,Wandsworth 032C,E01004612,1456,109,37,1602
2021,Wandsworth 033D,E01004613,1605,66,24,1695
2021,Wandsworth 034A,E01004614,1802,126,43,1971
2021,Wandsworth 034B,E01004615,1563,51,31,1645
2021,Wandsworth 034C,E01004616,1721,138,37,1896
2021,Wandsworth 034D,E01004617,1583,258,68,1909
2021,Wandsworth 032D,E01004618,1426,63,21,1510
2021,Wandsworth 015E,E01004619,1141,153,62,1356
2021,Wandsworth 019C,E01004620,1509,105,82,1696
2021,Wandsworth 019D,E01004621,1549,123,47,1719
2021,Wandsworth 024D,E01004622,1697,122,29,1848
2021,Wandsworth 019E,E01004623,1628,107,37,1772
2021,Wandsworth 024E,E01004624,1498,61,15,1574
2021,Wandsworth 027E,E01004625,1140,137,38,1315
2021,Wandsworth 027F,E01004626,1701,119,26,1846
2021,Wandsworth 019F,E01004627,1475,76,37,1588
2021,Wandsworth 022A,E01004628,2191,69,81,2341
2021,Wandsworth 020F,E01004629,1480,72,40,1592
2021,Wandsworth 022B,E01004630,1697,40,22,1759
2021,Wandsworth 022C,E01004631,1779,52,53,1884
2021,Wandsworth 028A,E01004632,1402,61,52,1515
2021,Wandsworth 022D,E01004633,1577,52,27,1656
2021,Wandsworth 028B,E01004634,1396,45,41,1482
2021,Wandsworth 028C,E01004635,1533,89,40,1662
2021,Wandsworth 028D,E01004636,1367,44,51,1462
2021,Wandsworth 028E,E01004637,1359,44,62,1465
2021,Wandsworth 011B,E01004638,1197,122,56,1375
2021,Wandsworth 011C,E01004639,1561,82,64,1707
2021,Wandsworth 011D,E01004640,1516,112,52,1680
2021,Wandsworth 011E,E01004641,1762,79,47,1888
2021,Wandsworth 016B,E01004642,1995,60,56,2111
2021,Wandsworth 016C,E01004643,2171,82,97,2350
2021,Wandsworth 016D,E01004644,2311,107,89,2507
2021,Wandsworth 016E,E01004645,2027,34,53,2114
2021,Westminster 002A,E01004646,1516,79,127,1722
2021,Westminster 001A,E01004647,1215,55,123,1393
2021,Westminster 002B,E01004648,1952,140,229,2321
2021,Westminster 001B,E01004649,1187,59,162,1408
2021,Westminster 002C,E01004650,1516,89,212,1817
2021,Westminster 003A,E01004651,1501,84,190,1775
2021,Westminster 017A,E01004652,1386,66,163,1615
2021,Westminster 014A,E01004653,1628,174,156,1958
2021,Westminster 014B,E01004654,2068,156,223,2447
2021,Westminster 014D,E01004656,1687,115,166,1968
2021,Westminster 012A,E01004657,1036,67,111,1214
2021,Westminster 012B,E01004658,1133,180,210,1523
2021,Westminster 008A,E01004659,1332,128,171,1631
2021,Westminster 008B,E01004660,1125,92,214,1431
2021,Westminster 012C,E01004661,1614,113,273,2000
2021,Westminster 012D,E01004662,1069,88,163,1320
2021,Westminster 012E,E01004663,1150,112,156,1418
2021,Westminster 024A,E01004665,1384,40,29,1453
2021,Westminster 023D,E01004668,1265,90,66,1421
2021,Westminster 024B,E01004669,1580,62,79,1721
2021,Westminster 009A,E01004670,2632,44,35,2711
2021,Westminster 005A,E01004674,1803,59,40,1902
2021,Westminster 005B,E01004675,2207,64,82,2353
2021,Westminster 006A,E01004676,1377,60,61,1498
2021,Westminster 005C,E01004677,1591,67,58,1716
2021,Westminster 005D,E01004678,1816,85,61,1962
2021,Westminster 005E,E01004679,1868,52,55,1975
2021,Westminster 015A,E01004680,981,115,146,1242
2021,Westminster 016A,E01004681,1551,118,169,1838
2021,Westminster 016B,E01004682,956,98,225,1279
