date,geography,geography code,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK,Migrant indicator: Address one year ago is the same as the address of enumeration,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK,Migrant indicator: Total: All usual residents
2021,Tower Hamlets 017B,E01004323,19,1258,47,290,1614
2021,Tower Hamlets 017C,E01004324,17,1297,49,210,1573
2021,Tower Hamlets 017D,E01004326,42,1325,89,394,1850
2021,Waltham Forest 028A,E01004327,2,1377,2,112,1493
2021,Waltham Forest 028B,E01004328,4,1582,13,238,1837
2021,Waltham Forest 028C,E01004329,6,1572,19,183,1780
2021,Waltham Forest 028D,E01004330,5,1451,25,177,1658
2021,Waltham Forest 028E,E01004331,1,1430,21,182,1634
2021,Waltham Forest 028F,E01004332,2,1575,57,286,1920
2021,Waltham Forest 024A,E01004333,4,1502,14,136,1656
2021,Waltham Forest 024B,E01004334,2,1607,45,220,1874
2021,Waltham Forest 027A,E01004335,5,1582,9,130,1726
2021,Waltham Forest 026A,E01004336,2,1304,18,210,1534
2021,Waltham Forest 027B,E01004337,5,1497,22,208,1732
2021,Waltham Forest 027C,E01004338,3,1704,39,243,1989
2021,Waltham Forest 027D,E01004339,1,1537,15,271,1824
2021,Waltham Forest 027E,E01004340,11,1718,14,127,1870
2021,Waltham Forest 027F,E01004341,5,1710,29,174,1918
2021,Waltham Forest 011A,E01004342,3,1868,13,180,2064
2021,Waltham Forest 008A,E01004343,4,1705,15,127,1851
2021,Waltham Forest 008B,E01004344,4,1673,21,175,1873
2021,Waltham Forest 010A,E01004345,1,1570,12,180,1763
2021,Waltham Forest 011B,E01004346,5,1649,10,110,1774
2021,Waltham Forest 011C,E01004347,4,1931,8,201,2144
2021,Waltham Forest 010B,E01004348,14,2550,29,312,2905
2021,Waltham Forest 001A,E01004349,0,1443,9,83,1535
2021,Waltham Forest 001B,E01004350,3,1753,16,115,1887
2021,Waltham Forest 001C,E01004351,2,1523,7,98,1630
2021,Waltham Forest 002A,E01004352,4,1692,12,159,1867
2021,Waltham Forest 002B,E01004353,6,1660,2,131,1799
2021,Waltham Forest 002C,E01004354,3,1699,17,216,1935
2021,Waltham Forest 004A,E01004355,1,1578,4,91,1674
2021,Waltham Forest 001D,E01004356,2,1567,5,106,1680
2021,Waltham Forest 001E,E01004357,4,1442,3,121,1570
2021,Waltham Forest 002D,E01004358,3,1765,5,152,1925
2021,Waltham Forest 002E,E01004359,7,1586,5,91,1689
2021,Waltham Forest 004B,E01004360,0,1253,7,67,1327
2021,Waltham Forest 005A,E01004361,2,1276,8,84,1370
2021,Waltham Forest 021A,E01004362,5,1397,23,163,1588
2021,Waltham Forest 019A,E01004363,5,1528,10,99,1642
2021,Waltham Forest 019B,E01004364,4,1803,16,135,1958
2021,Waltham Forest 020A,E01004365,2,2176,30,277,2485
2021,Waltham Forest 019C,E01004366,1,1746,15,150,1912
2021,Waltham Forest 019D,E01004367,0,1405,15,157,1577
2021,Waltham Forest 019E,E01004368,4,2191,30,183,2408
2021,Waltham Forest 023A,E01004369,4,1476,13,232,1725
2021,Waltham Forest 023B,E01004370,3,1727,20,311,2061
2021,Waltham Forest 025A,E01004371,2,1348,34,236,1620
2021,Waltham Forest 023C,E01004372,2,1363,12,235,1612
2021,Waltham Forest 025B,E01004373,2,1515,31,221,1769
2021,Waltham Forest 025C,E01004374,4,1620,36,266,1926
2021,Waltham Forest 025D,E01004375,5,1625,22,243,1895
2021,Waltham Forest 025E,E01004376,4,1600,36,235,1875
2021,Waltham Forest 010C,E01004377,4,1697,9,103,1813
2021,Waltham Forest 010D,E01004378,2,1679,16,133,1830
