date,geography,geography code,Religion: Buddhist,Religion: Christian,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: No religion,Religion: Not answered,Religion: Other religion,Religion: Sikh,Religion: Total: All usual residents
2021,Barking and Dagenham 007C,E01000080,2,918,23,5,257,452,121,1,0,1779
2021,Barking and Dagenham 007D,E01000081,2,931,47,2,451,434,87,10,12,1976
2021,Barking and Dagenham 007E,E01000082,8,936,12,3,302,524,103,7,18,1913
2021,Barking and Dagenham 007F,E01000083,7,761,42,2,439,540,82,0,46,1919
2021,Barking and Dagenham 013D,E01000084,12,740,35,3,200,360,83,1,3,1437
2021,Barking and Dagenham 013E,E01000085,2,816,29,6,252,431,100,10,0,1646
2021,Barking and Dagenham 013F,E01000086,8,814,17,2,179,353,70,2,4,1449
2021,Barking and Dagenham 020B,E01000087,4,892,15,1,309,303,94,1,17,1636
2021,Barking and Dagenham 020C,E01000088,8,1066,36,0,413,270,121,17,44,1975
2021,Barking and Dagenham 020D,E01000089,7,1052,16,5,359,271,92,5,15,1822
2021,Barking and Dagenham 020E,E01000090,5,938,51,0,357,203,78,2,72,1706
2021,Barking and Dagenham 022A,E01000091,1,947,22,1,609,390,93,6,21,2090
2021,Barking and Dagenham 022B,E01000093,1,756,27,2,566,316,119,6,16,1809
2021,Barking and Dagenham 022C,E01000094,1,1242,39,3,655,339,171,14,2,2466
2021,Barking and Dagenham 018E,E01000095,6,1056,42,1,487,537,88,14,20,2251
2021,Barking and Dagenham 022D,E01000096,3,799,24,0,445,289,65,7,27,1659
2021,Barking and Dagenham 023C,E01000097,4,826,104,3,429,403,110,9,45,1933
2021,Barking and Dagenham 023D,E01000098,6,752,73,3,511,377,127,9,77,1935
2021,Barking and Dagenham 023E,E01000099,4,1142,163,1,590,623,143,36,74,2776
2021,Barking and Dagenham 004B,E01000100,12,802,49,3,345,557,93,12,69,1942
2021,Barking and Dagenham 004C,E01000101,4,801,36,3,312,387,106,14,34,1697
2021,Barking and Dagenham 007G,E01000102,8,777,21,3,361,433,141,5,37,1786
2021,Barking and Dagenham 014A,E01000103,3,966,19,1,260,363,123,21,17,1773
2021,Barking and Dagenham 014B,E01000104,4,989,36,0,313,442,100,31,0,1915
2021,Barking and Dagenham 014C,E01000105,16,1228,34,0,344,578,115,8,10,2333
2021,Barking and Dagenham 014D,E01000106,3,1108,32,5,405,482,140,9,21,2205
2021,Barking and Dagenham 010C,E01000107,3,993,31,2,308,323,106,5,16,1787
2021,Barking and Dagenham 010D,E01000108,11,953,28,9,402,351,116,13,32,1915
2021,Barking and Dagenham 002C,E01000110,2,560,75,2,540,159,67,9,160,1574
2021,Barking and Dagenham 002D,E01000111,5,1132,88,2,406,361,91,6,65,2156
2021,Barking and Dagenham 002E,E01000112,2,827,113,6,514,278,98,9,126,1973
2021,Barking and Dagenham 002F,E01000113,8,987,100,4,477,229,104,8,80,1997
2021,Barking and Dagenham 004E,E01000114,9,953,179,11,738,280,139,17,93,2419
2021,Barnet 009A,E01000115,21,571,141,117,173,234,96,36,5,1394
2021,Barnet 009B,E01000116,4,821,75,81,179,417,114,43,10,1744
2021,Barnet 010A,E01000117,2,871,66,72,108,423,148,35,11,1736
2021,Barnet 010B,E01000118,15,1025,117,71,202,423,155,32,7,2047
2021,Barnet 009C,E01000119,13,759,132,57,274,350,138,54,14,1791
2021,Barnet 009D,E01000120,6,631,138,86,188,271,123,45,7,1495
2021,Barnet 010C,E01000121,6,636,98,39,155,394,99,49,0,1476
2021,Barnet 009E,E01000122,12,669,115,49,198,301,127,19,23,1513
2021,Barnet 010D,E01000123,39,781,101,39,198,426,134,35,10,1763
2021,Barnet 010E,E01000124,21,877,84,31,208,487,119,30,8,1865
2021,Barnet 026A,E01000126,24,939,73,30,700,359,136,12,2,2275
2021,Barnet 024B,E01000127,48,694,129,7,304,231,127,12,7,1559
2021,Barnet 024C,E01000128,51,981,128,5,386,302,170,21,6,2050
2021,Barnet 024D,E01000129,39,751,141,3,300,217,138,13,2,1604
2021,Barnet 021A,E01000130,27,996,60,11,378,320,115,18,13,1938
2021,Barnet 024E,E01000131,53,882,146,31,379,293,210,23,4,2021
2021,Barnet 021B,E01000132,27,715,126,3,341,251,140,6,7,1616
2021,Barnet 021C,E01000133,31,725,109,15,350,280,109,20,5,1644
2021,Barnet 024F,E01000134,62,938,102,26,260,302,126,11,0,1827
2021,Barnet 038A,E01000135,17,391,95,433,182,311,247,19,4,1699
2021,Barnet 038B,E01000136,17,352,84,497,92,293,131,11,8,1485
2021,Barnet 041A,E01000137,18,693,38,75,368,338,98,28,2,1658
2021,Barnet 040A,E01000138,9,656,80,97,333,272,145,20,8,1620
2021,Barnet 041B,E01000139,9,451,77,255,181,260,140,15,0,1388
2021,Barnet 041C,E01000140,31,644,58,342,261,458,148,19,0,1961
2021,Barnet 039A,E01000141,43,783,32,34,371,432,152,16,1,1864
2021,Barnet 040B,E01000142,26,945,58,74,439,495,182,11,4,2234
