date,geography,geography code,Household deprivation: Household is deprived in four dimensions,Household deprivation: Household is deprived in one dimension,Household deprivation: Household is deprived in three dimensions,Household deprivation: Household is deprived in two dimensions,Household deprivation: Household is not deprived in any dimension,Household deprivation: Total: All households
2021,Kensington and Chelsea 004B,E01002830,10,245,70,195,304,824
2021,Kensington and Chelsea 004C,E01002831,13,271,53,183,365,885
2021,Kensington and Chelsea 004D,E01002832,5,246,35,138,363,787
2021,Kensington and Chelsea 007A,E01002833,2,193,17,51,388,651
2021,Kensington and Chelsea 013B,E01002834,0,197,15,38,363,613
2021,Kensington and Chelsea 016C,E01002835,1,183,12,32,417,645
2021,Kensington and Chelsea 016D,E01002836,2,225,10,44,429,710
2021,Kensington and Chelsea 016E,E01002837,0,111,7,23,351,492
2021,Kensington and Chelsea 013C,E01002839,18,259,50,132,396,855
2021,Kensington and Chelsea 021A,E01002840,1,198,36,110,195,540
2021,Kensington and Chelsea 021B,E01002841,6,168,23,105,308,610
2021,Kensington and Chelsea 021C,E01002842,8,157,54,103,80,402
2021,Kensington and Chelsea 021D,E01002843,10,231,44,147,199,631
2021,Kensington and Chelsea 019A,E01002844,6,184,24,46,354,614
2021,Kensington and Chelsea 019B,E01002845,6,188,39,78,303,614
2021,Kensington and Chelsea 017A,E01002846,6,247,43,99,321,716
2021,Kensington and Chelsea 015B,E01002847,5,233,25,62,390,715
2021,Kensington and Chelsea 015C,E01002848,3,228,29,106,344,710
2021,Kensington and Chelsea 017B,E01002849,2,249,23,55,410,739
2021,Kensington and Chelsea 013D,E01002850,2,175,14,93,348,632
2021,Kensington and Chelsea 015D,E01002851,22,292,73,138,270,795
2021,Kensington and Chelsea 001A,E01002852,11,302,57,182,297,849
2021,Kensington and Chelsea 001B,E01002853,3,198,64,114,211,590
2021,Kensington and Chelsea 001C,E01002854,1,168,46,112,131,458
2021,Kensington and Chelsea 001D,E01002855,13,248,87,149,228,725
2021,Kensington and Chelsea 004E,E01002856,8,236,61,145,320,770
2021,Kensington and Chelsea 001E,E01002857,7,207,58,136,147,555
2021,Kensington and Chelsea 014C,E01002858,3,258,36,97,245,639
2021,Kensington and Chelsea 012C,E01002859,1,178,5,48,428,660
2021,Kensington and Chelsea 012D,E01002860,0,111,6,30,425,572
2021,Kensington and Chelsea 014D,E01002861,0,149,34,52,318,553
2021,Kensington and Chelsea 014E,E01002862,10,343,41,138,185,717
2021,Kensington and Chelsea 012E,E01002863,0,147,11,30,368,556
2021,Kensington and Chelsea 009A,E01002864,1,135,3,30,363,532
