date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Barnet 007F,E01000290,464,42,37,5,21,27,121,65,102,13,15,2,4,0,9,0,1,1157,1621
2021,Barnet 004E,E01000291,573,60,47,6,27,30,100,110,117,28,20,4,2,1,20,1,0,985,1558
2021,Barnet 001E,E01000292,463,39,31,5,17,32,88,85,102,23,14,3,2,1,20,0,1,1079,1542
2021,Barnet 001F,E01000293,577,49,37,7,25,47,118,117,123,16,19,5,1,0,13,0,0,1196,1773
2021,Barnet 004F,E01000294,618,42,63,12,12,37,88,116,159,31,27,4,5,1,21,0,0,1193,1811
2021,Barnet 023B,E01000295,783,75,38,8,24,54,157,143,203,31,30,3,5,0,12,0,0,833,1616
2021,Barnet 023C,E01000296,948,64,64,6,31,69,199,185,228,40,32,7,3,1,19,0,0,840,1788
2021,Barnet 027D,E01000297,688,57,40,7,33,43,142,120,169,36,17,2,4,2,16,0,0,735,1423
2021,Barnet 023D,E01000298,885,70,39,10,28,46,179,183,227,54,28,2,8,0,11,0,0,827,1712
2021,Barnet 019A,E01000299,1325,84,94,11,62,55,263,239,345,76,49,5,7,3,32,0,0,894,2219
2021,Barnet 019B,E01000300,710,52,49,9,32,41,140,139,162,27,29,3,7,1,19,0,0,956,1666
2021,Barnet 020C,E01000301,647,77,40,9,26,42,104,99,152,36,30,3,5,3,21,0,0,848,1495
2021,Barnet 019C,E01000302,962,73,50,7,36,54,156,176,293,55,26,7,12,2,15,0,0,836,1798
2021,Barnet 020D,E01000303,633,57,35,6,21,32,117,108,181,23,32,3,3,0,15,0,0,869,1502
2021,Barnet 020E,E01000304,721,67,31,9,34,41,156,143,151,34,24,7,3,0,20,1,0,835,1556
2021,Barnet 036B,E01000305,1014,62,68,13,49,71,202,151,259,71,27,8,4,1,28,0,0,607,1621
2021,Barnet 036C,E01000306,1324,56,79,18,38,88,293,279,343,65,29,8,3,1,23,1,0,648,1972
2021,Barnet 039D,E01000307,902,54,73,9,35,65,185,194,190,35,33,1,2,0,26,0,0,750,1652
2021,Barnet 036D,E01000308,1070,69,61,25,36,74,269,200,220,47,27,6,11,0,25,0,0,1040,2110
2021,Barnet 031D,E01000309,1194,81,56,14,40,100,250,226,314,48,24,5,12,0,24,0,0,857,2051
2021,Barnet 034C,E01000310,1312,93,95,10,48,87,295,234,286,72,40,8,10,2,28,0,4,883,2195
2021,Barnet 034D,E01000311,550,70,36,7,13,31,115,87,106,37,26,5,3,0,14,0,0,1221,1771
2021,Barnet 036E,E01000312,925,67,49,11,33,58,172,179,237,47,31,11,6,0,24,0,0,843,1768
2021,Barnet 036F,E01000313,1185,66,60,17,37,81,246,217,270,109,35,5,7,4,31,0,0,718,1903
2021,Barnet 032F,E01000314,1358,93,84,20,52,96,301,232,284,92,44,12,7,6,34,0,1,809,2167
2021,Barnet 022F,E01000315,711,52,42,19,36,42,135,128,172,20,33,6,4,2,20,0,0,990,1701
2021,Barnet 027E,E01000316,1161,104,64,15,54,73,235,206,248,64,41,12,11,1,32,0,1,1127,2288
2021,Barnet 019D,E01000317,694,53,36,5,16,45,143,137,161,40,26,4,4,0,24,0,0,888,1582
2021,Barnet 019E,E01000318,851,63,64,9,85,65,166,123,160,37,51,3,4,3,17,0,1,1077,1928
2021,Barnet 027F,E01000319,471,46,27,5,14,29,93,95,109,18,21,1,1,0,12,0,0,927,1398
2021,Barnet 011D,E01000320,808,61,41,14,31,62,159,142,191,37,32,6,3,1,28,0,0,1126,1934
2021,Barnet 012E,E01000321,955,73,39,11,24,73,196,195,253,44,24,5,5,0,13,0,0,1005,1960
2021,Barnet 011E,E01000322,858,72,40,11,29,49,149,165,221,39,37,5,6,2,33,0,0,1002,1860
2021,Barnet 019F,E01000323,1304,95,50,19,48,94,260,224,305,120,31,7,11,2,37,1,0,1060,2364
2021,Barnet 015F,E01000324,695,65,42,17,31,57,157,123,121,31,21,4,0,4,22,0,0,1136,1831
2021,Bexley 014A,E01000325,148,18,8,0,7,10,31,31,31,4,5,0,0,0,3,0,0,1497,1645
2021,Bexley 014B,E01000326,216,21,11,2,12,15,43,51,42,8,6,0,0,1,4,0,0,1166,1382
