date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Croydon 016B,E01001007,1146,104,90,21,40,48,214,186,275,53,65,5,2,3,39,0,1,839,1985
2021,Croydon 019B,E01001008,720,53,64,8,26,37,125,120,194,32,28,3,6,0,24,0,0,946,1666
2021,Croydon 019C,E01001009,1076,101,86,19,34,50,202,178,259,56,52,9,6,2,22,0,0,973,2049
2021,Croydon 019D,E01001010,658,45,52,11,32,38,122,107,160,29,33,5,3,0,21,0,0,1043,1701
2021,Croydon 019E,E01001011,1246,111,97,23,46,58,200,211,328,76,43,7,5,2,39,0,0,1067,2313
2021,Croydon 020A,E01001012,1028,58,86,22,47,56,188,151,260,70,37,9,9,2,33,0,0,1070,2098
2021,Croydon 020B,E01001013,1066,113,73,18,48,51,183,167,269,50,46,5,6,2,35,0,0,1129,2195
2021,Croydon 041A,E01001015,271,23,17,5,17,21,52,39,59,14,11,1,3,0,9,0,0,1222,1493
2021,Croydon 041B,E01001016,392,37,32,11,17,22,75,70,72,14,24,3,3,1,11,0,0,1366,1758
2021,Croydon 043A,E01001017,223,31,11,6,10,21,45,31,43,4,10,2,1,0,8,0,0,1425,1648
2021,Croydon 044A,E01001018,218,25,11,4,12,21,41,39,35,7,12,1,2,1,7,0,0,1433,1651
2021,Croydon 044B,E01001019,210,31,15,4,3,19,43,33,26,5,12,4,4,0,11,0,0,1253,1463
2021,Croydon 044C,E01001020,212,23,13,2,13,13,55,34,31,8,13,2,1,0,4,0,0,1444,1656
2021,Croydon 044D,E01001021,248,17,21,1,16,13,45,35,66,13,11,3,3,0,3,1,0,1109,1357
2021,Croydon 044E,E01001022,218,29,11,7,10,19,56,28,37,6,12,0,0,0,3,0,0,1263,1481
2021,Croydon 041C,E01001023,747,71,52,12,39,56,177,151,118,24,24,5,1,1,15,1,0,1849,2596
2021,Croydon 043B,E01001024,232,26,23,2,12,19,45,40,37,8,12,3,1,0,4,0,0,1111,1343
2021,Croydon 043C,E01001025,177,20,8,3,9,19,42,33,23,7,5,2,2,1,3,0,0,1172,1349
2021,Croydon 043D,E01001026,225,20,13,3,10,16,60,45,37,5,10,0,0,0,6,0,0,1655,1880
2021,Croydon 043E,E01001027,756,97,44,8,22,48,133,200,141,19,23,2,3,0,16,0,0,2153,2909
2021,Croydon 038A,E01001028,451,44,39,8,23,38,99,64,79,8,24,1,2,1,21,0,0,1203,1654
2021,Croydon 038B,E01001029,576,46,48,12,25,36,105,101,119,30,28,2,1,1,20,0,2,1141,1717
2021,Croydon 038C,E01001030,374,45,32,6,9,26,96,67,40,13,16,2,3,2,17,0,0,1083,1457
2021,Croydon 038D,E01001031,330,42,17,7,13,20,56,64,58,9,32,1,1,4,6,0,0,1124,1454
2021,Croydon 035A,E01001032,304,36,27,11,16,21,62,62,40,8,11,1,1,0,8,0,0,1254,1558
2021,Croydon 031A,E01001033,563,43,43,9,22,41,125,100,113,28,18,0,7,2,11,1,0,1106,1669
2021,Croydon 031B,E01001034,469,42,38,7,23,22,90,96,97,22,17,1,3,1,10,0,0,1140,1609
2021,Croydon 047C,E01001035,776,71,43,12,21,45,132,159,174,49,37,7,5,2,19,0,0,1084,1860
2021,Croydon 029A,E01001036,479,50,30,6,28,29,108,73,78,32,26,1,1,1,16,0,0,1143,1622
2021,Croydon 029B,E01001037,503,42,43,6,18,42,111,94,106,11,16,2,1,0,11,0,0,1035,1538
2021,Croydon 029C,E01001038,636,64,37,12,27,39,102,162,128,16,28,3,1,2,15,0,0,1270,1906
2021,Croydon 029D,E01001039,370,40,20,7,13,24,85,67,58,13,16,3,2,3,19,0,0,1198,1568
2021,Croydon 029E,E01001040,555,48,25,11,15,37,109,90,131,25,34,3,2,2,23,0,0,1168,1723
2021,Croydon 031C,E01001041,631,53,55,15,37,35,119,94,145,27,19,7,2,0,23,0,0,1098,1729
2021,Croydon 024B,E01001042,982,75,62,12,44,61,210,194,214,50,35,3,2,0,20,0,0,1186,2168
2021,Croydon 023A,E01001044,1055,133,49,15,36,46,150,221,278,39,37,8,7,1,35,0,0,1024,2079
2021,Croydon 023B,E01001046,1096,118,46,12,25,44,175,286,276,47,31,8,6,1,21,0,0,831,1927
2021,Croydon 047A,E01001047,726,53,51,10,33,37,128,142,183,35,25,4,4,2,19,0,0,1006,1732
2021,Croydon 023C,E01001049,585,66,48,16,33,34,103,94,117,18,28,4,2,0,22,0,0,853,1438
2021,Croydon 023D,E01001050,857,75,42,13,22,45,124,177,219,64,32,9,20,1,14,0,0,857,1714
2021,Croydon 030A,E01001051,466,53,47,4,16,26,69,77,106,24,22,8,4,1,9,0,0,1140,1606
2021,Croydon 030B,E01001052,392,36,35,12,18,15,68,69,85,14,23,0,1,0,16,0,0,1073,1465
2021,Croydon 032A,E01001053,357,47,23,9,6,13,56,69,96,7,19,0,3,2,7,0,0,1242,1599
2021,Croydon 030C,E01001054,495,55,49,11,26,20,69,78,114,16,36,1,1,2,17,0,0,1366,1861
2021,Croydon 032B,E01001055,329,32,22,8,14,12,49,59,82,13,26,2,2,1,7,0,0,1239,1568
2021,Croydon 030D,E01001056,484,55,41,6,23,21,76,94,111,24,16,2,3,0,12,0,0,1323,1807
2021,Croydon 030E,E01001057,497,48,46,20,24,22,85,69,115,27,21,1,5,0,14,0,0,1294,1791
2021,Croydon 034A,E01001058,263,25,13,1,9,20,47,51,55,15,12,6,1,0,8,0,0,1093,1356
2021,Croydon 034B,E01001059,287,42,21,4,12,11,59,45,54,16,13,0,3,0,7,0,0,1164,1451
2021,Croydon 034C,E01001060,346,39,29,6,14,12,42,70,82,17,21,1,3,2,8,0,0,1271,1617
2021,Croydon 034D,E01001061,397,39,30,4,17,20,77,81,89,12,12,3,1,1,11,0,0,1223,1620
2021,Croydon 026A,E01001062,348,29,40,4,16,21,78,69,48,12,16,0,4,3,8,0,0,1163,1511
2021,Croydon 026B,E01001063,366,40,38,8,15,26,66,57,73,12,14,0,2,1,13,0,1,1167,1533
2021,Croydon 026C,E01001064,431,46,35,8,19,24,85,71,90,13,19,2,5,4,10,0,0,1175,1606
2021,Croydon 034E,E01001065,282,28,17,1,15,14,51,60,63,18,7,1,1,0,6,0,0,1044,1326
2021,Croydon 034F,E01001066,427,53,28,8,17,15,75,73,96,18,25,2,3,1,13,0,0,1028,1455
2021,Croydon 041D,E01001067,358,44,41,12,24,23,81,56,46,8,17,2,2,0,1,1,0,1296,1654
2021,Croydon 042A,E01001068,316,28,19,3,18,29,57,72,48,10,17,1,2,2,10,0,0,1520,1836
2021,Croydon 040A,E01001069,283,26,26,7,11,21,58,48,50,8,12,0,2,1,12,1,0,1085,1368
2021,Croydon 040B,E01001070,420,46,45,10,23,34,78,63,72,17,14,3,2,0,13,0,0,1361,1781
2021,Croydon 042B,E01001071,331,49,20,5,8,17,84,60,51,11,13,1,4,0,8,0,0,1564,1895
2021,Croydon 042C,E01001072,292,36,29,4,17,16,42,54,57,12,13,1,3,1,7,0,0,1188,1480
2021,Croydon 037A,E01001073,418,43,23,5,21,28,78,81,86,19,25,1,2,0,6,0,0,1022,1440
2021,Croydon 041E,E01001074,507,52,42,4,28,27,97,110,88,18,20,3,5,2,11,0,0,1443,1950
2021,Croydon 040C,E01001075,388,38,31,7,20,17,78,71,81,18,11,4,4,0,7,1,0,1241,1629
2021,Croydon 036A,E01001076,336,25,24,10,8,22,71,61,75,11,11,0,9,0,9,0,0,1331,1667
2021,Croydon 032C,E01001077,313,31,26,6,11,21,64,53,64,11,18,1,1,1,5,0,0,1019,1332
2021,Croydon 032D,E01001078,322,21,32,3,8,13,58,48,102,12,14,1,2,1,7,0,0,1121,1443
2021,Croydon 036B,E01001079,370,49,32,2,10,25,58,52,89,18,14,1,3,1,16,0,0,1242,1612
2021,Croydon 036C,E01001080,320,24,23,8,16,9,48,58,72,23,17,0,4,2,16,0,0,1162,1482
2021,Croydon 036D,E01001081,299,34,19,4,14,25,48,67,58,8,11,3,0,0,8,0,0,1175,1474
2021,Croydon 032E,E01001082,322,36,23,8,13,18,60,65,68,12,9,0,0,1,9,0,0,1229,1551
2021,Croydon 003A,E01001083,676,49,54,14,29,49,177,115,94,19,35,1,8,5,27,0,0,940,1616
2021,Croydon 002A,E01001084,777,68,66,18,33,59,145,127,154,40,28,4,6,3,24,2,0,1154,1931
2021,Croydon 004A,E01001085,883,56,73,17,28,72,180,141,214,43,28,6,6,3,16,0,0,827,1710
2021,Croydon 003B,E01001086,746,39,82,21,38,58,155,121,134,39,28,3,6,2,20,0,0,985,1731
2021,Croydon 003C,E01001087,1397,101,100,19,54,79,255,249,328,87,56,12,6,1,50,0,0,1432,2829
2021,Croydon 004B,E01001088,699,61,64,10,27,48,152,103,140,29,35,5,6,0,19,0,0,982,1681
2021,Croydon 004C,E01001089,874,65,68,14,43,51,175,134,201,46,38,6,8,1,24,0,0,912,1786
2021,Croydon 004D,E01001090,1063,97,56,23,29,58,233,169,254,56,43,8,5,2,30,0,0,1211,2274
2021,Croydon 004E,E01001091,719,50,72,13,40,66,130,123,125,43,24,2,6,1,24,0,0,857,1576
2021,Croydon 037B,E01001092,558,68,34,11,39,35,99,106,98,17,26,4,4,1,16,0,0,1375,1933
2021,Croydon 037C,E01001093,586,59,33,12,26,28,123,103,105,34,34,4,1,1,22,1,0,1205,1791
2021,Croydon 038E,E01001094,507,59,45,8,30,32,111,79,73,10,30,7,4,3,16,0,0,1138,1645
2021,Croydon 031D,E01001095,446,40,28,8,19,26,95,84,87,23,17,1,1,1,16,0,0,1084,1530
2021,Croydon 037D,E01001096,362,44,36,5,10,22,79,64,59,12,21,1,1,0,8,0,0,1116,1478
2021,Croydon 037E,E01001097,817,56,59,20,35,55,171,161,164,40,25,10,5,4,12,0,0,1573,2390
2021,Croydon 037F,E01001098,308,25,20,6,9,24,58,50,76,6,19,1,3,0,11,0,0,1158,1466
2021,Croydon 040D,E01001099,344,31,25,10,15,23,82,55,60,12,10,1,4,1,15,0,0,1237,1581
2021,Croydon 031E,E01001100,391,29,26,6,22,31,84,63,80,15,16,2,2,0,15,0,0,1122,1513
2021,Croydon 035B,E01001101,209,30,13,4,15,17,41,39,24,4,11,1,4,0,6,0,0,1225,1434
2021,Croydon 035C,E01001102,233,28,16,1,10,19,46,31,44,9,16,0,2,2,9,0,0,1281,1514
2021,Croydon 039A,E01001103,269,28,26,7,12,13,52,45,53,3,18,1,2,0,9,0,0,1363,1632
2021,Croydon 042D,E01001104,350,37,37,4,16,22,67,66,60,10,19,2,4,0,6,0,0,1322,1672
2021,Croydon 039B,E01001105,256,31,15,3,7,22,55,53,35,11,12,3,2,0,7,0,0,1481,1737
2021,Croydon 039C,E01001106,246,20,21,5,11,15,56,40,41,7,12,1,6,1,10,0,0,1258,1504
2021,Croydon 035D,E01001107,449,57,23,4,22,28,89,82,89,12,24,3,5,2,9,0,0,1217,1666
2021,Croydon 035E,E01001108,292,37,22,9,14,25,60,46,35,8,21,1,1,1,12,0,0,1490,1782
2021,Croydon 013B,E01001109,941,80,75,21,35,55,205,128,203,57,42,4,8,6,21,0,1,1412,2353
2021,Croydon 020D,E01001110,979,91,68,18,39,50,166,165,227,57,51,7,8,0,32,0,0,1168,2147
2021,Croydon 010D,E01001111,764,52,79,27,29,35,126,123,158,61,31,2,1,0,40,0,0,988,1752
2021,Croydon 013C,E01001112,773,60,38,12,37,55,157,135,172,43,24,5,3,2,30,0,0,1245,2018
2021,Croydon 013D,E01001113,800,41,67,9,32,57,149,120,205,46,37,3,3,3,28,0,0,1206,2006
2021,Croydon 013E,E01001114,636,37,69,11,41,56,117,78,154,33,19,3,0,2,16,0,0,875,1511
2021,Croydon 015B,E01001115,816,62,71,9,42,42,123,129,195,57,44,3,13,1,25,0,0,1004,1820
2021,Croydon 013F,E01001116,676,40,63,14,29,39,123,100,160,41,29,6,7,0,25,0,0,849,1525
2021,Croydon 020E,E01001118,916,62,77,16,34,49,172,142,208,65,48,4,7,0,31,1,0,1236,2152
2021,Croydon 034G,E01001119,175,16,12,3,5,16,42,31,32,1,8,2,0,0,7,0,0,1264,1439
2021,Croydon 033A,E01001120,265,16,17,9,14,25,69,42,45,9,10,1,2,0,5,0,1,1082,1347
2021,Croydon 039D,E01001121,223,24,21,7,16,16,48,46,23,8,5,2,1,1,5,0,0,1102,1325
2021,Croydon 033B,E01001122,444,34,50,13,62,38,70,65,68,14,16,3,3,1,7,0,0,994,1438
2021,Croydon 033C,E01001123,384,44,32,10,11,27,69,71,73,12,20,1,1,1,12,0,0,1232,1616
2021,Croydon 033D,E01001124,288,48,26,4,12,12,50,44,60,2,12,1,1,2,12,0,2,1280,1568
2021,Croydon 033E,E01001125,409,44,35,6,16,28,69,74,75,15,27,1,1,1,17,0,0,1232,1641
2021,Croydon 034H,E01001126,263,36,12,5,12,14,60,44,41,13,14,1,4,0,5,2,0,1155,1418
2021,Croydon 025A,E01001127,331,37,24,11,10,27,66,50,66,9,19,7,1,1,3,0,0,1295,1626
2021,Croydon 025B,E01001128,419,39,31,9,15,39,81,71,85,15,13,3,4,3,11,0,0,1182,1601
2021,Croydon 026D,E01001129,252,30,23,6,18,24,59,36,36,5,5,1,0,0,9,0,0,1140,1392
2021,Croydon 025C,E01001130,663,72,50,19,28,28,101,128,154,14,44,0,3,2,20,0,0,1100,1763
2021,Croydon 018C,E01001131,302,24,19,3,12,14,70,63,54,13,18,2,0,1,9,0,0,1266,1568
2021,Croydon 018D,E01001132,358,36,28,9,22,25,90,58,45,19,8,0,3,2,12,1,0,1260,1618
2021,Croydon 026E,E01001133,359,38,26,9,26,35,68,52,57,24,12,0,1,0,11,0,0,1228,1587
2021,Croydon 018E,E01001134,422,47,26,7,17,33,89,68,85,18,17,0,1,0,14,0,0,1189,1611
2021,Croydon 025D,E01001135,385,44,31,5,17,20,85,54,70,19,15,4,6,1,14,0,0,1295,1680
2021,Croydon 007A,E01001136,864,57,54,15,47,47,176,140,214,44,33,7,5,2,23,0,0,1172,2036
2021,Croydon 001A,E01001137,655,63,61,10,15,37,119,124,139,31,35,3,0,1,17,0,0,1474,2129
2021,Croydon 001B,E01001138,394,37,19,6,10,36,83,63,82,22,20,3,2,0,11,0,0,1119,1513
2021,Croydon 007B,E01001139,597,56,39,10,22,35,111,113,128,31,28,1,2,1,20,0,0,1102,1699
2021,Croydon 007C,E01001140,526,38,30,7,21,24,93,107,122,30,23,1,3,0,27,0,0,1108,1634
2021,Croydon 008A,E01001141,438,48,22,8,10,33,90,88,92,22,14,1,1,0,9,0,0,835,1273
2021,Croydon 007D,E01001142,597,47,53,14,30,43,134,99,105,25,22,0,1,0,23,0,1,1324,1921
2021,Croydon 008B,E01001143,724,66,53,27,27,46,131,100,166,45,33,7,6,2,15,0,0,1210,1934
2021,Croydon 007E,E01001144,707,56,52,11,27,32,162,139,153,28,23,5,0,2,17,0,0,1050,1757
2021,Croydon 008C,E01001145,759,53,58,23,50,47,144,111,171,50,22,4,3,1,21,0,1,1068,1827
2021,Croydon 006A,E01001146,585,40,64,9,23,44,106,91,126,18,26,7,5,1,24,1,0,941,1526
2021,Croydon 005A,E01001147,709,58,43,15,37,41,143,104,153,46,39,5,4,3,18,0,0,1073,1782
2021,Croydon 005B,E01001148,673,57,57,25,33,35,125,120,128,32,38,0,0,1,22,0,0,1087,1760
2021,Croydon 006B,E01001149,574,48,44,13,24,35,123,116,99,20,30,1,2,2,17,0,0,1008,1582
2021,Croydon 006C,E01001150,562,58,43,13,19,52,106,80,106,25,24,4,4,0,28,0,0,1146,1708
2021,Croydon 005C,E01001151,778,49,64,19,43,49,128,136,195,38,31,3,6,3,14,0,0,971,1749
2021,Croydon 005D,E01001152,1113,67,70,25,71,76,178,131,337,49,54,12,5,1,36,1,0,953,2066
2021,Croydon 006D,E01001153,717,46,67,13,38,47,129,115,151,33,39,4,4,1,30,0,0,915,1632
2021,Croydon 006E,E01001154,911,63,73,17,49,50,154,140,232,50,41,3,2,1,34,2,0,1048,1959
2021,Croydon 010E,E01001155,883,55,67,32,46,55,137,126,210,70,23,10,19,6,27,0,0,914,1797
2021,Croydon 001C,E01001156,601,58,37,10,23,35,89,124,151,33,14,5,5,1,15,1,0,1170,1771
2021,Croydon 002B,E01001157,710,58,77,15,43,55,150,84,130,27,30,2,4,5,28,2,0,1141,1851
2021,Croydon 005E,E01001158,511,35,42,9,18,35,115,69,116,29,18,1,2,1,21,0,0,1025,1536
2021,Croydon 002C,E01001159,727,60,43,18,39,48,143,121,142,46,21,5,10,4,25,2,0,1217,1944
2021,Croydon 002D,E01001160,826,62,64,22,51,63,164,152,135,28,38,3,7,2,34,1,0,1123,1949
2021,Croydon 003D,E01001161,698,59,58,15,33,47,129,111,151,27,36,3,4,1,24,0,0,1042,1740
2021,Croydon 001D,E01001162,543,55,34,13,22,24,115,105,117,22,22,3,3,1,7,0,0,1269,1812
2021,Croydon 002E,E01001163,629,55,49,8,22,38,134,105,136,19,32,3,1,1,26,0,0,1343,1972
2021,Croydon 001E,E01001164,600,46,37,15,41,41,121,118,131,20,16,2,0,0,12,0,0,1382,1982
2021,Croydon 024C,E01001165,729,67,45,9,35,42,138,132,180,29,27,2,3,0,20,0,0,1116,1845
2021,Croydon 024D,E01001166,769,66,63,16,29,40,165,134,164,35,28,5,6,1,17,0,0,1200,1969
2021,Croydon 028A,E01001167,853,78,71,16,31,45,160,151,194,40,37,3,6,0,21,0,0,1475,2328
2021,Croydon 024E,E01001168,734,59,59,13,20,40,135,132,172,56,23,1,3,1,20,0,0,1081,1815
2021,Croydon 028B,E01001169,544,52,38,8,19,41,103,111,97,26,31,3,1,0,14,0,0,1284,1828
2021,Croydon 047D,E01001170,708,44,47,11,36,40,138,145,152,32,34,2,5,1,21,0,0,1236,1944
2021,Croydon 028C,E01001171,639,48,62,12,27,41,121,108,133,25,33,9,1,2,17,0,0,1119,1758
2021,Croydon 028D,E01001172,746,72,65,20,29,46,141,111,171,39,25,6,3,0,18,0,0,1459,2205
2021,Croydon 028E,E01001173,966,95,73,14,33,47,202,207,190,28,39,7,6,1,24,0,0,1777,2743
2021,Croydon 011A,E01001174,836,68,68,19,45,66,164,135,153,43,41,2,5,2,25,0,0,855,1691
2021,Croydon 011B,E01001175,849,70,73,7,46,50,117,161,191,53,43,4,3,1,30,0,0,789,1638
2021,Croydon 011C,E01001176,852,61,63,18,34,67,161,144,192,42,28,4,15,1,22,0,0,995,1847
2021,Croydon 016C,E01001177,837,73,69,22,37,44,153,160,177,40,28,7,3,3,21,0,0,812,1649
2021,Croydon 015D,E01001178,769,77,42,17,24,45,119,157,186,37,30,3,0,4,28,0,0,853,1622
2021,Croydon 016D,E01001179,835,71,59,11,35,52,177,157,156,44,33,6,3,2,29,0,0,830,1665
2021,Croydon 016E,E01001180,1081,87,87,26,41,50,158,177,276,81,45,9,6,1,36,1,0,898,1979
2021,Croydon 015E,E01001181,1001,77,91,19,37,38,193,187,213,49,41,6,6,1,42,1,0,1187,2188
2021,Croydon 011D,E01001182,734,49,54,17,30,75,158,120,139,44,24,4,4,0,14,1,1,623,1357
2021,Croydon 011E,E01001183,953,66,60,20,43,52,181,163,208,73,44,7,2,1,33,0,0,867,1820
2021,Croydon 011F,E01001184,624,51,58,12,26,46,112,106,127,39,25,4,2,1,15,0,0,674,1298
2021,Croydon 014B,E01001185,570,50,43,15,26,39,97,103,125,25,33,2,2,0,10,0,0,1131,1701
2021,Croydon 014C,E01001186,629,50,61,13,19,37,107,105,125,54,21,9,5,0,23,0,0,1056,1685
2021,Croydon 017E,E01001187,726,62,53,14,36,43,124,133,159,33,39,5,3,3,19,0,0,1262,1988
2021,Croydon 014D,E01001188,634,53,55,20,27,41,122,97,116,36,29,5,1,2,29,1,0,1329,1963
2021,Croydon 045B,E01001189,359,33,25,9,17,20,78,51,68,20,21,3,1,2,10,1,0,859,1218
2021,Croydon 045C,E01001190,455,50,39,10,14,29,94,83,77,12,22,1,3,1,20,0,0,1095,1550
2021,Croydon 008D,E01001191,801,65,49,16,29,54,141,168,173,31,48,3,2,13,9,0,0,1273,2074
2021,Croydon 008E,E01001192,584,43,42,9,31,22,89,119,134,28,41,2,4,2,18,0,0,1000,1584
2021,Croydon 014E,E01001193,559,60,57,32,23,21,75,78,95,43,27,7,1,3,37,0,0,1124,1683
2021,Croydon 045D,E01001194,475,43,38,7,19,26,94,90,85,23,22,1,5,0,21,1,0,1142,1617
2021,Ealing 021A,E01001195,1077,124,41,12,43,59,159,154,310,54,68,5,5,3,40,0,0,748,1825
2021,Ealing 015A,E01001196,790,45,41,15,38,60,179,159,166,41,26,5,2,0,13,0,0,825,1615
2021,Ealing 021B,E01001197,1122,107,58,9,44,46,182,150,336,52,90,3,7,0,38,0,0,730,1852
2021,Ealing 021C,E01001198,663,48,34,5,23,71,151,124,122,40,24,1,1,0,19,0,0,897,1560
2021,Ealing 021D,E01001199,834,73,43,8,35,52,164,160,200,35,38,3,5,0,18,0,0,824,1658
2021,Ealing 025A,E01001200,601,53,36,5,19,34,126,123,139,32,20,1,3,0,10,0,0,995,1596
2021,Ealing 025B,E01001201,576,45,31,4,28,36,137,117,115,20,23,1,4,0,14,0,1,1014,1590
2021,Ealing 025C,E01001202,1297,95,67,10,41,82,276,283,288,57,52,4,10,1,30,1,0,1205,2502
2021,Ealing 025D,E01001203,891,56,34,12,33,42,176,167,257,51,28,8,8,4,15,0,0,798,1689
2021,Ealing 018A,E01001204,620,62,39,10,24,45,104,104,150,34,18,5,1,1,23,0,0,990,1610
2021,Ealing 018B,E01001205,775,94,42,6,31,39,123,160,179,28,32,5,4,3,29,0,0,1009,1784
2021,Ealing 018C,E01001206,747,88,55,12,54,39,107,126,157,35,43,1,3,1,26,0,0,829,1576
2021,Ealing 018D,E01001207,766,56,20,7,28,79,190,180,130,26,24,1,1,0,24,0,0,997,1763
2021,Ealing 018E,E01001208,456,49,30,9,20,37,82,74,100,21,26,0,1,0,7,0,0,900,1356
2021,Ealing 013A,E01001209,560,54,25,1,18,39,125,104,138,17,19,4,3,0,13,0,0,1128,1688
2021,Ealing 016A,E01001210,877,72,53,23,41,59,147,125,196,61,46,7,27,1,19,0,0,1011,1888
2021,Ealing 013B,E01001211,758,65,29,7,23,45,129,159,205,34,36,3,4,4,14,1,0,980,1738
2021,Ealing 018F,E01001212,781,73,45,9,25,32,135,147,207,44,35,8,2,3,16,0,0,986,1767
2021,Ealing 023A,E01001213,1223,117,97,10,51,78,211,176,278,79,60,9,12,1,44,0,0,791,2014
2021,Ealing 023B,E01001214,1077,70,89,22,62,89,226,173,201,52,42,8,6,2,34,1,0,670,1747
2021,Ealing 023C,E01001215,1356,106,116,12,46,62,240,191,342,113,51,22,18,5,30,1,1,701,2057
2021,Ealing 023D,E01001216,1042,94,88,19,35,54,172,156,251,70,54,8,9,2,30,0,0,707,1749
2021,Ealing 014A,E01001217,752,58,60,15,27,62,155,128,149,30,30,9,7,3,18,1,0,698,1450
2021,Ealing 012A,E01001218,1132,96,73,24,69,53,230,187,212,76,47,11,17,2,35,0,0,925,2057
2021,Ealing 029A,E01001219,1094,112,82,15,45,58,169,196,267,50,41,14,14,1,28,2,0,1099,2193
2021,Ealing 029B,E01001220,781,78,63,12,26,50,110,133,192,37,41,5,8,6,20,0,0,735,1516
2021,Ealing 041B,E01001223,715,70,37,7,14,24,109,152,189,62,35,6,1,0,9,0,0,739,1454
2021,Ealing 019B,E01001224,431,36,21,4,13,47,79,90,99,12,19,0,0,2,9,0,0,1123,1554
2021,Ealing 041A,E01001225,856,62,54,7,14,47,146,195,219,60,18,9,8,1,16,0,0,954,1810
2021,Ealing 019C,E01001226,741,48,35,13,25,29,107,159,228,48,22,5,6,1,15,0,0,773,1514
2021,Ealing 019D,E01001227,655,52,33,7,25,34,114,143,159,30,23,5,1,1,28,0,0,866,1521
2021,Ealing 019E,E01001228,1013,85,41,15,27,73,199,221,241,60,24,9,4,2,12,0,0,822,1835
2021,Ealing 031A,E01001229,580,50,35,9,23,27,106,132,138,18,19,4,2,0,17,0,0,940,1520
2021,Ealing 031B,E01001230,534,52,28,9,19,30,100,118,117,22,17,2,9,1,10,0,0,835,1369
2021,Ealing 027A,E01001231,1009,80,53,19,35,65,237,207,193,44,33,6,9,2,25,1,0,1038,2047
2021,Ealing 031C,E01001232,752,67,47,8,24,48,148,121,178,54,32,1,3,1,18,2,0,807,1559
2021,Ealing 031D,E01001233,607,45,28,6,14,34,115,135,136,40,21,7,8,1,17,0,0,839,1446
2021,Ealing 027B,E01001234,667,37,34,4,23,64,146,147,137,26,25,6,3,0,15,0,0,700,1367
2021,Ealing 042D,E01001235,974,57,41,16,34,64,176,199,260,53,22,8,15,9,19,1,0,800,1774
2021,Ealing 042C,E01001236,667,50,36,3,25,43,121,142,166,40,16,3,4,1,16,1,0,809,1476
2021,Ealing 031E,E01001237,582,51,32,6,13,40,101,120,144,33,21,6,4,1,10,0,0,982,1564
2021,Ealing 015C,E01001239,739,54,52,8,36,43,145,138,188,28,23,2,4,1,17,0,0,741,1480
2021,Ealing 024A,E01001240,1153,53,62,14,49,76,304,258,230,46,33,7,6,1,14,0,0,672,1825
2021,Ealing 024B,E01001241,1088,69,48,9,33,76,260,250,207,65,38,5,11,2,14,1,0,764,1852
2021,Ealing 024C,E01001242,746,50,54,11,31,41,135,155,169,37,34,4,3,1,21,0,0,875,1621
2021,Ealing 024D,E01001243,1448,112,87,15,63,88,268,252,382,67,53,7,15,3,36,0,0,942,2390
2021,Ealing 024E,E01001244,1601,121,131,22,63,86,343,290,357,75,61,10,6,0,36,0,0,1189,2790
2021,Ealing 024F,E01001245,1031,62,57,14,37,72,236,205,245,45,30,5,3,1,19,0,0,1137,2168
2021,Ealing 015D,E01001246,979,64,44,16,35,66,231,217,183,60,28,15,4,1,15,0,0,848,1827
2021,Ealing 015E,E01001247,1260,79,77,20,68,89,263,245,260,67,46,10,8,0,28,0,0,1009,2269
2021,Ealing 035A,E01001248,595,60,38,10,35,42,119,102,120,21,26,3,3,0,15,1,0,996,1591
2021,Ealing 028A,E01001249,1315,79,83,16,59,76,275,290,281,75,45,5,11,2,18,0,0,1122,2437
2021,Ealing 028B,E01001250,985,68,55,11,33,79,214,199,219,54,20,4,9,1,19,0,0,1196,2181
2021,Ealing 030A,E01001251,691,55,55,11,35,45,133,129,145,37,20,7,1,0,18,0,0,1118,1809
2021,Ealing 030B,E01001252,1201,81,55,18,36,85,248,237,296,69,28,15,4,0,29,0,0,1264,2465
2021,Ealing 030C,E01001253,741,68,30,10,22,49,170,135,170,35,34,2,3,2,11,0,0,1385,2126
2021,Ealing 030D,E01001254,544,53,18,7,19,27,119,118,97,41,15,6,4,6,14,0,0,1205,1749
