date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,Barking and Dagenham 014C,E01000105,2332,1210,1122
2021,Barking and Dagenham 014D,E01000106,2207,1150,1057
2021,Barking and Dagenham 010C,E01000107,1786,926,860
2021,Barking and Dagenham 010D,E01000108,1915,995,920
2021,Barking and Dagenham 002C,E01000110,1573,788,785
2021,Barking and Dagenham 002D,E01000111,2152,1136,1016
2021,Barking and Dagenham 002E,E01000112,1971,1003,968
2021,Barking and Dagenham 002F,E01000113,1995,951,1044
2021,Barking and Dagenham 004E,E01000114,2419,1215,1204
2021,Barnet 009A,E01000115,1395,704,691
2021,Barnet 009B,E01000116,1745,910,835
2021,Barnet 010A,E01000117,1737,905,832
2021,Barnet 010B,E01000118,2049,1063,986
2021,Barnet 009C,E01000119,1793,915,878
2021,Barnet 009D,E01000120,1495,747,748
2021,Barnet 010C,E01000121,1477,770,707
2021,Barnet 009E,E01000122,1511,758,753
2021,Barnet 010D,E01000123,1762,897,865
2021,Barnet 010E,E01000124,1867,963,904
2021,Barnet 026A,E01000126,2274,1201,1073
2021,Barnet 024B,E01000127,1557,827,730
2021,Barnet 024C,E01000128,2049,1039,1010
2021,Barnet 024D,E01000129,1604,815,789
2021,Barnet 021A,E01000130,1939,991,948
2021,Barnet 024E,E01000131,2021,1036,985
2021,Barnet 021B,E01000132,1617,851,766
2021,Barnet 021C,E01000133,1645,859,786
2021,Barnet 024F,E01000134,1824,944,880
2021,Barnet 038A,E01000135,1703,854,849
2021,Barnet 038B,E01000136,1486,801,685
2021,Barnet 041A,E01000137,1658,916,742
2021,Barnet 040A,E01000138,1618,825,793
2021,Barnet 041B,E01000139,1388,703,685
2021,Barnet 041C,E01000140,1957,1026,931
2021,Barnet 039A,E01000141,1864,958,906
2021,Barnet 040B,E01000142,2236,1167,1069
2021,Barnet 041D,E01000143,1671,817,854
2021,Barnet 038C,E01000144,1660,832,828
2021,Barnet 037A,E01000145,1615,826,789
2021,Barnet 038D,E01000146,1872,948,924
2021,Barnet 043F,E01000147,1913,937,976
2021,Barnet 036A,E01000150,2255,1135,1120
2021,Barnet 026B,E01000151,1721,883,838
2021,Barnet 026C,E01000152,2693,1391,1302
2021,Barnet 026D,E01000153,1929,1015,914
2021,Barnet 026E,E01000154,1915,1008,907
2021,Barnet 022A,E01000156,2026,1062,964
2021,Barnet 022B,E01000157,1582,806,776
2021,Barnet 015A,E01000158,1464,773,691
2021,Barnet 015B,E01000159,1786,906,880
2021,Barnet 015C,E01000160,1955,985,970
2021,Barnet 015D,E01000161,2034,1072,962
2021,Barnet 015E,E01000162,1649,866,783
2021,Barnet 022C,E01000163,1693,920,773
2021,Barnet 022D,E01000164,1713,871,842
2021,Barnet 022E,E01000165,1812,960,852
2021,Barnet 003A,E01000166,1620,828,792
2021,Barnet 002A,E01000167,1389,713,676
2021,Barnet 003B,E01000168,1516,772,744
2021,Barnet 003C,E01000169,1631,851,780
2021,Barnet 006A,E01000170,1907,1001,906
2021,Barnet 006B,E01000171,2291,1173,1118
2021,Barnet 003D,E01000172,1690,873,817
2021,Barnet 006C,E01000173,1690,862,828
2021,Barnet 006D,E01000174,1759,911,848
2021,Barnet 006E,E01000175,2031,980,1051
2021,Barnet 027A,E01000176,1722,841,881
2021,Barnet 029A,E01000177,1663,865,798
2021,Barnet 027B,E01000178,1673,887,786
2021,Barnet 029B,E01000179,1789,966,823
2021,Barnet 029C,E01000180,1616,871,745
2021,Barnet 029D,E01000181,1688,882,806
2021,Barnet 029E,E01000182,1619,848,771
2021,Barnet 033A,E01000183,1522,823,699
2021,Barnet 027C,E01000184,1873,953,920
2021,Barnet 029F,E01000185,1474,768,706
2021,Barnet 014A,E01000186,1771,916,855
2021,Barnet 014B,E01000187,1737,900,837
2021,Barnet 014C,E01000188,1578,812,766
2021,Barnet 014D,E01000189,2469,1306,1163
2021,Barnet 014E,E01000190,1731,891,840
2021,Barnet 014F,E01000191,1549,762,787
2021,Barnet 018A,E01000192,1997,1037,960
2021,Barnet 018B,E01000193,1948,1009,939
2021,Barnet 018C,E01000194,1906,1000,906
2021,Barnet 013A,E01000195,2019,996,1023
2021,Barnet 028A,E01000196,2124,1084,1040
2021,Barnet 023A,E01000197,1851,967,884
2021,Barnet 025A,E01000198,2193,1134,1059
2021,Barnet 025B,E01000199,1580,841,739
2021,Barnet 028B,E01000200,1978,1078,900
2021,Barnet 028C,E01000201,1541,775,766
2021,Barnet 028D,E01000202,1674,863,811
2021,Barnet 028E,E01000203,1844,1006,838
2021,Barnet 025C,E01000204,1703,904,799
2021,Barnet 035A,E01000205,1506,822,684
2021,Barnet 033B,E01000206,1501,785,716
2021,Barnet 033C,E01000207,1579,853,726
2021,Barnet 033D,E01000208,1630,876,754
2021,Barnet 035B,E01000209,1483,825,658
2021,Barnet 033E,E01000210,1548,815,733
2021,Barnet 035C,E01000211,2128,1129,999
2021,Barnet 035D,E01000212,1349,685,664
2021,Barnet 033F,E01000213,1351,697,654
2021,Barnet 038E,E01000214,1627,851,776
2021,Barnet 037B,E01000215,2147,1092,1055
2021,Barnet 035E,E01000216,1978,1051,927
2021,Barnet 035F,E01000217,1785,927,858
2021,Barnet 037C,E01000218,1844,946,898
2021,Barnet 037D,E01000219,2196,1046,1150
2021,Barnet 037E,E01000220,1888,915,973
2021,Barnet 039B,E01000221,1412,745,667
2021,Barnet 040C,E01000222,2038,1065,973
2021,Barnet 039C,E01000223,2032,1034,998
2021,Barnet 040D,E01000224,1692,871,821
2021,Barnet 037F,E01000225,1870,925,945
2021,Barnet 018D,E01000226,1735,914,821
2021,Barnet 018E,E01000227,1869,940,929
2021,Barnet 007A,E01000228,1436,752,684
2021,Barnet 013B,E01000229,1670,852,818
2021,Barnet 013C,E01000230,1959,1002,957
2021,Barnet 013D,E01000231,1789,940,849
2021,Barnet 013E,E01000232,1871,952,919
2021,Barnet 013F,E01000233,1938,1006,932
2021,Barnet 021D,E01000234,1781,938,843
2021,Barnet 021E,E01000235,1862,958,904
2021,Barnet 034A,E01000236,1950,995,955
2021,Barnet 032A,E01000237,2102,1051,1051
2021,Barnet 034B,E01000238,2096,1057,1039
2021,Barnet 031A,E01000239,2058,1025,1033
2021,Barnet 031B,E01000240,1734,908,826
2021,Barnet 031C,E01000241,1788,873,915
2021,Barnet 032B,E01000242,1601,779,822
2021,Barnet 032C,E01000243,2163,1111,1052
2021,Barnet 032D,E01000244,1638,832,806
2021,Barnet 032E,E01000245,2057,1055,1002
2021,Barnet 002B,E01000246,1520,792,728
2021,Barnet 002C,E01000247,1696,871,825
2021,Barnet 001A,E01000248,1703,884,819
2021,Barnet 001B,E01000249,1612,828,784
2021,Barnet 001C,E01000250,2609,1380,1229
2021,Barnet 002D,E01000251,2262,1222,1040
2021,Barnet 002E,E01000252,1715,903,812
2021,Barnet 007B,E01000253,1981,1007,974
2021,Barnet 001D,E01000254,1600,807,793
2021,Barnet 017A,E01000255,1700,878,822
2021,Barnet 016A,E01000256,1928,1046,882
2021,Barnet 017B,E01000257,2090,1105,985
2021,Barnet 016B,E01000258,1892,946,946
2021,Barnet 025D,E01000259,2643,1379,1264
2021,Barnet 025E,E01000260,2166,1141,1025
2021,Barnet 017C,E01000261,1769,931,838
2021,Barnet 016C,E01000263,1524,771,753
2021,Barnet 016D,E01000264,1823,910,913
2021,Barnet 011A,E01000265,1923,1009,914
2021,Barnet 011B,E01000266,1435,722,713
2021,Barnet 005A,E01000267,1527,796,731
2021,Barnet 005B,E01000268,2075,1057,1018
2021,Barnet 005C,E01000269,1386,719,667
2021,Barnet 005D,E01000270,1545,770,775
2021,Barnet 008A,E01000271,1638,861,777
2021,Barnet 008B,E01000272,1426,756,670
2021,Barnet 008C,E01000273,1670,913,757
2021,Barnet 011C,E01000274,1936,997,939
2021,Barnet 012A,E01000275,1740,906,834
2021,Barnet 020A,E01000276,1537,796,741
2021,Barnet 012B,E01000277,1652,867,785
2021,Barnet 020B,E01000278,1479,731,748
2021,Barnet 007C,E01000279,1365,704,661
2021,Barnet 007D,E01000280,1334,700,634
2021,Barnet 008D,E01000281,1789,931,858
2021,Barnet 008E,E01000282,1808,914,894
2021,Barnet 012C,E01000283,1371,701,670
2021,Barnet 012D,E01000284,1806,930,876
2021,Barnet 004A,E01000285,1515,802,713
2021,Barnet 007E,E01000286,1717,878,839
2021,Barnet 004B,E01000287,1629,881,748
2021,Barnet 004C,E01000288,1548,782,766
2021,Barnet 004D,E01000289,1583,842,741
2021,Barnet 007F,E01000290,1621,812,809
2021,Barnet 004E,E01000291,1561,799,762
2021,Barnet 001E,E01000292,1544,785,759
2021,Barnet 001F,E01000293,1772,946,826
2021,Barnet 004F,E01000294,1811,935,876
2021,Barnet 023B,E01000295,1615,846,769
2021,Barnet 023C,E01000296,1785,921,864
2021,Barnet 027D,E01000297,1421,742,679
2021,Barnet 023D,E01000298,1711,874,837
2021,Barnet 019A,E01000299,2219,1127,1092
2021,Barnet 019B,E01000300,1667,873,794
2021,Barnet 020C,E01000301,1495,769,726
2021,Barnet 019C,E01000302,1799,918,881
2021,Barnet 020D,E01000303,1502,793,709
2021,Barnet 020E,E01000304,1557,800,757
2021,Barnet 036B,E01000305,1621,809,812
