indicator_id,title,topic,source_key,source_name,source_file_or_api,source_geography,geography_version,source_period,time_coverage,latest_period_available,history_available,unit,value_field,numerator_field,denominator_field,aggregation_method,benchmark_method,polarity,caveats,last_refresh_date,review_required,qof_group_code,qof_group_description,qof_indicator_code,qof_metric_kind,qof_domain,qof_sub_domain,qof_patient_list_type
qof_pcas_dm023,Diabetes: antiplatelet or anticoagulant prescribed (with CVD history) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,DM,Diabetes mellitus,DM023,pcas,Clinical,Clinical,17OV
qof_pcas_dm033,Diabetes: blood pressure 140/90 or below achieved (without frailty) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,DM,Diabetes mellitus,DM033,pcas,Clinical,Clinical,17OV
qof_pcas_hf003,Heart failure: ACE inhibitor or ARB prescribed (left ventricular systolic dysfunction) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HF,Heart failure,HF003,pcas,Clinical,Clinical,TOTAL
qof_pcas_hf005,Heart failure: echocardiogram recorded or specialist referral made (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HF,Heart failure,HF005,pcas,Clinical,,TOTAL
qof_pcas_hf006,Heart failure: beta-blocker prescribed (left ventricular systolic dysfunction) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HF,Heart failure,HF006,pcas,Clinical,Clinical,TOTAL
qof_pcas_hf007,Heart failure: annual care review completed (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HF,Heart failure,HF007,pcas,Clinical,Clinical,TOTAL
qof_pcas_hf008,Heart failure: SGLT2 inhibitor prescribed (new diagnosis from April 2023) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HF,Heart failure,HF008,pcas,Clinical,Clinical,TOTAL
qof_pcas_hyp003,Hypertension: blood pressure recorded in last 12 months (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HYP,Hypertension,HYP003,pcas,Clinical,,79UN
qof_pcas_hyp007,Hypertension: blood pressure target achieved (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HYP,Hypertension,HYP007,pcas,Clinical,,80OV
qof_pcas_hyp008,Hypertension: blood pressure 140/90 or below achieved (age 79 and under) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,HYP,Hypertension,HYP008,pcas,Clinical,Clinical,79UN
